Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 14:41:37,,
Header Version:,1,,
System Temp (C):,36.64,,
Detector Temp (C):,33.51,,
Humidity (%):,18.42,,
Lamp PD:,3683,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.727,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.477044,33639.000000,11215.000000
905.521072,0.490896,38213.000000,12340.000000
909.408318,0.495114,42332.000000,13538.000000
913.291349,0.504407,46950.000000,14697.000000
917.170165,0.498091,51785.000000,16448.000000
921.044767,0.496994,58287.000000,18560.000000
924.915155,0.492673,66979.000000,21541.000000
930.069116,0.500675,82100.000000,25922.000000
933.929670,0.510936,94317.000000,29084.000000
937.786010,0.525694,106099.000000,31624.000000
941.638135,0.535136,116718.000000,34041.000000
945.486046,0.545359,125961.000000,35882.000000
949.329742,0.554333,134812.000000,37618.000000
953.169224,0.560791,143641.000000,39490.000000
957.004491,0.567209,152380.000000,41278.000000
960.835544,0.571698,161986.000000,43429.000000
965.937059,0.580081,175129.000000,46055.000000
969.758279,0.584559,185335.000000,48239.000000
973.575284,0.587125,195809.000000,50665.000000
977.388074,0.592445,206740.000000,52842.000000
981.196650,0.593550,217308.000000,55402.000000
985.001012,0.597496,228047.000000,57614.000000
988.801159,0.600345,238038.000000,59745.000000
992.597092,0.602411,247444.000000,61811.000000
996.388810,0.602204,256381.000000,64074.000000
1000.176314,0.603873,264317.000000,65804.000000
1005.219764,0.604725,273187.000000,67879.000000
1008.997434,0.605749,278661.000000,69076.000000
1012.770890,0.605466,283378.000000,70291.000000
1016.540131,0.605331,286796.000000,71161.000000
1020.305158,0.605640,289545.000000,71792.000000
1024.065971,0.604979,290768.000000,72205.000000
1027.822569,0.604825,291659.000000,72452.000000
1031.574953,0.603686,291738.000000,72662.000000
1035.323122,0.602836,291180.000000,72665.000000
1040.314125,0.601111,289060.000000,72423.000000
1044.052461,0.601151,287270.000000,71968.000000
1047.786582,0.599461,285260.000000,71743.000000
1051.516489,0.598176,282938.000000,71370.000000
1055.242181,0.597644,280933.000000,70951.000000
1058.963659,0.596570,278805.000000,70588.000000
1062.680922,0.594890,276533.000000,70284.000000
1066.393971,0.593122,275025.000000,70186.000000
1070.102806,0.592539,273940.000000,70003.000000
1075.041363,0.590146,272610.000000,70048.000000
1078.740364,0.587767,271864.000000,70240.000000
1082.435151,0.586418,271322.000000,70318.000000
1086.125723,0.585418,271668.000000,70570.000000
1089.812080,0.583791,272144.000000,70959.000000
1093.494224,0.583227,273135.000000,71310.000000
1097.172153,0.581526,273441.000000,71670.000000
1100.845867,0.581119,274759.000000,72083.000000
1104.515367,0.580993,276154.000000,72470.000000
1109.401478,0.581104,278191.000000,72986.000000
1113.061144,0.580867,279666.000000,73413.000000
1116.716596,0.581580,281465.000000,73764.000000
1120.367833,0.582386,283330.000000,74115.000000
1124.014856,0.586914,285720.000000,73965.000000
1127.657665,0.591136,287805.000000,73784.000000
1131.296259,0.596630,290051.000000,73425.000000
1134.930639,0.604388,292331.000000,72692.000000
1138.560804,0.613920,294917.000000,71743.000000
1143.394469,0.626158,298293.000000,70548.000000
1147.014801,0.635798,300985.000000,69622.000000
1150.630918,0.644543,304257.000000,68976.000000
1154.242821,0.651264,307712.000000,68688.000000
1157.850509,0.656834,310881.000000,68511.000000
1161.453983,0.660500,314276.000000,68677.000000
1165.053242,0.663130,318257.000000,69127.000000
1168.648287,0.665801,322819.000000,69688.000000
1172.239118,0.667752,326850.000000,70242.000000
1177.020337,0.672150,332795.000000,70799.000000
1180.601334,0.675214,338252.000000,71454.000000
1184.178116,0.678280,344529.000000,72268.000000
1187.750684,0.680362,351023.000000,73278.000000
1191.319038,0.684506,357082.000000,73835.000000
1194.883177,0.687914,364643.000000,74809.000000
1198.443102,0.690780,372656.000000,75950.000000
1201.998812,0.691834,379916.000000,77242.000000
1205.550308,0.692377,387104.000000,78605.000000
1210.279081,0.691419,398358.000000,81069.000000
1213.820743,0.687786,406330.000000,83386.000000
1217.358191,0.683697,414296.000000,85825.000000
1220.891424,0.678598,423100.000000,88684.000000
1224.420443,0.673690,431276.000000,91425.000000
1227.945248,0.670630,440314.000000,94001.000000
1231.465838,0.667264,449218.000000,96648.000000
1234.982214,0.664771,457807.000000,99063.000000
1238.494375,0.662885,468067.000000,101724.000000
1243.170701,0.661311,479193.000000,104520.000000
1246.673029,0.660449,486758.000000,106381.000000
1250.171142,0.659998,495180.000000,108334.000000
1253.665041,0.659938,503918.000000,110261.000000
1257.154726,0.657025,511654.000000,112707.000000
1260.640196,0.655314,521154.000000,115253.000000
1264.121451,0.653126,534098.000000,118712.000000
