Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 14:30:49,,
Header Version:,1,,
System Temp (C):,36.89,,
Detector Temp (C):,32.78,,
Humidity (%):,18.37,,
Lamp PD:,3685,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.730,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.482421,33639.000000,11077.000000
905.521072,0.500036,38213.000000,12083.000000
909.408318,0.498560,42332.000000,13431.000000
913.291349,0.508057,46950.000000,14574.000000
917.170165,0.499254,51785.000000,16404.000000
921.044767,0.494753,58287.000000,18656.000000
924.915155,0.486428,66979.000000,21853.000000
930.069116,0.493991,82100.000000,26324.000000
933.929670,0.506730,94317.000000,29367.000000
937.786010,0.519572,106099.000000,32073.000000
941.638135,0.529369,116718.000000,34496.000000
945.486046,0.536198,125961.000000,36647.000000
949.329742,0.541569,134812.000000,38740.000000
953.169224,0.547919,143641.000000,40678.000000
957.004491,0.549884,152380.000000,42958.000000
960.835544,0.553188,161986.000000,45320.000000
965.937059,0.558495,175129.000000,48402.000000
969.758279,0.562470,185335.000000,50756.000000
973.575284,0.561964,195809.000000,53687.000000
977.388074,0.564839,206740.000000,56310.000000
981.196650,0.566224,217308.000000,59000.000000
985.001012,0.568564,228047.000000,61583.000000
988.801159,0.568381,238038.000000,64308.000000
992.597092,0.569338,247444.000000,66702.000000
996.388810,0.569552,256381.000000,69077.000000
1000.176314,0.569298,264317.000000,71257.000000
1005.219764,0.568998,273187.000000,73699.000000
1008.997434,0.569078,278661.000000,75162.000000
1012.770890,0.568160,283378.000000,76596.000000
1016.540131,0.566979,286796.000000,77731.000000
1020.305158,0.566692,289545.000000,78528.000000
1024.065971,0.566062,290768.000000,78974.000000
1027.822569,0.565526,291659.000000,79314.000000
1031.574953,0.564129,291738.000000,79591.000000
1035.323122,0.564642,291180.000000,79345.000000
1040.314125,0.562076,289060.000000,79234.000000
1044.052461,0.561290,287270.000000,78886.000000
1047.786582,0.561268,285260.000000,78338.000000
1051.516489,0.559430,282938.000000,78030.000000
1055.242181,0.558702,280933.000000,77607.000000
1058.963659,0.557160,278805.000000,77293.000000
1062.680922,0.555990,276533.000000,76870.000000
1066.393971,0.555092,275025.000000,76609.000000
1070.102806,0.553472,273940.000000,76592.000000
1075.041363,0.551619,272610.000000,76546.000000
1078.740364,0.551867,271864.000000,76293.000000
1082.435151,0.551171,271322.000000,76263.000000
1086.125723,0.550536,271668.000000,76472.000000
1089.812080,0.549641,272144.000000,76764.000000
1093.494224,0.550530,273135.000000,76886.000000
1097.172153,0.550209,273441.000000,77029.000000
1100.845867,0.551684,274759.000000,77138.000000
1104.515367,0.551732,276154.000000,77521.000000
1109.401478,0.554179,278191.000000,77654.000000
1113.061144,0.555883,279666.000000,77760.000000
1116.716596,0.558266,281465.000000,77832.000000
1120.367833,0.560326,283330.000000,77977.000000
1124.014856,0.564743,285720.000000,77839.000000
1127.657665,0.570369,287805.000000,77398.000000
1131.296259,0.577668,290051.000000,76702.000000
1134.930639,0.586252,292331.000000,75792.000000
1138.560804,0.595880,294917.000000,74786.000000
1143.394469,0.609125,298293.000000,73370.000000
1147.014801,0.618363,300985.000000,72474.000000
1150.630918,0.626693,304257.000000,71870.000000
1154.242821,0.634118,307712.000000,71454.000000
1157.850509,0.640114,310881.000000,71200.000000
1161.453983,0.644088,314276.000000,71322.000000
1165.053242,0.647107,318257.000000,71725.000000
1168.648287,0.651114,322819.000000,72085.000000
1172.239118,0.652766,326850.000000,72708.000000
1177.020337,0.658557,332795.000000,73050.000000
1180.601334,0.661337,338252.000000,73774.000000
1184.178116,0.664097,344529.000000,74667.000000
1187.750684,0.669124,351023.000000,75199.000000
1191.319038,0.671435,357082.000000,76091.000000
1194.883177,0.674132,364643.000000,77221.000000
1198.443102,0.677014,372656.000000,78396.000000
1201.998812,0.678409,379916.000000,79667.000000
1205.550308,0.679428,387104.000000,80984.000000
1210.279081,0.678254,398358.000000,83564.000000
1213.820743,0.675366,406330.000000,85805.000000
1217.358191,0.671227,414296.000000,88325.000000
1220.891424,0.666643,423100.000000,91159.000000
1224.420443,0.661498,431276.000000,94028.000000
1227.945248,0.659208,440314.000000,96506.000000
1231.465838,0.656103,449218.000000,99164.000000
1234.982214,0.653819,457807.000000,101593.000000
1238.494375,0.652857,468067.000000,104100.000000
1243.170701,0.650243,479193.000000,107218.000000
1246.673029,0.648530,486758.000000,109341.000000
1250.171142,0.648077,495180.000000,111349.000000
1253.665041,0.647142,503918.000000,113558.000000
1257.154726,0.644567,511654.000000,115987.000000
1260.640196,0.642007,521154.000000,118839.000000
1264.121451,0.639627,534098.000000,122460.000000
1267.598492,0.640313,549524.000000,125798.000000
1271.071319,0.640739,564969.000000,129207.000000
1275.695199,0.642069,583497.000000,133036.000000
1279.158192,0.641950,596509.000000,136040.000000
1282.616970,0.644050,610137.000000,138477.000000
1286.071534,0.645680,621777.000000,140590.000000
1289.521884,0.647628,632911.000000,142467.000000
1292.968020,0.650597,643299.000000,143819.000000
1296.409940,0.654859,653998.000000,144783.000000
1299.847647,0.658209,662535.000000,145546.000000
1303.281139,0.662328,669534.000000,145695.000000
1307.852572,0.667923,680622.000000,146212.000000
1311.276231,0.673575,687613.000000,145804.000000
1314.695675,0.678726,692993.000000,145212.000000
1318.110904,0.684010,697587.000000,144407.000000
1321.521919,0.692281,703545.000000,142893.000000
1324.928720,0.699613,707997.000000,141390.000000
1328.331306,0.705975,710077.000000,139743.000000
1331.729678,0.712458,712333.000000,138110.000000
1335.123835,0.720552,715576.000000,136177.000000
1339.642823,0.729728,717691.000000,133724.000000
1343.027147,0.735659,716977.000000,131779.000000
1346.407256,0.742336,716577.000000,129696.000000
1349.783151,0.749005,716270.000000,127665.000000
1353.154831,0.755736,715315.000000,125534.000000
1356.522297,0.761052,713176.000000,123636.000000
1359.885549,0.767766,710971.000000,121363.000000
1363.244586,0.775290,708733.000000,118903.000000
1366.599408,0.783522,706319.000000,116273.000000
1371.065950,0.798283,701665.000000,111647.000000
1374.410939,0.812810,697460.000000,107327.000000
1377.751713,0.830531,691985.000000,102227.000000
1381.088274,0.850157,686523.000000,96939.000000
1384.420619,0.872691,680381.000000,91214.000000
1387.748751,0.897623,675468.000000,85503.000000
1391.072668,0.924776,671911.000000,79898.000000
1394.392370,0.949294,668723.000000,75154.000000
1397.707858,0.975448,666533.000000,70530.000000
1402.121953,1.008528,665113.000000,65218.000000
1405.427607,1.032314,665198.000000,61750.000000
1408.729047,1.054089,664935.000000,58707.000000
1412.026273,1.072528,664455.000000,56226.000000
1415.319284,1.087396,664556.000000,54342.000000
1418.608081,1.100644,664917.000000,52738.000000
1421.892663,1.113359,665017.000000,51224.000000
1425.173031,1.122517,664617.000000,50125.000000
1428.449184,1.130288,665359.000000,49291.000000
1431.721123,1.137231,666424.000000,48587.000000
1436.077153,1.140801,667155.000000,48242.000000
1439.339258,1.144514,668127.000000,47901.000000
1442.597149,1.145829,668698.000000,47797.000000
1445.850825,1.148703,669264.000000,47522.000000
1449.100287,1.148910,669273.000000,47500.000000
1452.345535,1.149344,669026.000000,47435.000000
1455.586568,1.148972,668707.000000,47453.000000
1458.823387,1.148008,668068.000000,47513.000000
1462.055991,1.145074,666684.000000,47736.000000
1466.359575,1.141929,665382.000000,47989.000000
1469.582345,1.136998,664120.000000,48445.000000
1472.800901,1.131348,662276.000000,48943.000000
1476.015243,1.124832,660385.000000,49541.000000
1479.225371,1.119183,658310.000000,50032.000000
1482.431284,1.113974,656313.000000,50482.000000
1485.632982,1.106652,654173.000000,51173.000000
1488.830466,1.100601,651677.000000,51693.000000
1492.023736,1.092998,649126.000000,52400.000000
1496.274873,1.086434,646247.000000,52962.000000
1499.458309,1.080186,643294.000000,53484.000000
1502.637531,1.072560,640417.000000,54188.000000
1505.812538,1.066446,637303.000000,54689.000000
1508.983330,1.060839,634074.000000,55119.000000
1512.149909,1.054442,630551.000000,55626.000000
1515.312273,1.047835,626579.000000,56123.000000
1518.470422,1.043504,623236.000000,56383.000000
1521.624357,1.039264,619556.000000,56600.000000
1525.823048,1.031900,614520.000000,57100.000000
1528.967149,1.027021,610731.000000,57389.000000
1532.107036,1.023248,606260.000000,57466.000000
1535.242709,1.018308,601771.000000,57693.000000
1538.374167,1.013756,597293.000000,57867.000000
1541.501410,1.010139,592533.000000,57886.000000
1544.624439,1.005335,587614.000000,58044.000000
1547.743254,1.002821,582008.000000,57824.000000
1550.857855,0.999451,576631.000000,57736.000000
1555.004099,0.994496,569180.000000,57644.000000
1558.108866,0.990499,563682.000000,57615.000000
1561.209418,0.987021,557265.000000,57417.000000
1564.305756,0.983812,551187.000000,57212.000000
1567.397879,0.980309,545545.000000,57085.000000
1570.485788,0.978504,539133.000000,56649.000000
1573.569483,0.974797,532551.000000,56437.000000
1576.648963,0.970817,525907.000000,56246.000000
1579.724229,0.967090,518938.000000,55979.000000
1583.818027,0.966955,509333.000000,54960.000000
1586.883459,0.963430,502458.000000,54660.000000
1589.944677,0.959582,494992.000000,54327.000000
1593.001680,0.954001,487232.000000,54167.000000
1596.054469,0.950267,480020.000000,53826.000000
1599.103043,0.947744,472168.000000,53254.000000
1602.147403,0.946819,464280.000000,52476.000000
1605.187548,0.942491,456706.000000,52137.000000
1608.223479,0.938536,448530.000000,51672.000000
1612.264832,0.933370,437205.000000,50970.000000
1615.290929,0.929627,429490.000000,50504.000000
1618.312812,0.926553,421504.000000,49917.000000
1621.330481,0.923946,413173.000000,49225.000000
1624.343935,0.920974,404553.000000,48529.000000
1627.353174,0.918504,396423.000000,47825.000000
1630.358200,0.916403,388513.000000,47098.000000
1633.359010,0.911953,380160.000000,46560.000000
1636.355607,0.909085,371598.000000,45813.000000
1640.344513,0.905748,360463.000000,44783.000000
1643.331275,0.904035,352069.000000,43913.000000
1646.313824,0.899858,343006.000000,43196.000000
1649.292158,0.897609,333872.000000,42264.000000
1652.266277,0.895386,324504.000000,41289.000000
1655.236182,0.893978,314053.000000,40089.000000
1658.201873,0.891115,302316.000000,38846.000000
1661.163349,0.888750,289087.000000,37349.000000
1664.120611,0.884908,274074.000000,35724.000000
1668.057070,0.881927,249318.000000,32721.000000
1671.004498,0.877741,227555.000000,30154.000000
1673.947712,0.874412,203186.000000,27132.000000
1676.886711,0.868687,178338.000000,24130.000000
1679.821496,0.868315,153876.000000,20838.000000
1682.752066,0.867470,131194.000000,17801.000000
1685.678422,0.868140,111238.000000,15070.000000
1688.600564,0.868393,94301.000000,12768.000000
1691.518491,0.874953,80350.000000,10716.000000
1695.402504,0.880987,65120.000000,8565.000000
1698.310598,0.874320,55907.000000,7467.000000
1701.214477,0.883427,48643.000000,6362.000000
