Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 14:44:59,,
Header Version:,1,,
System Temp (C):,37.8,,
Detector Temp (C):,33.71,,
Humidity (%):,17.17,,
Lamp PD:,3642,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.674,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.423005,33639.000000,12701.000000
905.521072,0.440197,38213.000000,13868.000000
909.408318,0.442545,42332.000000,15280.000000
913.291349,0.445448,46950.000000,16834.000000
917.170165,0.441713,51785.000000,18728.000000
921.044767,0.436805,58287.000000,21319.000000
924.915155,0.433734,66979.000000,24672.000000
930.069116,0.437207,82100.000000,30001.000000
933.929670,0.448419,94317.000000,33587.000000
937.786010,0.463133,106099.000000,36524.000000
941.638135,0.470431,116718.000000,39510.000000
945.486046,0.477566,125961.000000,41944.000000
949.329742,0.484464,134812.000000,44184.000000
953.169224,0.490723,143641.000000,46404.000000
957.004491,0.495149,152380.000000,48728.000000
960.835544,0.499182,161986.000000,51321.000000
965.937059,0.504387,175129.000000,54824.000000
969.758279,0.508993,185335.000000,57407.000000
973.575284,0.510451,195809.000000,60448.000000
977.388074,0.514179,206740.000000,63277.000000
981.196650,0.516493,217308.000000,66158.000000
985.001012,0.519465,228047.000000,68954.000000
988.801159,0.522018,238038.000000,71553.000000
992.597092,0.523237,247444.000000,74172.000000
996.388810,0.524873,256381.000000,76562.000000
1000.176314,0.524767,264317.000000,78951.000000
1005.219764,0.527209,273187.000000,81143.000000
1008.997434,0.528002,278661.000000,82618.000000
1012.770890,0.528444,283378.000000,83931.000000
1016.540131,0.527450,286796.000000,85138.000000
1020.305158,0.529161,289545.000000,85616.000000
1024.065971,0.528155,290768.000000,86177.000000
1027.822569,0.528754,291659.000000,86322.000000
1031.574953,0.527947,291738.000000,86506.000000
1035.323122,0.528065,291180.000000,86317.000000
1040.314125,0.527865,289060.000000,85728.000000
1044.052461,0.526960,287270.000000,85375.000000
1047.786582,0.526876,285260.000000,84794.000000
1051.516489,0.525699,282938.000000,84332.000000
1055.242181,0.524251,280933.000000,84014.000000
1058.963659,0.523442,278805.000000,83533.000000
1062.680922,0.522115,276533.000000,83106.000000
1066.393971,0.521069,275025.000000,82852.000000
1070.102806,0.519772,273940.000000,82772.000000
1075.041363,0.518036,272610.000000,82700.000000
1078.740364,0.516935,271864.000000,82683.000000
1082.435151,0.516447,271322.000000,82611.000000
1086.125723,0.514417,271668.000000,83104.000000
1089.812080,0.513159,272144.000000,83491.000000
1093.494224,0.513299,273135.000000,83768.000000
