Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 14:10:2,,
Header Version:,1,,
System Temp (C):,34.49,,
Detector Temp (C):,29.25,,
Humidity (%):,22.08,,
Lamp PD:,3695,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.671,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.735363,33639.000000,6187.000000
905.521072,0.752972,38213.000000,6749.000000
909.408318,0.758671,42332.000000,7379.000000
913.291349,0.766758,46950.000000,8033.000000
917.170165,0.763061,51785.000000,8936.000000
921.044767,0.756546,58287.000000,10210.000000
924.915155,0.750720,66979.000000,11891.000000
930.069116,0.759767,82100.000000,14275.000000
933.929670,0.775631,94317.000000,15811.000000
937.786010,0.786137,106099.000000,17361.000000
941.638135,0.796017,116718.000000,18669.000000
945.486046,0.804977,125961.000000,19736.000000
949.329742,0.811290,134812.000000,20818.000000
953.169224,0.816022,143641.000000,21941.000000
957.004491,0.820427,152380.000000,23041.000000
960.835544,0.822177,161986.000000,24395.000000
965.937059,0.828435,175129.000000,25997.000000
969.758279,0.835132,185335.000000,27091.000000
973.575284,0.834572,195809.000000,28659.000000
977.388074,0.836800,206740.000000,30104.000000
981.196650,0.837471,217308.000000,31594.000000
985.001012,0.840631,228047.000000,32915.000000
988.801159,0.842519,238038.000000,34208.000000
992.597092,0.843261,247444.000000,35499.000000
996.388810,0.842307,256381.000000,36862.000000
1000.176314,0.842250,264317.000000,38008.000000
1005.219764,0.840821,273187.000000,39413.000000
1008.997434,0.841380,278661.000000,40151.000000
1012.770890,0.840218,283378.000000,40940.000000
1016.540131,0.839661,286796.000000,41487.000000
1020.305158,0.839886,289545.000000,41863.000000
1024.065971,0.837915,290768.000000,42231.000000
1027.822569,0.838402,291659.000000,42313.000000
1031.574953,0.835278,291738.000000,42630.000000
1035.323122,0.834324,291180.000000,42642.000000
1040.314125,0.833039,289060.000000,42457.000000
1044.052461,0.832207,287270.000000,42275.000000
1047.786582,0.829301,285260.000000,42261.000000
1051.516489,0.827234,282938.000000,42117.000000
1055.242181,0.825716,280933.000000,41965.000000
1058.963659,0.822703,278805.000000,41937.000000
1062.680922,0.821496,276533.000000,41711.000000
1066.393971,0.817936,275025.000000,41825.000000
1070.102806,0.815898,273940.000000,41856.000000
1075.041363,0.814511,272610.000000,41786.000000
1078.740364,0.812086,271864.000000,41905.000000
1082.435151,0.808389,271322.000000,42179.000000
1086.125723,0.805803,271668.000000,42485.000000
1089.812080,0.803802,272144.000000,42756.000000
1093.494224,0.800482,273135.000000,43241.000000
1097.172153,0.799834,273441.000000,43354.000000
1100.845867,0.799515,274759.000000,43595.000000
1104.515367,0.798647,276154.000000,43904.000000
1109.401478,0.798332,278191.000000,44260.000000
1113.061144,0.798856,279666.000000,44441.000000
1116.716596,0.797865,281465.000000,44829.000000
1120.367833,0.798241,283330.000000,45087.000000
1124.014856,0.801475,285720.000000,45130.000000
1127.657665,0.803960,287805.000000,45200.000000
1131.296259,0.808895,290051.000000,45038.000000
