Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 14:7:34,,
Header Version:,1,,
System Temp (C):,33.39,,
Detector Temp (C):,28.29,,
Humidity (%):,23.8,,
Lamp PD:,3704,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.675,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.343402,33639.000000,15256.000000
905.521072,0.357238,38213.000000,16787.000000
909.408318,0.359262,42332.000000,18510.000000
913.291349,0.366887,46950.000000,20172.000000
917.170165,0.355660,51785.000000,22832.000000
921.044767,0.348399,58287.000000,26132.000000
924.915155,0.336965,66979.000000,30830.000000
930.069116,0.347552,82100.000000,36880.000000
933.929670,0.361108,94317.000000,41066.000000
937.786010,0.374404,106099.000000,44803.000000
941.638135,0.384406,116718.000000,48165.000000
945.486046,0.390203,125961.000000,51290.000000
949.329742,0.396467,134812.000000,54108.000000
953.169224,0.400277,143641.000000,57148.000000
957.004491,0.401352,152380.000000,60475.000000
960.835544,0.405215,161986.000000,63718.000000
965.937059,0.408709,175129.000000,68336.000000
969.758279,0.413184,185335.000000,71577.000000
973.575284,0.413702,195809.000000,75532.000000
977.388074,0.416897,206740.000000,79164.000000
981.196650,0.417569,217308.000000,83082.000000
985.001012,0.420652,228047.000000,86571.000000
988.801159,0.422076,238038.000000,90068.000000
992.597092,0.422805,247444.000000,93470.000000
996.388810,0.423212,256381.000000,96755.000000
1000.176314,0.423613,264317.000000,99658.000000
1005.219764,0.424615,273187.000000,102765.000000
1008.997434,0.424226,278661.000000,104918.000000
1012.770890,0.424458,283378.000000,106637.000000
1016.540131,0.423683,286796.000000,108116.000000
1020.305158,0.423442,289545.000000,109213.000000
1024.065971,0.423546,290768.000000,109648.000000
1027.822569,0.422946,291659.000000,110136.000000
1031.574953,0.422087,291738.000000,110384.000000
1035.323122,0.422244,291180.000000,110133.000000
1040.314125,0.420425,289060.000000,109790.000000
1044.052461,0.418737,287270.000000,109535.000000
1047.786582,0.419083,285260.000000,108682.000000
1051.516489,0.418288,282938.000000,107995.000000
1055.242181,0.417202,280933.000000,107498.000000
1058.963659,0.415856,278805.000000,107015.000000
1062.680922,0.414283,276533.000000,106528.000000
1066.393971,0.412880,275025.000000,106290.000000
1070.102806,0.412333,273940.000000,106004.000000
1075.041363,0.411442,272610.000000,105706.000000
1078.740364,0.410466,271864.000000,105654.000000
1082.435151,0.409653,271322.000000,105641.000000
1086.125723,0.407644,271668.000000,106266.000000
1089.812080,0.406769,272144.000000,106667.000000
1093.494224,0.406900,273135.000000,107023.000000
1097.172153,0.406859,273441.000000,107153.000000
1100.845867,0.406382,274759.000000,107788.000000
1104.515367,0.407061,276154.000000,108166.000000
1109.401478,0.407966,278191.000000,108737.000000
1113.061144,0.407896,279666.000000,109331.000000
1116.716596,0.409360,281465.000000,109664.000000
1120.367833,0.411117,283330.000000,109945.000000
1124.014856,0.414094,285720.000000,110115.000000
1127.657665,0.417027,287805.000000,110172.000000
1131.296259,0.421745,290051.000000,109832.000000
1134.930639,0.426754,292331.000000,109426.000000
1138.560804,0.433223,294917.000000,108762.000000
1143.394469,0.442206,298293.000000,107755.000000
1147.014801,0.449141,300985.000000,107005.000000
1150.630918,0.455276,304257.000000,106651.000000
1154.242821,0.460921,307712.000000,106469.000000
1157.850509,0.465395,310881.000000,106463.000000
1161.453983,0.469086,314276.000000,106715.000000
1165.053242,0.471006,318257.000000,107590.000000
1168.648287,0.474279,322819.000000,108313.000000
