Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 14:1:30,,
Header Version:,1,,
System Temp (C):,29.91,,
Detector Temp (C):,25.34,,
Humidity (%):,29.18,,
Lamp PD:,3636,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.674,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.515992,33639.000000,10253.000000
905.521072,0.528557,38213.000000,11315.000000
909.408318,0.533387,42332.000000,12396.000000
913.291349,0.544401,46950.000000,13404.000000
917.170165,0.534997,51785.000000,15108.000000
921.044767,0.526748,58287.000000,17331.000000
924.915155,0.520351,66979.000000,20211.000000
930.069116,0.533662,82100.000000,24026.000000
933.929670,0.550951,94317.000000,26524.000000
937.786010,0.571278,106099.000000,28473.000000
941.638135,0.585968,116718.000000,30281.000000
945.486046,0.597413,125961.000000,31829.000000
949.329742,0.610715,134812.000000,33038.000000
953.169224,0.622770,143641.000000,34238.000000
957.004491,0.631246,152380.000000,35619.000000
960.835544,0.637839,161986.000000,37294.000000
965.937059,0.648590,175129.000000,39334.000000
969.758279,0.656287,185335.000000,40895.000000
973.575284,0.659031,195809.000000,42934.000000
977.388074,0.665846,206740.000000,44625.000000
981.196650,0.669922,217308.000000,46468.000000
985.001012,0.674113,228047.000000,48296.000000
988.801159,0.676081,238038.000000,50184.000000
992.597092,0.678234,247444.000000,51909.000000
996.388810,0.680159,256381.000000,53546.000000
1000.176314,0.680430,264317.000000,55169.000000
1005.219764,0.680814,273187.000000,56970.000000
1008.997434,0.682833,278661.000000,57842.000000
1012.770890,0.681838,283378.000000,58956.000000
1016.540131,0.680676,286796.000000,59827.000000
1020.305158,0.679932,289545.000000,60504.000000
1024.065971,0.678730,290768.000000,60928.000000
1027.822569,0.677273,291659.000000,61320.000000
1031.574953,0.676019,291738.000000,61514.000000
1035.323122,0.674024,291180.000000,61679.000000
1040.314125,0.671675,289060.000000,61562.000000
1044.052461,0.670886,287270.000000,61292.000000
1047.786582,0.669449,285260.000000,61065.000000
1051.516489,0.666276,282938.000000,61012.000000
1055.242181,0.663993,280933.000000,60899.000000
1058.963659,0.661833,278805.000000,60739.000000
1062.680922,0.659726,276533.000000,60537.000000
1066.393971,0.657753,275025.000000,60481.000000
1070.102806,0.655111,273940.000000,60610.000000
1075.041363,0.651774,272610.000000,60781.000000
1078.740364,0.649991,271864.000000,60864.000000
1082.435151,0.647280,271322.000000,61123.000000
1086.125723,0.645396,271668.000000,61467.000000
1089.812080,0.643262,272144.000000,61878.000000
1093.494224,0.641868,273135.000000,62303.000000
1097.172153,0.639582,273441.000000,62702.000000
1100.845867,0.638091,274759.000000,63221.000000
1104.515367,0.637817,276154.000000,63582.000000
1109.401478,0.636882,278191.000000,64189.000000
1113.061144,0.636609,279666.000000,64570.000000
1116.716596,0.638178,281465.000000,64751.000000
1120.367833,0.638525,283330.000000,65128.000000
1124.014856,0.641926,285720.000000,65165.000000
1127.657665,0.646927,287805.000000,64889.000000
1131.296259,0.655054,290051.000000,64183.000000
1134.930639,0.664211,292331.000000,63338.000000
1138.560804,0.675672,294917.000000,62234.000000
1143.394469,0.691347,298293.000000,60715.000000
1147.014801,0.702498,300985.000000,59710.000000
1150.630918,0.712256,304257.000000,59018.000000
1154.242821,0.720499,307712.000000,58566.000000
1157.850509,0.725587,310881.000000,58480.000000
1161.453983,0.730378,314276.000000,58470.000000
1165.053242,0.732464,318257.000000,58927.000000
1168.648287,0.735934,322819.000000,59296.000000
1172.239118,0.737727,326850.000000,59789.000000
1177.020337,0.741975,332795.000000,60284.000000
1180.601334,0.744830,338252.000000,60871.000000
1184.178116,0.748647,344529.000000,61458.000000
1187.750684,0.753210,351023.000000,61962.000000
1191.319038,0.757090,357082.000000,62471.000000
1194.883177,0.759553,364643.000000,63433.000000
1198.443102,0.762618,372656.000000,64371.000000
1201.998812,0.762724,379916.000000,65609.000000
1205.550308,0.764393,387104.000000,66594.000000
1210.279081,0.763279,398358.000000,68706.000000
1213.820743,0.758496,406330.000000,70857.000000
1217.358191,0.754262,414296.000000,72954.000000
1220.891424,0.749319,423100.000000,75357.000000
1224.420443,0.744698,431276.000000,77635.000000
1227.945248,0.741020,440314.000000,79936.000000
1231.465838,0.737992,449218.000000,82123.000000
1234.982214,0.735835,457807.000000,84110.000000
1238.494375,0.734796,468067.000000,86201.000000
1243.170701,0.733425,479193.000000,88529.000000
1246.673029,0.731784,486758.000000,90267.000000
1250.171142,0.730871,495180.000000,92022.000000
1253.665041,0.730940,503918.000000,93631.000000
1257.154726,0.728673,511654.000000,95566.000000
1260.640196,0.727036,521154.000000,97708.000000
1264.121451,0.725330,534098.000000,100529.000000
1267.598492,0.726480,549524.000000,103159.000000
1271.071319,0.728402,564969.000000,105590.000000
1275.695199,0.730429,583497.000000,108545.000000
1279.158192,0.731834,596509.000000,110607.000000
1282.616970,0.734460,610137.000000,112452.000000
1286.071534,0.737523,621777.000000,113792.000000
1289.521884,0.741446,632911.000000,114788.000000
1292.968020,0.745759,643299.000000,115519.000000
1296.409940,0.751962,653998.000000,115775.000000
1299.847647,0.756826,662535.000000,115980.000000
1303.281139,0.762879,669534.000000,115583.000000
1307.852572,0.771902,680622.000000,115081.000000
1311.276231,0.779184,687613.000000,114330.000000
1314.695675,0.787086,692993.000000,113147.000000
1318.110904,0.796250,697587.000000,111519.000000
1321.521919,0.807521,703545.000000,109590.000000
1324.928720,0.818147,707997.000000,107618.000000
1328.331306,0.828304,710077.000000,105439.000000
1331.729678,0.839610,712333.000000,103056.000000
1335.123835,0.850223,715576.000000,101026.000000
1339.642823,0.864605,717691.000000,98024.000000
1343.027147,0.874434,716977.000000,95735.000000
1346.407256,0.883528,716577.000000,93699.000000
1349.783151,0.892736,716270.000000,91694.000000
1353.154831,0.902073,715315.000000,89624.000000
1356.522297,0.911293,713176.000000,87479.000000
1359.885549,0.920577,710971.000000,85364.000000
1363.244586,0.931588,708733.000000,82965.000000
1366.599408,0.944480,706319.000000,80264.000000
1371.065950,0.965911,701665.000000,75896.000000
1374.410939,0.987093,697460.000000,71850.000000
