Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 14:5:2,,
Header Version:,1,,
System Temp (C):,32.27,,
Detector Temp (C):,26.56,,
Humidity (%):,25.34,,
Lamp PD:,3681,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.732,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.231386,33639.000000,19745.000000
905.521072,0.247094,38213.000000,21633.000000
909.408318,0.249727,42332.000000,23820.000000
913.291349,0.254912,46950.000000,26105.000000
917.170165,0.246152,51785.000000,29380.000000
921.044767,0.234016,58287.000000,34006.000000
924.915155,0.224705,66979.000000,39924.000000
930.069116,0.234380,82100.000000,47859.000000
933.929670,0.248866,94317.000000,53177.000000
937.786010,0.261378,106099.000000,58121.000000
941.638135,0.270002,116718.000000,62681.000000
945.486046,0.276110,125961.000000,66700.000000
949.329742,0.282922,134812.000000,70276.000000
953.169224,0.288728,143641.000000,73884.000000
957.004491,0.290594,152380.000000,78043.000000
960.835544,0.293392,161986.000000,82430.000000
965.937059,0.296906,175129.000000,88400.000000
969.758279,0.302304,185335.000000,92396.000000
973.575284,0.304564,195809.000000,97111.000000
977.388074,0.309322,206740.000000,101415.000000
981.196650,0.311631,217308.000000,106034.000000
985.001012,0.315528,228047.000000,110280.000000
988.801159,0.316769,238038.000000,114783.000000
992.597092,0.319487,247444.000000,118574.000000
996.388810,0.323638,256381.000000,121688.000000
1000.176314,0.325712,264317.000000,124857.000000
1005.219764,0.328013,273187.000000,128365.000000
1008.997434,0.329023,278661.000000,130633.000000
1012.770890,0.329646,283378.000000,132654.000000
1016.540131,0.329759,286796.000000,134219.000000
1020.305158,0.331833,289545.000000,134860.000000
1024.065971,0.333586,290768.000000,134884.000000
1027.822569,0.334310,291659.000000,135072.000000
1031.574953,0.334286,291738.000000,135116.000000
1035.323122,0.334121,291180.000000,134909.000000
1040.314125,0.332724,289060.000000,134358.000000
1044.052461,0.333564,287270.000000,133268.000000
1047.786582,0.334647,285260.000000,132006.000000
1051.516489,0.333827,282938.000000,131179.000000
1055.242181,0.333502,280933.000000,130347.000000
1058.963659,0.332629,278805.000000,129620.000000
1062.680922,0.331087,276533.000000,129021.000000
1066.393971,0.329837,275025.000000,128687.000000
1070.102806,0.328725,273940.000000,128508.000000
1075.041363,0.327579,272610.000000,128222.000000
1078.740364,0.327658,271864.000000,127848.000000
1082.435151,0.326631,271322.000000,127895.000000
1086.125723,0.325670,271668.000000,128342.000000
1089.812080,0.323893,272144.000000,129094.000000
1093.494224,0.323267,273135.000000,129751.000000
1097.172153,0.321423,273441.000000,130449.000000
1100.845867,0.320624,274759.000000,131319.000000
1104.515367,0.321361,276154.000000,131762.000000
1109.401478,0.322340,278191.000000,132435.000000
1113.061144,0.322194,279666.000000,133182.000000
1116.716596,0.323072,281465.000000,133768.000000
1120.367833,0.322339,283330.000000,134882.000000
1124.014856,0.323438,285720.000000,135676.000000
1127.657665,0.323594,287805.000000,136617.000000
1131.296259,0.325868,290051.000000,136964.000000
1134.930639,0.327537,292331.000000,137511.000000
1138.560804,0.331214,294917.000000,137558.000000
1143.394469,0.337545,298293.000000,137119.000000
1147.014801,0.340662,300985.000000,137367.000000
1150.630918,0.344913,304257.000000,137508.000000
1154.242821,0.348117,307712.000000,138047.000000
