Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 14:13:54,,
Header Version:,1,,
System Temp (C):,35.49,,
Detector Temp (C):,30.48,,
Humidity (%):,21.33,,
Lamp PD:,3680,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.725,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.424959,33639.000000,12644.000000
905.521072,0.440667,38213.000000,13853.000000
909.408318,0.437768,42332.000000,15449.000000
913.291349,0.437574,46950.000000,17142.000000
917.170165,0.430225,51785.000000,19230.000000
921.044767,0.428572,58287.000000,21727.000000
924.915155,0.427981,66979.000000,25001.000000
930.069116,0.434092,82100.000000,30217.000000
933.929670,0.449532,94317.000000,33501.000000
937.786010,0.465147,106099.000000,36355.000000
941.638135,0.476653,116718.000000,38948.000000
945.486046,0.484444,125961.000000,41285.000000
949.329742,0.489426,134812.000000,43682.000000
953.169224,0.498771,143641.000000,45552.000000
957.004491,0.502484,152380.000000,47912.000000
960.835544,0.515390,161986.000000,49441.000000
965.937059,0.523066,175129.000000,52516.000000
969.758279,0.527611,185335.000000,54998.000000
973.575284,0.536141,195809.000000,56976.000000
977.388074,0.540237,206740.000000,59592.000000
981.196650,0.543886,217308.000000,62114.000000
985.001012,0.551024,228047.000000,64121.000000
988.801159,0.552990,238038.000000,66628.000000
992.597092,0.554697,247444.000000,68989.000000
996.388810,0.552653,256381.000000,71818.000000
1000.176314,0.552612,264317.000000,74048.000000
1005.219764,0.552878,273187.000000,76486.000000
1008.997434,0.555578,278661.000000,77535.000000
1012.770890,0.556353,283378.000000,78707.000000
1016.540131,0.556142,286796.000000,79695.000000
1020.305158,0.559838,289545.000000,79777.000000
1024.065971,0.556076,290768.000000,80811.000000
1027.822569,0.554038,291659.000000,81440.000000
1031.574953,0.554854,291738.000000,81309.000000
1035.323122,0.555510,291180.000000,81031.000000
1040.314125,0.555872,289060.000000,80374.000000
1044.052461,0.554268,287270.000000,80172.000000
1047.786582,0.549888,285260.000000,80418.000000
1051.516489,0.546489,282938.000000,80390.000000
1055.242181,0.546829,280933.000000,79758.000000
1058.963659,0.545901,278805.000000,79323.000000
1062.680922,0.545210,276533.000000,78802.000000
1066.393971,0.548527,275025.000000,77776.000000
1070.102806,0.546693,273940.000000,77797.000000
1075.041363,0.543703,272610.000000,77954.000000
1078.740364,0.542725,271864.000000,77916.000000
1082.435151,0.538958,271322.000000,78438.000000
1086.125723,0.538594,271668.000000,78604.000000
1089.812080,0.537755,272144.000000,78894.000000
1093.494224,0.538157,273135.000000,79108.000000
1097.172153,0.538314,273441.000000,79168.000000
1100.845867,0.537859,274759.000000,79633.000000
1104.515367,0.537394,276154.000000,80123.000000
1109.401478,0.535022,278191.000000,81156.000000
1113.061144,0.536619,279666.000000,81287.000000
1116.716596,0.538203,281465.000000,81512.000000
1120.367833,0.541545,283330.000000,81423.000000
1124.014856,0.550447,285720.000000,80444.000000
1127.657665,0.555379,287805.000000,80116.000000
1131.296259,0.563667,290051.000000,79215.000000
1134.930639,0.573652,292331.000000,78023.000000
1138.560804,0.583407,294917.000000,76965.000000
1143.394469,0.596259,298293.000000,75576.000000
1147.014801,0.605393,300985.000000,74671.000000
1150.630918,0.616003,304257.000000,73661.000000
1154.242821,0.625179,307712.000000,72940.000000
1157.850509,0.637305,310881.000000,71662.000000
1161.453983,0.643905,314276.000000,71352.000000
1165.053242,0.647665,318257.000000,71633.000000
1168.648287,0.655297,322819.000000,71394.000000
1172.239118,0.656576,326850.000000,72073.000000
1177.020337,0.661497,332795.000000,72557.000000
1180.601334,0.666632,338252.000000,72880.000000
1184.178116,0.670283,344529.000000,73611.000000
1187.750684,0.675429,351023.000000,74115.000000
1191.319038,0.680250,357082.000000,74562.000000
1194.883177,0.684819,364643.000000,75344.000000
