Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 14:19:25,,
Header Version:,1,,
System Temp (C):,35.62,,
Detector Temp (C):,31.8,,
Humidity (%):,20.01,,
Lamp PD:,3661,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.732,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.615685,33639.000000,8150.000000
905.521072,0.632528,38213.000000,8906.000000
909.408318,0.638021,42332.000000,9742.000000
913.291349,0.652478,46950.000000,10451.000000
917.170165,0.643354,51785.000000,11772.000000
921.044767,0.638499,58287.000000,13399.000000
924.915155,0.636055,66979.000000,15484.000000
930.069116,0.645064,82100.000000,18590.000000
933.929670,0.655817,94317.000000,20834.000000
937.786010,0.672334,106099.000000,22562.000000
941.638135,0.683412,116718.000000,24195.000000
945.486046,0.691183,125961.000000,25648.000000
949.329742,0.696791,134812.000000,27098.000000
953.169224,0.706045,143641.000000,28264.000000
957.004491,0.712209,152380.000000,29561.000000
960.835544,0.717360,161986.000000,31054.000000
965.937059,0.725160,175129.000000,32976.000000
969.758279,0.733272,185335.000000,34252.000000
973.575284,0.736122,195809.000000,35951.000000
977.388074,0.741173,206740.000000,37519.000000
981.196650,0.744988,217308.000000,39092.000000
985.001012,0.749777,228047.000000,40574.000000
988.801159,0.752787,238038.000000,42059.000000
992.597092,0.754130,247444.000000,43586.000000
996.388810,0.756785,256381.000000,44885.000000
1000.176314,0.758575,264317.000000,46084.000000
1005.219764,0.758953,273187.000000,47589.000000
1008.997434,0.761480,278661.000000,48261.000000
1012.770890,0.762117,283378.000000,49006.000000
1016.540131,0.759969,286796.000000,49843.000000
1020.305158,0.761177,289545.000000,50181.000000
1024.065971,0.760565,290768.000000,50464.000000
1027.822569,0.759020,291659.000000,50799.000000
1031.574953,0.758540,291738.000000,50869.000000
1035.323122,0.757879,291180.000000,50849.000000
1040.314125,0.754996,289060.000000,50815.000000
1044.052461,0.754518,287270.000000,50556.000000
1047.786582,0.754286,285260.000000,50229.000000
1051.516489,0.749424,282938.000000,50381.000000
1055.242181,0.748115,280933.000000,50175.000000
1058.963659,0.747017,278805.000000,49921.000000
1062.680922,0.744213,276533.000000,49835.000000
1066.393971,0.742719,275025.000000,49734.000000
1070.102806,0.740295,273940.000000,49815.000000
1075.041363,0.736633,272610.000000,49993.000000
1078.740364,0.732879,271864.000000,50289.000000
1082.435151,0.730013,271322.000000,50521.000000
1086.125723,0.727346,271668.000000,50897.000000
1089.812080,0.724326,272144.000000,51342.000000
1093.494224,0.722954,273135.000000,51692.000000
1097.172153,0.721286,273441.000000,51949.000000
1100.845867,0.718908,274759.000000,52486.000000
1104.515367,0.715934,276154.000000,53115.000000
1109.401478,0.714976,278191.000000,53625.000000
1113.061144,0.713394,279666.000000,54106.000000
1116.716596,0.712884,281465.000000,54518.000000
1120.367833,0.713061,283330.000000,54857.000000
1124.014856,0.715049,285720.000000,55067.000000
1127.657665,0.716994,287805.000000,55221.000000
1131.296259,0.721205,290051.000000,55115.000000
1134.930639,0.725654,292331.000000,54982.000000
1138.560804,0.731673,294917.000000,54705.000000
1143.394469,0.739963,298293.000000,54285.000000
1147.014801,0.747472,300985.000000,53836.000000
1150.630918,0.754733,304257.000000,53519.000000
1154.242821,0.760847,307712.000000,53370.000000
1157.850509,0.764711,310881.000000,53442.000000
1161.453983,0.768876,314276.000000,53510.000000
1165.053242,0.772093,318257.000000,53788.000000
1168.648287,0.775168,322819.000000,54174.000000
1172.239118,0.777243,326850.000000,54589.000000
1177.020337,0.779892,332795.000000,55244.000000
1180.601334,0.784017,338252.000000,55619.000000
1184.178116,0.785839,344529.000000,56414.000000
