Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 14:56:15,,
Header Version:,1,,
System Temp (C):,38.14,,
Detector Temp (C):,34.59,,
Humidity (%):,16.4,,
Lamp PD:,3619,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.673,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.348096,33639.000000,15092.000000
905.521072,0.364780,38213.000000,16498.000000
909.408318,0.371807,42332.000000,17983.000000
913.291349,0.375849,46950.000000,19760.000000
917.170165,0.369655,51785.000000,22108.000000
921.044767,0.360789,58287.000000,25397.000000
924.915155,0.357562,66979.000000,29402.000000
930.069116,0.361590,82100.000000,35707.000000
933.929670,0.372715,94317.000000,39983.000000
937.786010,0.382575,106099.000000,43968.000000
941.638135,0.389248,116718.000000,47631.000000
945.486046,0.396283,125961.000000,50577.000000
949.329742,0.400337,134812.000000,53628.000000
953.169224,0.405453,143641.000000,56471.000000
957.004491,0.406227,152380.000000,59800.000000
960.835544,0.408328,161986.000000,63263.000000
965.937059,0.412019,175129.000000,67817.000000
969.758279,0.416076,185335.000000,71102.000000
973.575284,0.417415,195809.000000,74889.000000
977.388074,0.422012,206740.000000,78237.000000
981.196650,0.423082,217308.000000,82034.000000
985.001012,0.425713,228047.000000,85568.000000
988.801159,0.427642,238038.000000,88921.000000
992.597092,0.429595,247444.000000,92020.000000
996.388810,0.432366,256381.000000,94737.000000
1000.176314,0.433954,264317.000000,97313.000000
1005.219764,0.434947,273187.000000,100349.000000
1008.997434,0.436123,278661.000000,102083.000000
1012.770890,0.436545,283378.000000,103710.000000
1016.540131,0.436678,286796.000000,104929.000000
1020.305158,0.438983,289545.000000,105374.000000
1024.065971,0.438946,290768.000000,105828.000000
1027.822569,0.439774,291659.000000,105950.000000
1031.574953,0.438750,291738.000000,106229.000000
1035.323122,0.438221,291180.000000,106155.000000
1040.314125,0.437423,289060.000000,105576.000000
1044.052461,0.438103,287270.000000,104758.000000
1047.786582,0.438212,285260.000000,103999.000000
1051.516489,0.437595,282938.000000,103299.000000
1055.242181,0.436023,280933.000000,102939.000000
1058.963659,0.434674,278805.000000,102477.000000
1062.680922,0.433245,276533.000000,101977.000000
1066.393971,0.432573,275025.000000,101578.000000
1070.102806,0.430963,273940.000000,101553.000000
1075.041363,0.430318,272610.000000,101210.000000
1078.740364,0.429734,271864.000000,101069.000000
1082.435151,0.428974,271322.000000,101044.000000
1086.125723,0.427367,271668.000000,101548.000000
1089.812080,0.425760,272144.000000,102103.000000
1093.494224,0.424524,273135.000000,102767.000000
1097.172153,0.423533,273441.000000,103117.000000
1100.845867,0.423370,274759.000000,103653.000000
1104.515367,0.424193,276154.000000,103982.000000
1109.401478,0.425040,278191.000000,104545.000000
1113.061144,0.425517,279666.000000,104984.000000
1116.716596,0.426489,281465.000000,105423.000000
1120.367833,0.426561,283330.000000,106104.000000
1124.014856,0.428522,285720.000000,106517.000000
1127.657665,0.430568,287805.000000,106790.000000
1131.296259,0.433684,290051.000000,106854.000000
1134.930639,0.438468,292331.000000,106514.000000
1138.560804,0.443739,294917.000000,106160.000000
1143.394469,0.452070,298293.000000,105335.000000
1147.014801,0.457050,300985.000000,105074.000000
1150.630918,0.462415,304257.000000,104912.000000
1154.242821,0.467108,307712.000000,104963.000000
1157.850509,0.469787,310881.000000,105392.000000
1161.453983,0.472842,314276.000000,105796.000000
1165.053242,0.475371,318257.000000,106514.000000
1168.648287,0.478635,322819.000000,107232.000000
1172.239118,0.480748,326850.000000,108044.000000
1177.020337,0.484535,332795.000000,109054.000000
1180.601334,0.487169,338252.000000,110172.000000
1184.178116,0.489130,344529.000000,111711.000000
1187.750684,0.492111,351023.000000,113038.000000
1191.319038,0.494589,357082.000000,114335.000000
1194.883177,0.496965,364643.000000,116119.000000
1198.443102,0.499651,372656.000000,117939.000000
1201.998812,0.502080,379916.000000,119566.000000
1205.550308,0.503559,387104.000000,121414.000000
1210.279081,0.503822,398358.000000,124868.000000
1213.820743,0.500243,406330.000000,128421.000000
1217.358191,0.494531,414296.000000,132672.000000
1220.891424,0.488497,423100.000000,137387.000000
1224.420443,0.482262,431276.000000,142067.000000
1227.945248,0.478115,440314.000000,146436.000000
1231.465838,0.474566,449218.000000,150623.000000
1234.982214,0.472134,457807.000000,154365.000000
1238.494375,0.471258,468067.000000,158143.000000
1243.170701,0.471113,479193.000000,161956.000000
1246.673029,0.469850,486758.000000,164992.000000
1250.171142,0.469268,495180.000000,168072.000000
1253.665041,0.467939,503918.000000,171562.000000
1257.154726,0.465095,511654.000000,175340.000000
1260.640196,0.461790,521154.000000,179960.000000
1264.121451,0.459118,534098.000000,185568.000000
1267.598492,0.459379,549524.000000,190813.000000
1271.071319,0.460143,564969.000000,195831.000000
1275.695199,0.461654,583497.000000,201551.000000
1279.158192,0.463268,596509.000000,205281.000000
1282.616970,0.465210,610137.000000,209034.000000
1286.071534,0.466376,621777.000000,212451.000000
1289.521884,0.468174,632911.000000,215362.000000
1292.968020,0.470223,643299.000000,217866.000000
1296.409940,0.472341,653998.000000,220412.000000
1299.847647,0.474187,662535.000000,222342.000000
1303.281139,0.476328,669534.000000,223586.000000
1307.852572,0.480930,680622.000000,224893.000000
1311.276231,0.484519,687613.000000,225333.000000
1314.695675,0.488896,692993.000000,224819.000000
1318.110904,0.493601,697587.000000,223871.000000
1321.521919,0.500159,703545.000000,222399.000000
1324.928720,0.505930,707997.000000,220852.000000
1328.331306,0.511224,710077.000000,218817.000000
1331.729678,0.516572,712333.000000,216826.000000
1335.123835,0.522444,715576.000000,214888.000000
1339.642823,0.528826,717691.000000,212379.000000
1343.027147,0.533965,716977.000000,209672.000000
1346.407256,0.539423,716577.000000,206938.000000
1349.783151,0.544545,716270.000000,204424.000000
1353.154831,0.550636,715315.000000,201308.000000
1356.522297,0.555935,713176.000000,198272.000000
1359.885549,0.561788,710971.000000,195013.000000
1363.244586,0.568241,708733.000000,191532.000000
1366.599408,0.575407,706319.000000,187756.000000
1371.065950,0.587905,701665.000000,181228.000000
1374.410939,0.599284,697460.000000,175483.000000
1377.751713,0.613608,691985.000000,168457.000000
1381.088274,0.629872,686523.000000,160984.000000
1384.420619,0.647981,680381.000000,153028.000000
1387.748751,0.669043,675468.000000,144731.000000
1391.072668,0.691372,671911.000000,136754.000000
1394.392370,0.713557,668723.000000,129327.000000
1397.707858,0.738199,666533.000000,121793.000000
1402.121953,0.771396,665113.000000,112590.000000
1405.427607,0.796696,665198.000000,106232.000000
1408.729047,0.820091,664935.000000,100621.000000
1412.026273,0.841703,664455.000000,95667.000000
1415.319284,0.860669,664556.000000,91593.000000
1418.608081,0.877092,664917.000000,88242.000000
1421.892663,0.890227,665017.000000,85626.000000
1425.173031,0.902312,664617.000000,83226.000000
1428.449184,0.912304,665359.000000,81424.000000
1431.721123,0.920623,666424.000000,80007.000000
1436.077153,0.925381,667155.000000,79222.000000
1439.339258,0.929934,668127.000000,78510.000000
1442.597149,0.932529,668698.000000,78109.000000
1445.850825,0.934769,669264.000000,77773.000000
1449.100287,0.936503,669273.000000,77464.000000
1452.345535,0.937410,669026.000000,77274.000000
1455.586568,0.938007,668707.000000,77131.000000
1458.823387,0.937519,668068.000000,77144.000000
1462.055991,0.935948,666684.000000,77263.000000
1466.359575,0.934381,665382.000000,77391.000000
1469.582345,0.929779,664120.000000,78067.000000
1472.800901,0.925594,662276.000000,78604.000000
1476.015243,0.919867,660385.000000,79420.000000
1479.225371,0.915645,658310.000000,79944.000000
1482.431284,0.909909,656313.000000,80761.000000
1485.632982,0.901640,654173.000000,82045.000000
1488.830466,0.895148,651677.000000,82963.000000
1492.023736,0.889697,649126.000000,83682.000000
1496.274873,0.881593,646247.000000,84880.000000
1499.458309,0.873795,643294.000000,86023.000000
1502.637531,0.868774,640417.000000,86634.000000
1505.812538,0.863436,637303.000000,87279.000000
1508.983330,0.858720,634074.000000,87785.000000
1512.149909,0.852885,630551.000000,88478.000000
1515.312273,0.848006,626579.000000,88914.000000
1518.470422,0.843947,623236.000000,89270.000000
1521.624357,0.839763,619556.000000,89602.000000
1525.823048,0.835037,614520.000000,89846.000000
1528.967149,0.830759,610731.000000,90176.000000
1532.107036,0.827828,606260.000000,90122.000000
1535.242709,0.823388,601771.000000,90374.000000
1538.374167,0.820014,597293.000000,90401.000000
1541.501410,0.815805,592533.000000,90554.000000
1544.624439,0.811873,587614.000000,90619.000000
1547.743254,0.808924,582008.000000,90366.000000
1550.857855,0.805403,576631.000000,90260.000000
1555.004099,0.801374,569180.000000,89924.000000
1558.108866,0.799148,563682.000000,89513.000000
1561.209418,0.796852,557265.000000,88963.000000
1564.305756,0.793753,551187.000000,88623.000000
1567.397879,0.790398,545545.000000,88396.000000
1570.485788,0.787954,539133.000000,87850.000000
1573.569483,0.786114,532551.000000,87146.000000
1576.648963,0.784380,525907.000000,86403.000000
1579.724229,0.781304,518938.000000,85864.000000
1583.818027,0.779329,509333.000000,84659.000000
1586.883459,0.776201,502458.000000,84120.000000
1589.944677,0.772802,494992.000000,83521.000000
1593.001680,0.767654,487232.000000,83192.000000
1596.054469,0.763623,480020.000000,82725.000000
1599.103043,0.759558,472168.000000,82137.000000
1602.147403,0.757823,464280.000000,81088.000000
1605.187548,0.753000,456706.000000,80656.000000
1608.223479,0.748995,448530.000000,79946.000000
1612.264832,0.744225,437205.000000,78788.000000
1615.290929,0.740269,429490.000000,78106.000000
1618.312812,0.737303,421504.000000,77179.000000
1621.330481,0.734434,413173.000000,76155.000000
1624.343935,0.731255,404553.000000,75114.000000
1627.353174,0.728956,396423.000000,73995.000000
