Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 15:11:3,,
Header Version:,1,,
System Temp (C):,39.35,,
Detector Temp (C):,35.59,,
Humidity (%):,14.74,,
Lamp PD:,3679,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.723,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.394423,33639.000000,13565.000000
905.521072,0.410982,38213.000000,14833.000000
909.408318,0.409633,42332.000000,16483.000000
913.291349,0.419438,46950.000000,17873.000000
917.170165,0.414893,51785.000000,19921.000000
921.044767,0.412945,58287.000000,22523.000000
924.915155,0.406991,66979.000000,26239.000000
930.069116,0.413366,82100.000000,31694.000000
933.929670,0.425158,94317.000000,35435.000000
937.786010,0.437372,106099.000000,38756.000000
941.638135,0.446898,116718.000000,41710.000000
945.486046,0.454657,125961.000000,44216.000000
949.329742,0.459845,134812.000000,46761.000000
953.169224,0.466073,143641.000000,49114.000000
957.004491,0.471003,152380.000000,51514.000000
960.835544,0.477373,161986.000000,53964.000000
965.937059,0.484779,175129.000000,57356.000000
969.758279,0.489220,185335.000000,60081.000000
973.575284,0.492141,195809.000000,63051.000000
977.388074,0.498832,206740.000000,65553.000000
981.196650,0.502350,217308.000000,68348.000000
985.001012,0.507642,228047.000000,70857.000000
988.801159,0.511519,238038.000000,73304.000000
992.597092,0.514553,247444.000000,75670.000000
996.388810,0.516418,256381.000000,78067.000000
1000.176314,0.517983,264317.000000,80194.000000
1005.219764,0.520596,273187.000000,82388.000000
1008.997434,0.523125,278661.000000,83551.000000
1012.770890,0.524806,283378.000000,84637.000000
1016.540131,0.524197,286796.000000,85778.000000
1020.305158,0.524725,289545.000000,86495.000000
1024.065971,0.524587,290768.000000,86888.000000
1027.822569,0.524459,291659.000000,87180.000000
1031.574953,0.525539,291738.000000,86987.000000
1035.323122,0.526313,291180.000000,86666.000000
1040.314125,0.525400,289060.000000,86216.000000
1044.052461,0.524692,287270.000000,85822.000000
1047.786582,0.523432,285260.000000,85469.000000
1051.516489,0.522369,282938.000000,84981.000000
1055.242181,0.522785,280933.000000,84298.000000
1058.963659,0.521849,278805.000000,83840.000000
1062.680922,0.520972,276533.000000,83325.000000
1066.393971,0.520352,275025.000000,82989.000000
1070.102806,0.518541,273940.000000,83007.000000
1075.041363,0.516338,272610.000000,83024.000000
1078.740364,0.514437,271864.000000,83160.000000
1082.435151,0.513591,271322.000000,83156.000000
1086.125723,0.512518,271668.000000,83468.000000
1089.812080,0.511508,272144.000000,83809.000000
1093.494224,0.511070,273135.000000,84199.000000
1097.172153,0.509473,273441.000000,84604.000000
1100.845867,0.507825,274759.000000,85335.000000
1104.515367,0.507355,276154.000000,85861.000000
1109.401478,0.506685,278191.000000,86628.000000
1113.061144,0.506841,279666.000000,87056.000000
1116.716596,0.507714,281465.000000,87440.000000
1120.367833,0.508057,283330.000000,87950.000000
1124.014856,0.511177,285720.000000,88057.000000
1127.657665,0.513551,287805.000000,88216.000000
1131.296259,0.517025,290051.000000,88196.000000
1134.930639,0.521215,292331.000000,88036.000000
1138.560804,0.527454,294917.000000,87548.000000
1143.394469,0.536519,298293.000000,86721.000000
1147.014801,0.543940,300985.000000,86021.000000
1150.630918,0.550300,304257.000000,85692.000000
1154.242821,0.555935,307712.000000,85548.000000
1157.850509,0.560587,310881.000000,85508.000000
1161.453983,0.563439,314276.000000,85876.000000
1165.053242,0.565837,318257.000000,86485.000000
1168.648287,0.567820,322819.000000,87325.000000
1172.239118,0.568673,326850.000000,88242.000000
1177.020337,0.573085,332795.000000,88939.000000
1180.601334,0.575940,338252.000000,89805.000000
1184.178116,0.579738,344529.000000,90675.000000
1187.750684,0.583772,351023.000000,91530.000000
