Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 15:1:30,,
Header Version:,1,,
System Temp (C):,38.48,,
Detector Temp (C):,34.71,,
Humidity (%):,15.91,,
Lamp PD:,3587,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.676,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.358198,33639.000000,14745.000000
905.521072,0.374873,38213.000000,16119.000000
909.408318,0.373816,42332.000000,17900.000000
913.291349,0.380333,46950.000000,19557.000000
917.170165,0.372631,51785.000000,21957.000000
921.044767,0.366989,58287.000000,25037.000000
924.915155,0.358153,66979.000000,29362.000000
930.069116,0.364739,82100.000000,35449.000000
933.929670,0.373128,94317.000000,39945.000000
937.786010,0.382713,106099.000000,43954.000000
941.638135,0.390143,116718.000000,47533.000000
945.486046,0.392402,125961.000000,51031.000000
949.329742,0.396893,134812.000000,54055.000000
953.169224,0.401434,143641.000000,56996.000000
957.004491,0.401790,152380.000000,60414.000000
960.835544,0.403542,161986.000000,63964.000000
965.937059,0.408207,175129.000000,68415.000000
969.758279,0.410004,185335.000000,72103.000000
973.575284,0.411831,195809.000000,75858.000000
977.388074,0.415369,206740.000000,79443.000000
981.196650,0.416650,217308.000000,83258.000000
985.001012,0.420256,228047.000000,86650.000000
988.801159,0.422129,238038.000000,90057.000000
992.597092,0.424150,247444.000000,93181.000000
996.388810,0.426307,256381.000000,96068.000000
1000.176314,0.428288,264317.000000,98591.000000
1005.219764,0.429558,273187.000000,101602.000000
1008.997434,0.431683,278661.000000,103132.000000
1012.770890,0.432237,283378.000000,104744.000000
1016.540131,0.432964,286796.000000,105830.000000
1020.305158,0.434709,289545.000000,106416.000000
1024.065971,0.435451,290768.000000,106683.000000
1027.822569,0.435370,291659.000000,107030.000000
1031.574953,0.436389,291738.000000,106808.000000
