Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 15:16:18,,
Header Version:,1,,
System Temp (C):,39.41,,
Detector Temp (C):,36.48,,
Humidity (%):,14.25,,
Lamp PD:,3642,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.730,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.706839,33639.000000,6607.000000
905.521072,0.722473,38213.000000,7240.000000
909.408318,0.726575,42332.000000,7945.000000
913.291349,0.741961,46950.000000,8505.000000
917.170165,0.744136,51785.000000,9334.000000
921.044767,0.737937,58287.000000,10657.000000
924.915155,0.732167,66979.000000,12410.000000
930.069116,0.741448,82100.000000,14890.000000
933.929670,0.753306,94317.000000,16645.000000
937.786010,0.765473,106099.000000,18207.000000
941.638135,0.775192,116718.000000,19586.000000
945.486046,0.783427,125961.000000,20740.000000
949.329742,0.787938,134812.000000,21968.000000
953.169224,0.796534,143641.000000,22948.000000
957.004491,0.804258,152380.000000,23915.000000
960.835544,0.809769,161986.000000,25102.000000
965.937059,0.817628,175129.000000,26652.000000
969.758279,0.824882,185335.000000,27738.000000
973.575284,0.827179,195809.000000,29151.000000
977.388074,0.834297,206740.000000,30278.000000
981.196650,0.837760,217308.000000,31573.000000
985.001012,0.842932,228047.000000,32741.000000
988.801159,0.847742,238038.000000,33799.000000
992.597092,0.851100,247444.000000,34864.000000
996.388810,0.852752,256381.000000,35986.000000
1000.176314,0.853278,264317.000000,37055.000000
1005.219764,0.857603,273187.000000,37919.000000
