Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 14:51:56,,
Header Version:,1,,
System Temp (C):,38.05,,
Detector Temp (C):,34.26,,
Humidity (%):,16.38,,
Lamp PD:,3604,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.673,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.417130,33639.000000,12874.000000
905.521072,0.430566,38213.000000,14179.000000
909.408318,0.430576,42332.000000,15707.000000
913.291349,0.442440,46950.000000,16951.000000
917.170165,0.438087,51785.000000,18885.000000
921.044767,0.431017,58287.000000,21605.000000
924.915155,0.428868,66979.000000,24950.000000
930.069116,0.435589,82100.000000,30113.000000
933.929670,0.446934,94317.000000,33702.000000
937.786010,0.461211,106099.000000,36686.000000
941.638135,0.470332,116718.000000,39519.000000
945.486046,0.476852,125961.000000,42013.000000
949.329742,0.482610,134812.000000,44373.000000
953.169224,0.491857,143641.000000,46283.000000
957.004491,0.498271,152380.000000,48379.000000
960.835544,0.502657,161986.000000,50912.000000
965.937059,0.511624,175129.000000,53918.000000
969.758279,0.516201,185335.000000,56462.000000
973.575284,0.521518,195809.000000,58927.000000
977.388074,0.528283,206740.000000,61255.000000
981.196650,0.534309,217308.000000,63499.000000
985.001012,0.539376,228047.000000,65864.000000
988.801159,0.542696,238038.000000,68226.000000
992.597092,0.545960,247444.000000,70391.000000
996.388810,0.550102,256381.000000,72241.000000
1000.176314,0.553528,264317.000000,73892.000000
1005.219764,0.557875,273187.000000,75611.000000
1008.997434,0.560779,278661.000000,76612.000000
1012.770890,0.561191,283378.000000,77835.000000
1016.540131,0.560860,286796.000000,78834.000000
1020.305158,0.563051,289545.000000,79189.000000
1024.065971,0.564383,290768.000000,79280.000000
1027.822569,0.567089,291659.000000,79029.000000
1031.574953,0.567113,291738.000000,79046.000000
1035.323122,0.567068,291180.000000,78903.000000
1040.314125,0.565554,289060.000000,78602.000000
1044.052461,0.565617,287270.000000,78104.000000
1047.786582,0.566091,285260.000000,77473.000000
1051.516489,0.565353,282938.000000,76973.000000
1055.242181,0.565743,280933.000000,76359.000000
1058.963659,0.564750,278805.000000,75954.000000
1062.680922,0.563030,276533.000000,75634.000000
1066.393971,0.561604,275025.000000,75469.000000
1070.102806,0.559341,273940.000000,75564.000000
1075.041363,0.556475,272610.000000,75695.000000
1078.740364,0.555864,271864.000000,75594.000000
1082.435151,0.554705,271322.000000,75645.000000
1086.125723,0.553339,271668.000000,75980.000000
1089.812080,0.550581,272144.000000,76598.000000
1093.494224,0.549492,273135.000000,77070.000000
1097.172153,0.546420,273441.000000,77704.000000
1100.845867,0.544320,274759.000000,78457.000000
1104.515367,0.543156,276154.000000,79067.000000
1109.401478,0.542449,278191.000000,79780.000000
1113.061144,0.541902,279666.000000,80304.000000
1116.716596,0.541825,281465.000000,80835.000000
1120.367833,0.541114,283330.000000,81504.000000
1124.014856,0.541672,285720.000000,82086.000000
1127.657665,0.541010,287805.000000,82811.000000
1131.296259,0.543386,290051.000000,83002.000000
1134.930639,0.546122,292331.000000,83129.000000
1138.560804,0.550575,294917.000000,83009.000000
1143.394469,0.557984,298293.000000,82539.000000
1147.014801,0.562691,300985.000000,82386.000000
1150.630918,0.567466,304257.000000,82371.000000
1154.242821,0.572064,307712.000000,82429.000000
1157.850509,0.574454,310881.000000,82821.000000
1161.453983,0.576036,314276.000000,83421.000000
1165.053242,0.577574,318257.000000,84179.000000
1168.648287,0.579223,322819.000000,85062.000000
1172.239118,0.580386,326850.000000,85894.000000
