Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 15:24:10,,
Header Version:,1,,
System Temp (C):,39.63,,
Detector Temp (C):,36.23,,
Humidity (%):,14.5,,
Lamp PD:,3611,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.672,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.538418,33639.000000,9737.000000
905.521072,0.558342,38213.000000,10565.000000
909.408318,0.561089,42332.000000,11630.000000
913.291349,0.568106,46950.000000,12692.000000
917.170165,0.562742,51785.000000,14173.000000
921.044767,0.561262,58287.000000,16007.000000
924.915155,0.555726,66979.000000,18630.000000
930.069116,0.561486,82100.000000,22535.000000
933.929670,0.572621,94317.000000,25233.000000
937.786010,0.583592,106099.000000,27677.000000
941.638135,0.590988,116718.000000,29933.000000
945.486046,0.597195,125961.000000,31845.000000
949.329742,0.601545,134812.000000,33743.000000
953.169224,0.608594,143641.000000,35374.000000
957.004491,0.613320,152380.000000,37120.000000
960.835544,0.617167,161986.000000,39112.000000
965.937059,0.624369,175129.000000,41590.000000
969.758279,0.630328,185335.000000,43414.000000
973.575284,0.631271,195809.000000,45768.000000
977.388074,0.636852,206740.000000,47706.000000
981.196650,0.639663,217308.000000,49821.000000
985.001012,0.643158,228047.000000,51864.000000
988.801159,0.648309,238038.000000,53498.000000
992.597092,0.649701,247444.000000,55434.000000
996.388810,0.652501,256381.000000,57067.000000
1000.176314,0.653457,264317.000000,58704.000000
1005.219764,0.655632,273187.000000,60371.000000
1008.997434,0.658545,278661.000000,61169.000000
1012.770890,0.659498,283378.000000,62068.000000
1016.540131,0.658902,286796.000000,62903.000000
1020.305158,0.659606,289545.000000,63403.000000
1024.065971,0.659284,290768.000000,63718.000000
1027.822569,0.659225,291659.000000,63922.000000
1031.574953,0.658176,291738.000000,64094.000000
1035.323122,0.658688,291180.000000,63896.000000
1040.314125,0.658639,289060.000000,63438.000000
1044.052461,0.657051,287270.000000,63276.000000
1047.786582,0.657198,285260.000000,62812.000000
1051.516489,0.654805,282938.000000,62645.000000
1055.242181,0.653091,280933.000000,62447.000000
1058.963659,0.651811,278805.000000,62157.000000
1062.680922,0.650878,276533.000000,61783.000000
1066.393971,0.649841,275025.000000,61593.000000
1070.102806,0.647906,273940.000000,61624.000000
1075.041363,0.645355,272610.000000,61686.000000
1078.740364,0.643131,271864.000000,61833.000000
1082.435151,0.641395,271322.000000,61957.000000
1086.125723,0.639808,271668.000000,62263.000000
1089.812080,0.638065,272144.000000,62623.000000
1093.494224,0.636162,273135.000000,63127.000000
1097.172153,0.635042,273441.000000,63361.000000
1100.845867,0.634288,274759.000000,63777.000000
1104.515367,0.633305,276154.000000,64246.000000
1109.401478,0.632983,278191.000000,64768.000000
1113.061144,0.632979,279666.000000,65112.000000
1116.716596,0.632931,281465.000000,65538.000000
1120.367833,0.631198,283330.000000,66236.000000
1124.014856,0.634788,285720.000000,66245.000000
1127.657665,0.635774,287805.000000,66577.000000
1131.296259,0.640077,290051.000000,66435.000000
1134.930639,0.643844,292331.000000,66379.000000
1138.560804,0.649275,294917.000000,66134.000000
1143.394469,0.657719,298293.000000,65603.000000
1147.014801,0.662941,300985.000000,65404.000000
1150.630918,0.668547,304257.000000,65267.000000
1154.242821,0.674870,307712.000000,65054.000000
1157.850509,0.678260,310881.000000,65213.000000
1161.453983,0.681541,314276.000000,65429.000000
1165.053242,0.685312,318257.000000,65685.000000
1168.648287,0.687144,322819.000000,66346.000000
1172.239118,0.688760,326850.000000,66925.000000
1177.020337,0.693684,332795.000000,67374.000000
1180.601334,0.697070,338252.000000,67947.000000
1184.178116,0.699334,344529.000000,68848.000000
1187.750684,0.702926,351023.000000,69568.000000
