Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 15:19:10,,
Header Version:,1,,
System Temp (C):,39.6,,
Detector Temp (C):,36.38,,
Humidity (%):,14.3,,
Lamp PD:,3627,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.672,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.384078,33639.000000,13892.000000
905.521072,0.408821,38213.000000,14907.000000
909.408318,0.409132,42332.000000,16502.000000
913.291349,0.424080,46950.000000,17683.000000
917.170165,0.414522,51785.000000,19938.000000
921.044767,0.412811,58287.000000,22530.000000
924.915155,0.410364,66979.000000,26036.000000
930.069116,0.414821,82100.000000,31588.000000
933.929670,0.423152,94317.000000,35599.000000
937.786010,0.438539,106099.000000,38652.000000
941.638135,0.443485,116718.000000,42039.000000
945.486046,0.448522,125961.000000,44845.000000
949.329742,0.454445,134812.000000,47346.000000
953.169224,0.457779,143641.000000,50061.000000
957.004491,0.461662,152380.000000,52634.000000
960.835544,0.463155,161986.000000,55760.000000
965.937059,0.470406,175129.000000,59286.000000
969.758279,0.473818,185335.000000,62250.000000
973.575284,0.474737,195809.000000,65629.000000
977.388074,0.479189,206740.000000,68586.000000
981.196650,0.482072,217308.000000,71615.000000
985.001012,0.484808,228047.000000,74682.000000
988.801159,0.487401,238038.000000,77490.000000
992.597092,0.489844,247444.000000,80100.000000
996.388810,0.492611,256381.000000,82466.000000
1000.176314,0.494062,264317.000000,84735.000000
1005.219764,0.495346,273187.000000,87320.000000
1008.997434,0.498486,278661.000000,88428.000000
1012.770890,0.498196,283378.000000,89985.000000
1016.540131,0.498513,286796.000000,91004.000000
1020.305158,0.500898,289545.000000,91373.000000
1024.065971,0.500581,290768.000000,91826.000000
1027.822569,0.500875,291659.000000,92045.000000
1031.574953,0.499980,291738.000000,92260.000000
1035.323122,0.501442,291180.000000,91774.000000
1040.314125,0.500218,289060.000000,91363.000000
1044.052461,0.499211,287270.000000,91008.000000
