Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 14:58:38,,
Header Version:,1,,
System Temp (C):,38.23,,
Detector Temp (C):,34.56,,
Humidity (%):,15.8,,
Lamp PD:,3576,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.676,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.711930,33639.000000,6530.000000
905.521072,0.731994,38213.000000,7083.000000
909.408318,0.735131,42332.000000,7790.000000
913.291349,0.748236,46950.000000,8383.000000
917.170165,0.737029,51785.000000,9488.000000
921.044767,0.736432,58287.000000,10694.000000
924.915155,0.730177,66979.000000,12467.000000
930.069116,0.739905,82100.000000,14943.000000
933.929670,0.750342,94317.000000,16759.000000
937.786010,0.763735,106099.000000,18280.000000
941.638135,0.771791,116718.000000,19740.000000
945.486046,0.777810,125961.000000,21010.000000
949.329742,0.783200,134812.000000,22209.000000
953.169224,0.789885,143641.000000,23302.000000
957.004491,0.795147,152380.000000,24422.000000
960.835544,0.800526,161986.000000,25642.000000
965.937059,0.806147,175129.000000,27366.000000
969.758279,0.810802,185335.000000,28652.000000
973.575284,0.813237,195809.000000,30102.000000
977.388074,0.818149,206740.000000,31425.000000
981.196650,0.818838,217308.000000,32979.000000
985.001012,0.822528,228047.000000,34316.000000
988.801159,0.821758,238038.000000,35883.000000
992.597092,0.823869,247444.000000,37120.000000
996.388810,0.825642,256381.000000,38304.000000
1000.176314,0.825253,264317.000000,39525.000000
1005.219764,0.823952,273187.000000,40974.000000
1008.997434,0.823080,278661.000000,41879.000000
1012.770890,0.822895,283378.000000,42606.000000
1016.540131,0.822260,286796.000000,43183.000000
1020.305158,0.822848,289545.000000,43538.000000
1024.065971,0.821231,290768.000000,43885.000000
1027.822569,0.818334,291659.000000,44314.000000
1031.574953,0.817649,291738.000000,44396.000000
1035.323122,0.816563,291180.000000,44422.000000
1040.314125,0.815055,289060.000000,44252.000000
1044.052461,0.814325,287270.000000,44052.000000
1047.786582,0.812450,285260.000000,43933.000000
1051.516489,0.809425,282938.000000,43880.000000
1055.242181,0.807774,280933.000000,43735.000000
1058.963659,0.806552,278805.000000,43526.000000
1062.680922,0.804658,276533.000000,43360.000000
1066.393971,0.803266,275025.000000,43262.000000
1070.102806,0.800576,273940.000000,43359.000000
1075.041363,0.796933,272610.000000,43512.000000
1078.740364,0.795005,271864.000000,43586.000000
1082.435151,0.792437,271322.000000,43757.000000
1086.125723,0.791099,271668.000000,43948.000000
1089.812080,0.789760,272144.000000,44161.000000
1093.494224,0.788359,273135.000000,44465.000000
1097.172153,0.785266,273441.000000,44833.000000
1100.845867,0.784679,274759.000000,45110.000000
1104.515367,0.784612,276154.000000,45346.000000
1109.401478,0.783658,278191.000000,45781.000000
1113.061144,0.783514,279666.000000,46039.000000
1116.716596,0.784050,281465.000000,46278.000000
1120.367833,0.784476,283330.000000,46539.000000
1124.014856,0.786959,285720.000000,46664.000000
1127.657665,0.789623,287805.000000,46717.000000
1131.296259,0.794219,290051.000000,46586.000000
1134.930639,0.799188,292331.000000,46418.000000
1138.560804,0.806272,294917.000000,46071.000000
1143.394469,0.818286,298293.000000,45327.000000
1147.014801,0.826715,300985.000000,44857.000000
1150.630918,0.833867,304257.000000,44604.000000
1154.242821,0.842408,307712.000000,44232.000000
1157.850509,0.846917,310881.000000,44226.000000
1161.453983,0.851035,314276.000000,44287.000000
1165.053242,0.855532,318257.000000,44386.000000
1168.648287,0.860238,322819.000000,44537.000000
1172.239118,0.862625,326850.000000,44846.000000
1177.020337,0.869756,332795.000000,44918.000000
1180.601334,0.873392,338252.000000,45274.000000
1184.178116,0.877852,344529.000000,45643.000000
1187.750684,0.880900,351023.000000,46178.000000
1191.319038,0.885147,357082.000000,46518.000000
1194.883177,0.889068,364643.000000,47076.000000
1198.443102,0.893756,372656.000000,47594.000000
1201.998812,0.895749,379916.000000,48299.000000
1205.550308,0.897330,387104.000000,49034.000000
1210.279081,0.895548,398358.000000,50667.000000
1213.820743,0.890493,406330.000000,52286.000000
1217.358191,0.883977,414296.000000,54117.000000
1220.891424,0.877960,423100.000000,56038.000000
1224.420443,0.873113,431276.000000,57762.000000
