Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 15:8:36,,
Header Version:,1,,
System Temp (C):,39,,
Detector Temp (C):,35.1,,
Humidity (%):,14.88,,
Lamp PD:,3675,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.728,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.371325,33639.000000,14306.000000
905.521072,0.387364,38213.000000,15662.000000
909.408318,0.383929,42332.000000,17488.000000
913.291349,0.389558,46950.000000,19146.000000
917.170165,0.383587,51785.000000,21410.000000
921.044767,0.376636,58287.000000,24487.000000
924.915155,0.370865,66979.000000,28515.000000
930.069116,0.374652,82100.000000,34649.000000
933.929670,0.383325,94317.000000,39018.000000
937.786010,0.392556,106099.000000,42969.000000
941.638135,0.401276,116718.000000,46330.000000
945.486046,0.404492,125961.000000,49630.000000
949.329742,0.408157,134812.000000,52671.000000
953.169224,0.412540,143641.000000,55557.000000
957.004491,0.413211,152380.000000,58846.000000
960.835544,0.415596,161986.000000,62213.000000
965.937059,0.417646,175129.000000,66944.000000
969.758279,0.420403,185335.000000,70397.000000
973.575284,0.421048,195809.000000,74265.000000
977.388074,0.422807,206740.000000,78094.000000
981.196650,0.424009,217308.000000,81859.000000
985.001012,0.427401,228047.000000,85236.000000
988.801159,0.428321,238038.000000,88782.000000
992.597092,0.429156,247444.000000,92113.000000
996.388810,0.429852,256381.000000,95287.000000
1000.176314,0.430474,264317.000000,98096.000000
1005.219764,0.431528,273187.000000,101142.000000
1008.997434,0.431607,278661.000000,103150.000000
1012.770890,0.431446,283378.000000,104935.000000
1016.540131,0.431903,286796.000000,106089.000000
1020.305158,0.432466,289545.000000,106967.000000
1024.065971,0.431545,290768.000000,107647.000000
1027.822569,0.431419,291659.000000,108008.000000
1031.574953,0.430987,291738.000000,108145.000000
1035.323122,0.431430,291180.000000,107828.000000
1040.314125,0.429830,289060.000000,107438.000000
1044.052461,0.430260,287270.000000,106667.000000
1047.786582,0.430636,285260.000000,105829.000000
1051.516489,0.429255,282938.000000,105302.000000
1055.242181,0.428084,280933.000000,104838.000000
1058.963659,0.428213,278805.000000,104013.000000
1062.680922,0.427193,276533.000000,103408.000000
1066.393971,0.426375,275025.000000,103038.000000
1070.102806,0.425540,273940.000000,102829.000000
1075.041363,0.424640,272610.000000,102542.000000
1078.740364,0.424077,271864.000000,102394.000000
1082.435151,0.423592,271322.000000,102304.000000
1086.125723,0.423459,271668.000000,102466.000000
1089.812080,0.422654,272144.000000,102836.000000
1093.494224,0.423578,273135.000000,102991.000000
1097.172153,0.424026,273441.000000,103000.000000
1100.845867,0.423684,274759.000000,103578.000000
1104.515367,0.425050,276154.000000,103777.000000
1109.401478,0.427038,278191.000000,104065.000000
1113.061144,0.427324,279666.000000,104548.000000
1116.716596,0.429416,281465.000000,104715.000000
1120.367833,0.431393,283330.000000,104930.000000
1124.014856,0.434470,285720.000000,105068.000000
1127.657665,0.438273,287805.000000,104912.000000
1131.296259,0.442905,290051.000000,104609.000000
1134.930639,0.449184,292331.000000,103918.000000
1138.560804,0.456378,294917.000000,103115.000000
1143.394469,0.466639,298293.000000,101860.000000
1147.014801,0.474770,300985.000000,100873.000000
1150.630918,0.482217,304257.000000,100236.000000
1154.242821,0.490321,307712.000000,99500.000000
1157.850509,0.494588,310881.000000,99542.000000
1161.453983,0.498869,314276.000000,99642.000000
1165.053242,0.502852,318257.000000,99983.000000
1168.648287,0.506815,322819.000000,100495.000000
1172.239118,0.509189,326850.000000,101195.000000
1177.020337,0.514711,332795.000000,101734.000000
1180.601334,0.517670,338252.000000,102700.000000
1184.178116,0.520623,344529.000000,103897.000000
1187.750684,0.524217,351023.000000,104983.000000
1191.319038,0.526345,357082.000000,106273.000000
1194.883177,0.526754,364643.000000,108421.000000
1198.443102,0.527596,372656.000000,110589.000000
1201.998812,0.526425,379916.000000,113048.000000
1205.550308,0.525453,387104.000000,115445.000000
1210.279081,0.523211,398358.000000,119416.000000
1213.820743,0.519663,406330.000000,122805.000000
1217.358191,0.516000,414296.000000,126273.000000
1220.891424,0.512263,423100.000000,130071.000000
1224.420443,0.508955,431276.000000,133598.000000
1227.945248,0.506839,440314.000000,137064.000000
1231.465838,0.503839,449218.000000,140805.000000
1234.982214,0.500920,457807.000000,144465.000000
1238.494375,0.499979,468067.000000,148023.000000
1243.170701,0.498401,479193.000000,152093.000000
1246.673029,0.496654,486758.000000,155117.000000
1250.171142,0.495809,495180.000000,158108.000000
1253.665041,0.494892,503918.000000,161238.000000
1257.154726,0.492238,511654.000000,164717.000000
1260.640196,0.489524,521154.000000,168827.000000
1264.121451,0.487314,534098.000000,173903.000000
1267.598492,0.487320,549524.000000,178923.000000
1271.071319,0.487521,564969.000000,183867.000000
1275.695199,0.488322,583497.000000,189547.000000
1279.158192,0.488156,596509.000000,193848.000000
1282.616970,0.489528,610137.000000,197651.000000
1286.071534,0.490121,621777.000000,201147.000000
1289.521884,0.491706,632911.000000,204003.000000
1292.968020,0.494362,643299.000000,206087.000000
1296.409940,0.497546,653998.000000,207984.000000
1299.847647,0.500160,662535.000000,209435.000000
1303.281139,0.503553,669534.000000,210000.000000
1307.852572,0.508720,680622.000000,210953.000000
1311.276231,0.513364,687613.000000,210853.000000
1314.695675,0.517803,692993.000000,210342.000000
1318.110904,0.523311,697587.000000,209068.000000
1321.521919,0.530079,703545.000000,207593.000000
1324.928720,0.536926,707997.000000,205639.000000
1328.331306,0.543814,710077.000000,202998.000000
1331.729678,0.550653,712333.000000,200461.000000
1335.123835,0.558102,715576.000000,197949.000000
1339.642823,0.567264,717691.000000,194390.000000
