Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 15:12:14,,
Header Version:,1,,
System Temp (C):,39.37,,
Detector Temp (C):,35.49,,
Humidity (%):,14.64,,
Lamp PD:,3671,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.730,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.510102,33639.000000,10393.000000
905.521072,0.545064,38213.000000,10893.000000
909.408318,0.554640,42332.000000,11804.000000
913.291349,0.552644,46950.000000,13152.000000
917.170165,0.532332,51785.000000,15201.000000
921.044767,0.528405,58287.000000,17265.000000
924.915155,0.526780,66979.000000,19914.000000
930.069116,0.542242,82100.000000,23556.000000
933.929670,0.547461,94317.000000,26738.000000
937.786010,0.557142,106099.000000,29415.000000
941.638135,0.569117,116718.000000,31479.000000
945.486046,0.572040,125961.000000,33744.000000
949.329742,0.582397,134812.000000,35264.000000
953.169224,0.581790,143641.000000,37626.000000
957.004491,0.581618,152380.000000,39931.000000
960.835544,0.593433,161986.000000,41309.000000
965.937059,0.594627,175129.000000,44538.000000
969.758279,0.599311,185335.000000,46628.000000
973.575284,0.599232,195809.000000,49272.000000
977.388074,0.609800,206740.000000,50772.000000
981.196650,0.613563,217308.000000,52907.000000
985.001012,0.610768,228047.000000,55880.000000
988.801159,0.618727,238038.000000,57269.000000
992.597092,0.621287,247444.000000,59182.000000
996.388810,0.620873,256381.000000,61378.000000
1000.176314,0.619016,264317.000000,63549.000000
1005.219764,0.619927,273187.000000,65544.000000
1008.997434,0.625309,278661.000000,66034.000000
1012.770890,0.623178,283378.000000,67482.000000
1016.540131,0.620876,286796.000000,68659.000000
1020.305158,0.624090,289545.000000,68806.000000
1024.065971,0.626969,290768.000000,68640.000000
1027.822569,0.626492,291659.000000,68926.000000
1031.574953,0.623652,291738.000000,69397.000000
1035.323122,0.628408,291180.000000,68510.000000
1040.314125,0.626809,289060.000000,68262.000000
1044.052461,0.623920,287270.000000,68292.000000
1047.786582,0.622738,285260.000000,67999.000000
1051.516489,0.620673,282938.000000,67767.000000
1055.242181,0.622709,280933.000000,66972.000000
1058.963659,0.622610,278805.000000,66480.000000
1062.680922,0.619991,276533.000000,66337.000000
1066.393971,0.616609,275025.000000,66491.000000
1070.102806,0.618335,273940.000000,65966.000000
1075.041363,0.617151,272610.000000,65825.000000
1078.740364,0.611870,271864.000000,66448.000000
1082.435151,0.615649,271322.000000,65741.000000
1086.125723,0.613745,271668.000000,66114.000000
1089.812080,0.611625,272144.000000,66554.000000
1093.494224,0.608905,273135.000000,67216.000000
1097.172153,0.608307,273441.000000,67384.000000
1100.845867,0.609526,274759.000000,67519.000000
1104.515367,0.606406,276154.000000,68351.000000
1109.401478,0.604356,278191.000000,69181.000000
1113.061144,0.610259,279666.000000,68609.000000
1116.716596,0.607746,281465.000000,69451.000000
1120.367833,0.606698,283330.000000,70080.000000
1124.014856,0.614337,285720.000000,69439.000000
1127.657665,0.616034,287805.000000,69673.000000
1131.296259,0.620152,290051.000000,69554.000000
1134.930639,0.625806,292331.000000,69194.000000
1138.560804,0.633002,294917.000000,68659.000000
1143.394469,0.641936,298293.000000,68031.000000
1147.014801,0.651337,300985.000000,67175.000000
1150.630918,0.653750,304257.000000,67529.000000
1154.242821,0.658751,307712.000000,67514.000000
1157.850509,0.668703,310881.000000,66664.000000
1161.453983,0.670615,314276.000000,67096.000000
1165.053242,0.671471,318257.000000,67812.000000
1168.648287,0.673979,322819.000000,68388.000000
1172.239118,0.677822,326850.000000,68632.000000
1177.020337,0.680936,332795.000000,69381.000000
1180.601334,0.682656,338252.000000,70240.000000
1184.178116,0.690314,344529.000000,70293.000000
1187.750684,0.694751,351023.000000,70890.000000
1191.319038,0.697631,357082.000000,71637.000000
1194.883177,0.699587,364643.000000,72825.000000
1198.443102,0.702540,372656.000000,73921.000000
1201.998812,0.704163,379916.000000,75080.000000
1205.550308,0.704700,387104.000000,76406.000000
1210.279081,0.704238,398358.000000,78711.000000
1213.820743,0.701914,406330.000000,80717.000000
1217.358191,0.694201,414296.000000,83774.000000
1220.891424,0.685633,423100.000000,87259.000000
1224.420443,0.681431,431276.000000,89810.000000
1227.945248,0.674384,440314.000000,93192.000000
1231.465838,0.669476,449218.000000,96157.000000
1234.982214,0.668067,457807.000000,98314.000000
1238.494375,0.667128,468067.000000,100735.000000
1243.170701,0.665142,479193.000000,103602.000000
1246.673029,0.665913,486758.000000,105051.000000
1250.171142,0.663864,495180.000000,107374.000000
1253.665041,0.662371,503918.000000,109645.000000
1257.154726,0.662087,511654.000000,111401.000000
1260.640196,0.656725,521154.000000,114879.000000
1264.121451,0.653756,534098.000000,118540.000000
1267.598492,0.657313,549524.000000,120969.000000
1271.071319,0.656019,564969.000000,124740.000000
1275.695199,0.656690,583497.000000,128632.000000
1279.158192,0.658439,596509.000000,130972.000000
1282.616970,0.662867,610137.000000,132605.000000
1286.071534,0.663639,621777.000000,134895.000000
1289.521884,0.663865,632911.000000,137239.000000
1292.968020,0.667462,643299.000000,138341.000000
1296.409940,0.670091,653998.000000,139793.000000
1299.847647,0.672933,662535.000000,140694.000000
1303.281139,0.675127,669534.000000,141464.000000
1307.852572,0.680397,680622.000000,142072.000000
1311.276231,0.687436,687613.000000,141224.000000
1314.695675,0.690802,692993.000000,141230.000000
1318.110904,0.694805,697587.000000,140862.000000
1321.521919,0.704383,703545.000000,138966.000000
1324.928720,0.709175,707997.000000,138311.000000
1328.331306,0.714547,710077.000000,137012.000000
1331.729678,0.721649,712333.000000,135218.000000
1335.123835,0.726670,715576.000000,134272.000000
1339.642823,0.733725,717691.000000,132499.000000
1343.027147,0.743443,716977.000000,129438.000000
1346.407256,0.750264,716577.000000,127350.000000
1349.783151,0.756049,716270.000000,125611.000000
1353.154831,0.762352,715315.000000,123636.000000
1356.522297,0.770469,713176.000000,120984.000000
1359.885549,0.776845,710971.000000,118852.000000
1363.244586,0.782690,708733.000000,116894.000000
1366.599408,0.790537,706319.000000,114410.000000
1371.065950,0.803791,701665.000000,110240.000000
1374.410939,0.817698,697460.000000,106126.000000
1377.751713,0.832494,691985.000000,101766.000000
1381.088274,0.851287,686523.000000,96687.000000
