Method:,Hadamard 1,,
Host Date-Time:,20/2/20 @ 15:4:54,,
Header Version:,1,,
System Temp (C):,38.62,,
Detector Temp (C):,35.27,,
Humidity (%):,15.12,,
Lamp PD:,3613,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.729,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.432267,33639.000000,12433.000000
905.521072,0.449983,38213.000000,13559.000000
909.408318,0.451999,42332.000000,14951.000000
913.291349,0.466079,46950.000000,16053.000000
917.170165,0.461181,51785.000000,17907.000000
921.044767,0.456176,58287.000000,20389.000000
924.915155,0.451777,66979.000000,23668.000000
930.069116,0.460398,82100.000000,28441.000000
933.929670,0.472231,94317.000000,31795.000000
937.786010,0.481941,106099.000000,34976.000000
941.638135,0.490624,116718.000000,37715.000000
945.486046,0.497731,125961.000000,40041.000000
949.329742,0.505952,134812.000000,42051.000000
953.169224,0.512200,143641.000000,44165.000000
957.004491,0.515952,152380.000000,46449.000000
960.835544,0.519317,161986.000000,48996.000000
965.937059,0.526545,175129.000000,52097.000000
969.758279,0.532630,185335.000000,54366.000000
973.575284,0.535067,195809.000000,57117.000000
977.388074,0.540127,206740.000000,59607.000000
981.196650,0.543586,217308.000000,62157.000000
985.001012,0.548229,228047.000000,64535.000000
988.801159,0.551129,238038.000000,66914.000000
992.597092,0.554785,247444.000000,68975.000000
996.388810,0.556705,256381.000000,71151.000000
1000.176314,0.558909,264317.000000,72982.000000
1005.219764,0.560999,273187.000000,75069.000000
1008.997434,0.562722,278661.000000,76270.000000
1012.770890,0.563805,283378.000000,77368.000000
1016.540131,0.564111,286796.000000,78246.000000
1020.305158,0.565030,289545.000000,78829.000000
1024.065971,0.564662,290768.000000,79229.000000
1027.822569,0.565334,291659.000000,79349.000000
1031.574953,0.564921,291738.000000,79446.000000
1035.323122,0.565447,291180.000000,79198.000000
1040.314125,0.564330,289060.000000,78824.000000
1044.052461,0.563919,287270.000000,78410.000000
1047.786582,0.563809,285260.000000,77881.000000
1051.516489,0.563102,282938.000000,77373.000000
1055.242181,0.561543,280933.000000,77101.000000
1058.963659,0.560149,278805.000000,76763.000000
1062.680922,0.558847,276533.000000,76366.000000
1066.393971,0.557303,275025.000000,76220.000000
1070.102806,0.555319,273940.000000,76267.000000
1075.041363,0.553177,272610.000000,76272.000000
1078.740364,0.551486,271864.000000,76360.000000
1082.435151,0.549058,271322.000000,76635.000000
1086.125723,0.548389,271668.000000,76851.000000
1089.812080,0.546367,272144.000000,77345.000000
1093.494224,0.545096,273135.000000,77854.000000
1097.172153,0.543385,273441.000000,78249.000000
1100.845867,0.541770,274759.000000,78919.000000
1104.515367,0.541769,276154.000000,79320.000000
1109.401478,0.540689,278191.000000,80104.000000
1113.061144,0.539702,279666.000000,80712.000000
1116.716596,0.540586,281465.000000,81066.000000
1120.367833,0.540320,283330.000000,81653.000000
1124.014856,0.542275,285720.000000,81972.000000
1127.657665,0.543947,287805.000000,82253.000000
1131.296259,0.546473,290051.000000,82414.000000
1134.930639,0.550016,292331.000000,82387.000000
1138.560804,0.555103,294917.000000,82148.000000
1143.394469,0.562320,298293.000000,81719.000000
1147.014801,0.567425,300985.000000,81493.000000
1150.630918,0.573033,304257.000000,81322.000000
1154.242821,0.577515,307712.000000,81401.000000
1157.850509,0.580744,310881.000000,81630.000000
1161.453983,0.583270,314276.000000,82043.000000
1165.053242,0.584517,318257.000000,82844.000000
1168.648287,0.586467,322819.000000,83655.000000
1172.239118,0.587821,326850.000000,84436.000000
1177.020337,0.591309,332795.000000,85284.000000
1180.601334,0.594389,338252.000000,86070.000000
1184.178116,0.597457,344529.000000,87050.000000
1187.750684,0.600749,351023.000000,88021.000000
1191.319038,0.604986,357082.000000,88671.000000
1194.883177,0.607244,364643.000000,90079.000000
1198.443102,0.610219,372656.000000,91430.000000
1201.998812,0.612313,379916.000000,92763.000000
1205.550308,0.614058,387104.000000,94139.000000
1210.279081,0.614973,398358.000000,96672.000000
1213.820743,0.612345,406330.000000,99205.000000
1217.358191,0.608106,414296.000000,102142.000000
1220.891424,0.602775,423100.000000,105601.000000
1224.420443,0.597819,431276.000000,108877.000000
1227.945248,0.593944,440314.000000,112155.000000
1231.465838,0.590760,449218.000000,115265.000000
1234.982214,0.587404,457807.000000,118380.000000
1238.494375,0.585885,468067.000000,121457.000000
1243.170701,0.585114,479193.000000,124565.000000
1246.673029,0.584828,486758.000000,126615.000000
1250.171142,0.584955,495180.000000,128768.000000
1253.665041,0.585006,503918.000000,131025.000000
1257.154726,0.583407,511654.000000,133527.000000
1260.640196,0.581010,521154.000000,136759.000000
1264.121451,0.578762,534098.000000,140883.000000
1267.598492,0.578715,549524.000000,144968.000000
1271.071319,0.579463,564969.000000,148786.000000
1275.695199,0.580304,583497.000000,153368.000000
1279.158192,0.580958,596509.000000,156552.000000
1282.616970,0.583566,610137.000000,159170.000000
1286.071534,0.585347,621777.000000,161543.000000
1289.521884,0.587700,632911.000000,163547.000000
1292.968020,0.590403,643299.000000,165200.000000
1296.409940,0.594021,653998.000000,166554.000000
1299.847647,0.596073,662535.000000,167933.000000
1303.281139,0.598202,669534.000000,168877.000000
1307.852572,0.602380,680622.000000,170030.000000
1311.276231,0.605849,687613.000000,170410.000000
1314.695675,0.609609,692993.000000,170263.000000
1318.110904,0.614403,697587.000000,169510.000000
1321.521919,0.620818,703545.000000,168451.000000
1324.928720,0.627115,707997.000000,167077.000000
1328.331306,0.632859,710077.000000,165366.000000
1331.729678,0.638748,712333.000000,163657.000000
1335.123835,0.644924,715576.000000,162081.000000
1339.642823,0.651505,717691.000000,160115.000000
1343.027147,0.656002,716977.000000,158308.000000
1346.407256,0.661176,716577.000000,156346.000000
1349.783151,0.665575,716270.000000,154704.000000
1353.154831,0.670749,715315.000000,152668.000000
1356.522297,0.675444,713176.000000,150575.000000
1359.885549,0.680933,710971.000000,148224.000000
1363.244586,0.687071,708733.000000,145684.000000
1366.599408,0.693434,706319.000000,143076.000000
1371.065950,0.705326,701665.000000,138294.000000
