Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:31:18,,
Header Version:,1,,
System Temp (C):,33.52,,
Detector Temp (C):,28.12,,
Humidity (%):,29.1,,
Lamp PD:,3709,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.728,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.640127,33639.000000,7704.000000
905.521072,0.651568,38213.000000,8524.000000
909.408318,0.658279,42332.000000,9298.000000
913.291349,0.668606,46950.000000,10070.000000
917.170165,0.659782,51785.000000,11335.000000
921.044767,0.659517,58287.000000,12766.000000
924.915155,0.649442,66979.000000,15014.000000
930.069116,0.655658,82100.000000,18142.000000
933.929670,0.671783,94317.000000,20082.000000
937.786010,0.687195,106099.000000,21803.000000
941.638135,0.700285,116718.000000,23273.000000
945.486046,0.707416,125961.000000,24707.000000
949.329742,0.716496,134812.000000,25896.000000
953.169224,0.723797,143641.000000,27132.000000
957.004491,0.727946,152380.000000,28509.000000
960.835544,0.732979,161986.000000,29957.000000
965.937059,0.740208,175129.000000,31853.000000
969.758279,0.745983,185335.000000,33264.000000
973.575284,0.747343,195809.000000,35034.000000
977.388074,0.752822,206740.000000,36526.000000
981.196650,0.755183,217308.000000,38185.000000
985.001012,0.758611,228047.000000,39757.000000
988.801159,0.762276,238038.000000,41150.000000
992.597092,0.765078,247444.000000,42501.000000
996.388810,0.766946,256381.000000,43847.000000
1000.176314,0.767621,264317.000000,45134.000000
1005.219764,0.770448,273187.000000,46346.000000
1008.997434,0.772231,278661.000000,47081.000000
1012.770890,0.772593,283378.000000,47838.000000
1016.540131,0.771080,286796.000000,48584.000000
1020.305158,0.773012,289545.000000,48832.000000
1024.065971,0.772854,290768.000000,49056.000000
1027.822569,0.772654,291659.000000,49229.000000
1031.574953,0.772084,291738.000000,49307.000000
1035.323122,0.771843,291180.000000,49240.000000
1040.314125,0.770004,289060.000000,49089.000000
1044.052461,0.770396,287270.000000,48741.000000
1047.786582,0.770037,285260.000000,48440.000000
1051.516489,0.766514,282938.000000,48437.000000
1055.242181,0.765493,280933.000000,48207.000000
1058.963659,0.763951,278805.000000,48012.000000
