Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:54:52,,
Header Version:,1,,
System Temp (C):,38.44,,
Detector Temp (C):,34.32,,
Humidity (%):,19.76,,
Lamp PD:,3713,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.722,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.595894,33639.000000,8530.000000
905.521072,0.613448,38213.000000,9306.000000
909.408318,0.613494,42332.000000,10308.000000
913.291349,0.615722,46950.000000,11374.000000
917.170165,0.612182,51785.000000,12648.000000
921.044767,0.608720,58287.000000,14350.000000
924.915155,0.605700,66979.000000,16605.000000
930.069116,0.611298,82100.000000,20093.000000
933.929670,0.622968,94317.000000,22471.000000
937.786010,0.636439,106099.000000,24506.000000
941.638135,0.645287,116718.000000,26415.000000
945.486046,0.653187,125961.000000,27993.000000
949.329742,0.659524,134812.000000,29526.000000
953.169224,0.664448,143641.000000,31105.000000
957.004491,0.668832,152380.000000,32666.000000
960.835544,0.671835,161986.000000,34486.000000
965.937059,0.679652,175129.000000,36619.000000
969.758279,0.683649,185335.000000,38398.000000
973.575284,0.685398,195809.000000,40405.000000
977.388074,0.688735,206740.000000,42334.000000
981.196650,0.691104,217308.000000,44256.000000
985.001012,0.694644,228047.000000,46066.000000
988.801159,0.696175,238038.000000,47915.000000
992.597092,0.696955,247444.000000,49719.000000
996.388810,0.698354,256381.000000,51349.000000
1000.176314,0.699466,264317.000000,52803.000000
1005.219764,0.700869,273187.000000,54399.000000
1008.997434,0.701512,278661.000000,55407.000000
1012.770890,0.701788,283378.000000,56309.000000
1016.540131,0.702255,286796.000000,56927.000000
1020.305158,0.702502,289545.000000,57440.000000
1024.065971,0.701942,290768.000000,57757.000000
1027.822569,0.700752,291659.000000,58093.000000
1031.574953,0.701123,291738.000000,58059.000000
1035.323122,0.700906,291180.000000,57977.000000
1040.314125,0.700995,289060.000000,57543.000000
1044.052461,0.700826,287270.000000,57209.000000
1047.786582,0.699945,285260.000000,56924.000000
1051.516489,0.699005,282938.000000,56583.000000
1055.242181,0.697324,280933.000000,56400.000000
1058.963659,0.696965,278805.000000,56019.000000
1062.680922,0.694910,276533.000000,55826.000000
1066.393971,0.694430,275025.000000,55583.000000
1070.102806,0.693316,273940.000000,55506.000000
1075.041363,0.692456,272610.000000,55346.000000
1078.740364,0.691847,271864.000000,55272.000000
1082.435151,0.691271,271322.000000,55235.000000
1086.125723,0.689738,271668.000000,55501.000000
1089.812080,0.688640,272144.000000,55739.000000
1093.494224,0.689448,273135.000000,55838.000000
1097.172153,0.688102,273441.000000,56074.000000
1100.845867,0.686727,274759.000000,56523.000000
1104.515367,0.687017,276154.000000,56772.000000
1109.401478,0.687479,278191.000000,57130.000000
1113.061144,0.688341,279666.000000,57319.000000
1116.716596,0.690210,281465.000000,57440.000000
1120.367833,0.690906,283330.000000,57728.000000
1124.014856,0.694584,285720.000000,57724.000000
1127.657665,0.697780,287805.000000,57719.000000
1131.296259,0.703457,290051.000000,57414.000000
1134.930639,0.711053,292331.000000,56862.000000
1138.560804,0.718721,294917.000000,56361.000000
1143.394469,0.731321,298293.000000,55376.000000
1147.014801,0.740145,300985.000000,54752.000000
1150.630918,0.748993,304257.000000,54231.000000
1154.242821,0.755566,307712.000000,54023.000000
1157.850509,0.760603,310881.000000,53950.000000
1161.453983,0.765038,314276.000000,53985.000000
1165.053242,0.768795,318257.000000,54198.000000
1168.648287,0.772212,322819.000000,54544.000000
1172.239118,0.773236,326850.000000,55095.000000
1177.020337,0.778934,332795.000000,55366.000000
1180.601334,0.782295,338252.000000,55840.000000
1184.178116,0.786155,344529.000000,56373.000000
1187.750684,0.789331,351023.000000,57017.000000
1191.319038,0.792594,357082.000000,57567.000000
1194.883177,0.795202,364643.000000,58434.000000
1198.443102,0.797302,372656.000000,59430.000000
1201.998812,0.798766,379916.000000,60384.000000
1205.550308,0.798247,387104.000000,61600.000000
1210.279081,0.797794,398358.000000,63457.000000
1213.820743,0.793833,406330.000000,65320.000000
1217.358191,0.789463,414296.000000,67274.000000
1220.891424,0.784890,423100.000000,69431.000000
1224.420443,0.780431,431276.000000,71503.000000
1227.945248,0.777020,440314.000000,73577.000000
1231.465838,0.774090,449218.000000,75573.000000
1234.982214,0.772194,457807.000000,77355.000000
1238.494375,0.771632,468067.000000,79191.000000
1243.170701,0.770046,479193.000000,81370.000000
1246.673029,0.768429,486758.000000,82963.000000
1250.171142,0.767218,495180.000000,84634.000000
1253.665041,0.766933,503918.000000,86184.000000
1257.154726,0.765106,511654.000000,87876.000000
1260.640196,0.762661,521154.000000,90013.000000
1264.121451,0.760593,534098.000000,92689.000000
1267.598492,0.762135,549524.000000,95028.000000
1271.071319,0.762739,564969.000000,97563.000000
1275.695199,0.764543,583497.000000,100345.000000
1279.158192,0.765848,596509.000000,102275.000000
1282.616970,0.768390,610137.000000,104001.000000
1286.071534,0.770205,621777.000000,105543.000000
1289.521884,0.773089,632911.000000,106722.000000
1292.968020,0.776722,643299.000000,107570.000000
1296.409940,0.781486,653998.000000,108166.000000
1299.847647,0.785579,662535.000000,108550.000000
1303.281139,0.789811,669534.000000,108633.000000
1307.852572,0.798013,680622.000000,108366.000000
1311.276231,0.803912,687613.000000,108002.000000
1314.695675,0.810781,692993.000000,107139.000000
1318.110904,0.818055,697587.000000,106058.000000
1321.521919,0.827486,703545.000000,104666.000000
1324.928720,0.836790,707997.000000,103096.000000
1328.331306,0.845045,710077.000000,101452.000000
1331.729678,0.854241,712333.000000,99642.000000
1335.123835,0.863691,715576.000000,97941.000000
1339.642823,0.876225,717691.000000,95436.000000
1343.027147,0.884345,716977.000000,93575.000000
1346.407256,0.893154,716577.000000,91645.000000
1349.783151,0.901907,716270.000000,89778.000000
1353.154831,0.911250,715315.000000,87750.000000
1356.522297,0.918557,713176.000000,86028.000000
1359.885549,0.927935,710971.000000,83930.000000
1363.244586,0.936981,708733.000000,81941.000000
1366.599408,0.949055,706319.000000,79423.000000
1371.065950,0.968459,701665.000000,75452.000000
1374.410939,0.987232,697460.000000,71827.000000
1377.751713,1.011437,691985.000000,67400.000000
1381.088274,1.037459,686523.000000,62979.000000
1384.420619,1.067300,680381.000000,58271.000000
1387.748751,1.100659,675468.000000,53573.000000
1391.072668,1.135135,671911.000000,49224.000000
1394.392370,1.167655,668723.000000,45456.000000
1397.707858,1.199251,666533.000000,42128.000000
1402.121953,1.238983,665113.000000,38363.000000
1405.427607,1.264134,665198.000000,36209.000000
1408.729047,1.286511,664935.000000,34377.000000
1412.026273,1.306327,664455.000000,32820.000000
1415.319284,1.323629,664556.000000,31543.000000
1418.608081,1.336224,664917.000000,30658.000000
1421.892663,1.347801,665017.000000,29856.000000
1425.173031,1.355570,664617.000000,29309.000000
1428.449184,1.364690,665359.000000,28732.000000
1431.721123,1.371244,666424.000000,28347.000000
1436.077153,1.374424,667155.000000,28171.000000
1439.339258,1.376369,668127.000000,28086.000000
1442.597149,1.380187,668698.000000,27864.000000
1445.850825,1.383086,669264.000000,27702.000000
1449.100287,1.384631,669273.000000,27604.000000
1452.345535,1.383277,669026.000000,27680.000000
1455.586568,1.385351,668707.000000,27535.000000
1458.823387,1.384841,668068.000000,27541.000000
1462.055991,1.383625,666684.000000,27561.000000
1466.359575,1.381564,665382.000000,27638.000000
1469.582345,1.375896,664120.000000,27948.000000
1472.800901,1.372549,662276.000000,28086.000000
1476.015243,1.368656,660385.000000,28258.000000
1479.225371,1.362824,658310.000000,28550.000000
1482.431284,1.358745,656313.000000,28732.000000
1485.632982,1.352472,654173.000000,29055.000000
1488.830466,1.346631,651677.000000,29336.000000
1492.023736,1.339470,649126.000000,29707.000000
1496.274873,1.332814,646247.000000,30032.000000
1499.458309,1.328029,643294.000000,30226.000000
1502.637531,1.321551,640417.000000,30543.000000
1505.812538,1.314261,637303.000000,30909.000000
1508.983330,1.308947,634074.000000,31131.000000
1512.149909,1.301865,630551.000000,31467.000000
1515.312273,1.297756,626579.000000,31566.000000
1518.470422,1.293607,623236.000000,31699.000000
1521.624357,1.285197,619556.000000,32128.000000
1525.823048,1.279899,614520.000000,32258.000000
1528.967149,1.275587,610731.000000,32379.000000
1532.107036,1.269388,606260.000000,32604.000000
1535.242709,1.264684,601771.000000,32715.000000
1538.374167,1.260817,597293.000000,32762.000000
1541.501410,1.255635,592533.000000,32891.000000
1544.624439,1.251725,587614.000000,32913.000000
1547.743254,1.248552,582008.000000,32838.000000
1550.857855,1.243188,576631.000000,32939.000000
1555.004099,1.238794,569180.000000,32844.000000
1558.108866,1.235346,563682.000000,32786.000000
1561.209418,1.230811,557265.000000,32753.000000
1564.305756,1.225929,551187.000000,32762.000000
1567.397879,1.220295,545545.000000,32850.000000
1570.485788,1.218052,539133.000000,32632.000000
