Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:46:1,,
Header Version:,1,,
System Temp (C):,36.73,,
Detector Temp (C):,32.39,,
Humidity (%):,22.17,,
Lamp PD:,3715,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.730,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.591285,33639.000000,8621.000000
905.521072,0.612050,38213.000000,9336.000000
909.408318,0.611309,42332.000000,10360.000000
913.291349,0.620522,46950.000000,11249.000000
917.170165,0.609478,51785.000000,12727.000000
921.044767,0.607873,58287.000000,14378.000000
924.915155,0.603586,66979.000000,16686.000000
930.069116,0.609982,82100.000000,20154.000000
933.929670,0.621983,94317.000000,22522.000000
937.786010,0.636882,106099.000000,24481.000000
941.638135,0.644105,116718.000000,26487.000000
945.486046,0.653497,125961.000000,27973.000000
949.329742,0.661056,134812.000000,29422.000000
953.169224,0.666506,143641.000000,30958.000000
957.004491,0.672236,152380.000000,32411.000000
960.835544,0.677475,161986.000000,34041.000000
965.937059,0.683703,175129.000000,36279.000000
969.758279,0.689685,185335.000000,37868.000000
973.575284,0.691350,195809.000000,39855.000000
977.388074,0.695268,206740.000000,41702.000000
981.196650,0.697988,217308.000000,43560.000000
985.001012,0.701093,228047.000000,45387.000000
988.801159,0.704179,238038.000000,47040.000000
992.597092,0.706162,247444.000000,48676.000000
996.388810,0.706025,256381.000000,50450.000000
1000.176314,0.706933,264317.000000,51903.000000
1005.219764,0.708626,273187.000000,53436.000000
1008.997434,0.709869,278661.000000,54351.000000
1012.770890,0.708825,283378.000000,55404.000000
1016.540131,0.709820,286796.000000,55944.000000
1020.305158,0.710660,289545.000000,56371.000000
1024.065971,0.709344,290768.000000,56781.000000
1027.822569,0.709466,291659.000000,56939.000000
1031.574953,0.710431,291738.000000,56828.000000
1035.323122,0.708843,291180.000000,56927.000000
1040.314125,0.709393,289060.000000,56441.000000
1044.052461,0.707574,287270.000000,56327.000000
1047.786582,0.708031,285260.000000,55874.000000
1051.516489,0.707336,282938.000000,55508.000000
1055.242181,0.706695,280933.000000,55196.000000
1058.963659,0.705222,278805.000000,54964.000000
1062.680922,0.705510,276533.000000,54480.000000
1066.393971,0.703143,275025.000000,54479.000000
1070.102806,0.702073,273940.000000,54398.000000
1075.041363,0.700886,272610.000000,54282.000000
1078.740364,0.700449,271864.000000,54188.000000
1082.435151,0.700272,271322.000000,54102.000000
1086.125723,0.698575,271668.000000,54383.000000
1089.812080,0.697391,272144.000000,54627.000000
1093.494224,0.697747,273135.000000,54781.000000
1097.172153,0.696714,273441.000000,54973.000000
1100.845867,0.696517,274759.000000,55263.000000
1104.515367,0.696413,276154.000000,55557.000000
1109.401478,0.697149,278191.000000,55872.000000
1113.061144,0.698080,279666.000000,56048.000000
1116.716596,0.699140,281465.000000,56271.000000
1120.367833,0.700029,283330.000000,56528.000000
1124.014856,0.703239,285720.000000,56585.000000
1127.657665,0.706981,287805.000000,56509.000000
1131.296259,0.712028,290051.000000,56292.000000
1134.930639,0.720246,292331.000000,55671.000000
1138.560804,0.728304,294917.000000,55131.000000
1143.394469,0.742676,298293.000000,53947.000000
1147.014801,0.751484,300985.000000,53341.000000
1150.630918,0.760508,304257.000000,52812.000000
1154.242821,0.767745,307712.000000,52529.000000
1157.850509,0.773553,310881.000000,52365.000000
1161.453983,0.778212,314276.000000,52372.000000
1165.053242,0.780572,318257.000000,52748.000000
1168.648287,0.783971,322819.000000,53087.000000
1172.239118,0.786385,326850.000000,53452.000000
1177.020337,0.791419,332795.000000,53797.000000
1180.601334,0.794769,338252.000000,54259.000000
1184.178116,0.797780,344529.000000,54884.000000
1187.750684,0.800183,351023.000000,55610.000000
1191.319038,0.805488,357082.000000,55883.000000
1194.883177,0.808645,364643.000000,56653.000000
1198.443102,0.810245,372656.000000,57685.000000
1201.998812,0.811731,379916.000000,58608.000000
1205.550308,0.812611,387104.000000,59596.000000
1210.279081,0.812091,398358.000000,61402.000000
1213.820743,0.809497,406330.000000,63006.000000
1217.358191,0.805019,414296.000000,64907.000000
1220.891424,0.799960,423100.000000,67063.000000
1224.420443,0.795585,431276.000000,69051.000000
1227.945248,0.792761,440314.000000,70958.000000
1231.465838,0.790147,449218.000000,72830.000000
1234.982214,0.787624,457807.000000,74655.000000
1238.494375,0.786749,468067.000000,76482.000000
1243.170701,0.785265,479193.000000,78568.000000
1246.673029,0.783252,486758.000000,80179.000000
1250.171142,0.782748,495180.000000,81661.000000
1253.665041,0.782341,503918.000000,83180.000000
1257.154726,0.780335,511654.000000,84848.000000
1260.640196,0.777811,521154.000000,86927.000000
1264.121451,0.776240,534098.000000,89409.000000
1267.598492,0.777068,549524.000000,91816.000000
1271.071319,0.778333,564969.000000,94122.000000
1275.695199,0.779692,583497.000000,96905.000000
1279.158192,0.781141,596509.000000,98736.000000
1282.616970,0.783624,610137.000000,100416.000000
1286.071534,0.785657,621777.000000,101854.000000
1289.521884,0.788442,632911.000000,103015.000000
1292.968020,0.792927,643299.000000,103630.000000
1296.409940,0.797267,653998.000000,104306.000000
1299.847647,0.801407,662535.000000,104665.000000
1303.281139,0.806968,669534.000000,104425.000000
1307.852572,0.815167,680622.000000,104169.000000
1311.276231,0.822542,687613.000000,103467.000000
1314.695675,0.829158,692993.000000,102700.000000
1318.110904,0.837214,697587.000000,101481.000000
1321.521919,0.847718,703545.000000,99902.000000
1324.928720,0.857792,707997.000000,98229.000000
1328.331306,0.866999,710077.000000,96451.000000
1331.729678,0.877518,712333.000000,94442.000000
1335.123835,0.887155,715576.000000,92790.000000
1339.642823,0.901285,717691.000000,90085.000000
1343.027147,0.910342,716977.000000,88138.000000
1346.407256,0.920562,716577.000000,86040.000000
1349.783151,0.928673,716270.000000,84412.000000
1353.154831,0.938902,715315.000000,82337.000000
1356.522297,0.948184,713176.000000,80355.000000
1359.885549,0.957093,710971.000000,78480.000000
1363.244586,0.967691,708733.000000,76347.000000
1366.599408,0.979276,706319.000000,74084.000000
1371.065950,1.000672,701665.000000,70058.000000
1374.410939,1.019895,697460.000000,66623.000000
1377.751713,1.044453,691985.000000,62466.000000
1381.088274,1.073062,686523.000000,58022.000000
1384.420619,1.104748,680381.000000,53457.000000
1387.748751,1.139037,675468.000000,49042.000000
1391.072668,1.175491,671911.000000,44856.000000
1394.392370,1.208015,668723.000000,41422.000000
1397.707858,1.241202,666533.000000,38249.000000
1402.121953,1.280792,665113.000000,34842.000000
1405.427607,1.305953,665198.000000,32885.000000
1408.729047,1.329070,664935.000000,31168.000000
1412.026273,1.344708,664455.000000,30044.000000
1415.319284,1.362868,664556.000000,28818.000000
1418.608081,1.373212,664917.000000,28155.000000
1421.892663,1.383326,665017.000000,27511.000000
