Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:39:56,,
Header Version:,1,,
System Temp (C):,36.15,,
Detector Temp (C):,31.48,,
Humidity (%):,23.82,,
Lamp PD:,3714,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.717,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,1.085934,33639.000000,2760.000000
905.521072,1.099338,38213.000000,3040.000000
909.408318,1.110398,42332.000000,3283.000000
913.291349,1.122019,46950.000000,3545.000000
917.170165,1.115851,51785.000000,3966.000000
921.044767,1.110529,58287.000000,4519.000000
924.915155,1.112280,66979.000000,5172.000000
930.069116,1.119576,82100.000000,6234.000000
933.929670,1.133982,94317.000000,6928.000000
937.786010,1.145985,106099.000000,7581.000000
941.638135,1.160480,116718.000000,8066.000000
945.486046,1.166192,125961.000000,8591.000000
949.329742,1.174041,134812.000000,9030.000000
953.169224,1.183458,143641.000000,9415.000000
957.004491,1.194949,152380.000000,9727.000000
960.835544,1.201261,161986.000000,10191.000000
965.937059,1.204976,175129.000000,10924.000000
969.758279,1.214495,185335.000000,11310.000000
973.575284,1.219877,195809.000000,11802.000000
977.388074,1.224602,206740.000000,12326.000000
981.196650,1.233614,217308.000000,12690.000000
985.001012,1.236694,228047.000000,13223.000000
988.801159,1.242948,238038.000000,13605.000000
992.597092,1.242751,247444.000000,14149.000000
996.388810,1.248507,256381.000000,14467.000000
1000.176314,1.250194,264317.000000,14857.000000
1005.219764,1.253048,273187.000000,15255.000000
1008.997434,1.254129,278661.000000,15522.000000
1012.770890,1.256522,283378.000000,15698.000000
1016.540131,1.256340,286796.000000,15894.000000
1020.305158,1.255754,289545.000000,16068.000000
1024.065971,1.256964,290768.000000,16091.000000
1027.822569,1.255629,291659.000000,16190.000000
1031.574953,1.254300,291738.000000,16244.000000
1035.323122,1.255290,291180.000000,16176.000000
1040.314125,1.252896,289060.000000,16147.000000
1044.052461,1.253411,287270.000000,16028.000000
1047.786582,1.251392,285260.000000,15990.000000
1051.516489,1.251060,282938.000000,15872.000000
1055.242181,1.245488,280933.000000,15963.000000
1058.963659,1.245655,278805.000000,15836.000000
1062.680922,1.242843,276533.000000,15809.000000
1066.393971,1.239343,275025.000000,15850.000000
1070.102806,1.236668,273940.000000,15885.000000
1075.041363,1.232890,272610.000000,15946.000000
1078.740364,1.229391,271864.000000,16031.000000
1082.435151,1.226902,271322.000000,16091.000000
1086.125723,1.223158,271668.000000,16251.000000
1089.812080,1.220246,272144.000000,16389.000000
1093.494224,1.215041,273135.000000,16647.000000
1097.172153,1.212434,273441.000000,16766.000000
1100.845867,1.209936,274759.000000,16944.000000
1104.515367,1.207546,276154.000000,17124.000000
1109.401478,1.201628,278191.000000,17487.000000
1113.061144,1.203254,279666.000000,17514.000000
1116.716596,1.201181,281465.000000,17711.000000
1120.367833,1.197117,283330.000000,17996.000000
1124.014856,1.200114,285720.000000,18023.000000
1127.657665,1.199099,287805.000000,18197.000000
1131.296259,1.203813,290051.000000,18141.000000
1134.930639,1.204374,292331.000000,18260.000000
1138.560804,1.213054,294917.000000,18057.000000
1143.394469,1.221572,298293.000000,17909.000000
1147.014801,1.229420,300985.000000,17747.000000
1150.630918,1.238271,304257.000000,17578.000000
1154.242821,1.244734,307712.000000,17515.000000
1157.850509,1.251746,310881.000000,17412.000000
1161.453983,1.255939,314276.000000,17433.000000
1165.053242,1.259467,318257.000000,17511.000000
1168.648287,1.264608,322819.000000,17553.000000
1172.239118,1.264441,326850.000000,17779.000000
1177.020337,1.270514,332795.000000,17851.000000
1180.601334,1.275224,338252.000000,17948.000000
1184.178116,1.278756,344529.000000,18133.000000
1187.750684,1.286698,351023.000000,18140.000000
1191.319038,1.291172,357082.000000,18264.000000
1194.883177,1.296272,364643.000000,18433.000000
1198.443102,1.297150,372656.000000,18800.000000
1201.998812,1.301987,379916.000000,18954.000000
1205.550308,1.302991,387104.000000,19268.000000
1210.279081,1.299309,398358.000000,19997.000000
1213.820743,1.296088,406330.000000,20549.000000
1217.358191,1.289360,414296.000000,21279.000000
1220.891424,1.280188,423100.000000,22195.000000
1224.420443,1.274124,431276.000000,22942.000000
1227.945248,1.269436,440314.000000,23677.000000
1231.465838,1.264961,449218.000000,24406.000000
1234.982214,1.260905,457807.000000,25106.000000
1238.494375,1.259531,468067.000000,25750.000000
1243.170701,1.258265,479193.000000,26439.000000
1246.673029,1.256932,486758.000000,26939.000000
1250.171142,1.257933,495180.000000,27342.000000
1253.665041,1.253855,503918.000000,28087.000000
1257.154726,1.253492,511654.000000,28542.000000
1260.640196,1.251137,521154.000000,29230.000000
1264.121451,1.250123,534098.000000,30026.000000
1267.598492,1.250506,549524.000000,30866.000000
1271.071319,1.251678,564969.000000,31648.000000
1275.695199,1.254436,583497.000000,32479.000000
1279.158192,1.254257,596509.000000,33217.000000
1282.616970,1.256113,610137.000000,33831.000000
1286.071534,1.257316,621777.000000,34381.000000
1289.521884,1.260650,632911.000000,34729.000000
1292.968020,1.262970,643299.000000,35111.000000
1296.409940,1.266475,653998.000000,35408.000000
1299.847647,1.269966,662535.000000,35583.000000
1303.281139,1.275092,669534.000000,35537.000000
1307.852572,1.282470,680622.000000,35517.000000
1311.276231,1.285480,687613.000000,35634.000000
1314.695675,1.292241,692993.000000,35358.000000
1318.110904,1.298960,697587.000000,35046.000000
1321.521919,1.306762,703545.000000,34716.000000
1324.928720,1.316297,707997.000000,34177.000000
1328.331306,1.324682,710077.000000,33622.000000
1331.729678,1.332239,712333.000000,33147.000000
1335.123835,1.341971,715576.000000,32560.000000
1339.642823,1.356099,717691.000000,31611.000000
1343.027147,1.364242,716977.000000,30993.000000
1346.407256,1.373004,716577.000000,30357.000000
1349.783151,1.380555,716270.000000,29821.000000
1353.154831,1.389650,715315.000000,29164.000000
1356.522297,1.398017,713176.000000,28522.000000
1359.885549,1.406030,710971.000000,27914.000000
1363.244586,1.414686,708733.000000,27277.000000
1366.599408,1.425411,706319.000000,26521.000000
1371.065950,1.441330,701665.000000,25398.000000
1374.410939,1.455543,697460.000000,24433.000000
1377.751713,1.475715,691985.000000,23141.000000
1381.088274,1.494489,686523.000000,21987.000000
1384.420619,1.519433,680381.000000,20574.000000
1387.748751,1.544836,675468.000000,19265.000000
1391.072668,1.572957,671911.000000,17962.000000
1394.392370,1.597900,668723.000000,16879.000000
