Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:32:16,,
Header Version:,1,,
System Temp (C):,33.88,,
Detector Temp (C):,28.58,,
Humidity (%):,28.39,,
Lamp PD:,3710,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.713,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.414372,33639.000000,12956.000000
905.521072,0.430015,38213.000000,14197.000000
909.408318,0.427600,42332.000000,15815.000000
913.291349,0.436334,46950.000000,17191.000000
917.170165,0.431220,51785.000000,19186.000000
921.044767,0.422577,58287.000000,22029.000000
924.915155,0.417512,66979.000000,25611.000000
930.069116,0.426145,82100.000000,30775.000000
933.929670,0.440386,94317.000000,34214.000000
937.786010,0.455940,106099.000000,37134.000000
941.638135,0.466339,116718.000000,39884.000000
945.486046,0.475737,125961.000000,42121.000000
949.329742,0.483305,134812.000000,44302.000000
953.169224,0.490321,143641.000000,46447.000000
957.004491,0.494793,152380.000000,48768.000000
960.835544,0.501278,161986.000000,51074.000000
965.937059,0.508230,175129.000000,54341.000000
969.758279,0.513900,185335.000000,56762.000000
973.575284,0.518083,195809.000000,59395.000000
977.388074,0.523671,206740.000000,61909.000000
981.196650,0.526964,217308.000000,64582.000000
985.001012,0.532994,228047.000000,66839.000000
988.801159,0.536001,238038.000000,69286.000000
992.597092,0.538473,247444.000000,71615.000000
996.388810,0.540600,256381.000000,73839.000000
1000.176314,0.542198,264317.000000,75845.000000
1005.219764,0.543192,273187.000000,78211.000000
1008.997434,0.545239,278661.000000,79403.000000
1012.770890,0.544880,283378.000000,80814.000000
1016.540131,0.544984,286796.000000,81769.000000
1020.305158,0.545562,289545.000000,82443.000000
1024.065971,0.545553,290768.000000,82793.000000
1027.822569,0.545044,291659.000000,83144.000000
1031.574953,0.544671,291738.000000,83238.000000
1035.323122,0.544059,291180.000000,83196.000000
1040.314125,0.542900,289060.000000,82811.000000
1044.052461,0.541615,287270.000000,82542.000000
1047.786582,0.541152,285260.000000,82052.000000
1051.516489,0.539517,282938.000000,81691.000000
1055.242181,0.537669,280933.000000,81458.000000
1058.963659,0.536285,278805.000000,81099.000000
1062.680922,0.534933,276533.000000,80689.000000
1066.393971,0.533296,275025.000000,80552.000000
1070.102806,0.530497,273940.000000,80753.000000
1075.041363,0.529018,272610.000000,80635.000000
