Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:36:31,,
Header Version:,1,,
System Temp (C):,35.28,,
Detector Temp (C):,30.07,,
Humidity (%):,25.11,,
Lamp PD:,3713,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.716,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.617234,33639.000000,8121.000000
905.521072,0.639063,38213.000000,8773.000000
909.408318,0.639181,42332.000000,9716.000000
913.291349,0.646740,46950.000000,10590.000000
917.170165,0.642911,51785.000000,11784.000000
921.044767,0.636236,58287.000000,13469.000000
924.915155,0.630759,66979.000000,15674.000000
930.069116,0.644784,82100.000000,18602.000000
933.929670,0.657174,94317.000000,20769.000000
937.786010,0.670950,106099.000000,22634.000000
941.638135,0.683233,116718.000000,24205.000000
945.486046,0.692573,125961.000000,25566.000000
949.329742,0.702145,134812.000000,26766.000000
953.169224,0.711207,143641.000000,27930.000000
957.004491,0.714359,152380.000000,29415.000000
960.835544,0.719913,161986.000000,30872.000000
965.937059,0.728638,175129.000000,32713.000000
969.758279,0.735038,185335.000000,34113.000000
973.575284,0.736895,195809.000000,35887.000000
977.388074,0.740965,206740.000000,37537.000000
981.196650,0.745221,217308.000000,39071.000000
985.001012,0.749755,228047.000000,40576.000000
988.801159,0.751529,238038.000000,42181.000000
992.597092,0.752995,247444.000000,43700.000000
996.388810,0.754017,256381.000000,45172.000000
1000.176314,0.755991,264317.000000,46359.000000
1005.219764,0.755345,273187.000000,47986.000000
1008.997434,0.757975,278661.000000,48652.000000
1012.770890,0.757761,283378.000000,49500.000000
1016.540131,0.756152,286796.000000,50283.000000
1020.305158,0.756314,289545.000000,50746.000000
1024.065971,0.755058,290768.000000,51108.000000
1027.822569,0.754690,291659.000000,51308.000000
1031.574953,0.754250,291738.000000,51374.000000
1035.323122,0.752903,291180.000000,51435.000000
1040.314125,0.752440,289060.000000,51115.000000
1044.052461,0.749988,287270.000000,51086.000000
1047.786582,0.748839,285260.000000,50863.000000
1051.516489,0.746795,282938.000000,50687.000000
1055.242181,0.745483,280933.000000,50480.000000
1058.963659,0.744528,278805.000000,50208.000000
1062.680922,0.742456,276533.000000,50037.000000
1066.393971,0.740758,275025.000000,49959.000000
1070.102806,0.738217,273940.000000,50054.000000
1075.041363,0.735635,272610.000000,50108.000000
1078.740364,0.732602,271864.000000,50321.000000
1082.435151,0.730693,271322.000000,50442.000000
1086.125723,0.728500,271668.000000,50762.000000
1089.812080,0.725690,272144.000000,51181.000000
1093.494224,0.724865,273135.000000,51465.000000
1097.172153,0.722316,273441.000000,51826.000000
1100.845867,0.721331,274759.000000,52194.000000
1104.515367,0.719365,276154.000000,52697.000000
1109.401478,0.718342,278191.000000,53211.000000
1113.061144,0.718099,279666.000000,53523.000000
1116.716596,0.717932,281465.000000,53888.000000
1120.367833,0.718069,283330.000000,54228.000000
1124.014856,0.721421,285720.000000,54265.000000
1127.657665,0.723507,287805.000000,54399.000000
1131.296259,0.728067,290051.000000,54251.000000
1134.930639,0.734754,292331.000000,53842.000000
1138.560804,0.742517,294917.000000,53356.000000
1143.394469,0.755486,298293.000000,52379.000000
1147.014801,0.763528,300985.000000,51882.000000
1150.630918,0.770801,304257.000000,51575.000000
1154.242821,0.778451,307712.000000,51250.000000
1157.850509,0.781775,310881.000000,51383.000000
1161.453983,0.786078,314276.000000,51432.000000
1165.053242,0.788859,318257.000000,51751.000000
1168.648287,0.790732,322819.000000,52267.000000
1172.239118,0.792406,326850.000000,52716.000000
1177.020337,0.796502,332795.000000,53171.000000
1180.601334,0.799315,338252.000000,53694.000000
1184.178116,0.801707,344529.000000,54390.000000
1187.750684,0.805739,351023.000000,54903.000000
1191.319038,0.808686,357082.000000,55473.000000
