Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:50:45,,
Header Version:,1,,
System Temp (C):,37.84,,
Detector Temp (C):,33.52,,
Humidity (%):,21.22,,
Lamp PD:,3712,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.725,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.356083,33639.000000,14817.000000
905.521072,0.373931,38213.000000,16154.000000
909.408318,0.372967,42332.000000,17935.000000
913.291349,0.388153,46950.000000,19208.000000
917.170165,0.382372,51785.000000,21470.000000
921.044767,0.377026,58287.000000,24465.000000
924.915155,0.371612,66979.000000,28466.000000
930.069116,0.379530,82100.000000,34262.000000
933.929670,0.390723,94317.000000,38359.000000
937.786010,0.402741,106099.000000,41973.000000
941.638135,0.410915,116718.000000,45313.000000
945.486046,0.417135,125961.000000,48206.000000
949.329742,0.422644,134812.000000,50943.000000
953.169224,0.428284,143641.000000,53579.000000
957.004491,0.430119,152380.000000,56599.000000
960.835544,0.434341,161986.000000,59585.000000
965.937059,0.438878,175129.000000,63750.000000
969.758279,0.443500,185335.000000,66751.000000
973.575284,0.444760,195809.000000,70319.000000
977.388074,0.450427,206740.000000,73282.000000
981.196650,0.452603,217308.000000,76643.000000
985.001012,0.457008,228047.000000,79619.000000
988.801159,0.459004,238038.000000,82726.000000
992.597092,0.461389,247444.000000,85524.000000
996.388810,0.463215,256381.000000,88241.000000
1000.176314,0.464949,264317.000000,90610.000000
1005.219764,0.467119,273187.000000,93184.000000
