Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:53:10,,
Header Version:,1,,
System Temp (C):,38.25,,
Detector Temp (C):,33.82,,
Humidity (%):,20.44,,
Lamp PD:,3714,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.703,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.462797,33639.000000,11589.000000
905.521072,0.480739,38213.000000,12632.000000
909.408318,0.480138,42332.000000,14013.000000
913.291349,0.488622,46950.000000,15241.000000
917.170165,0.484164,51785.000000,16984.000000
921.044767,0.481660,58287.000000,19227.000000
924.915155,0.475943,66979.000000,22387.000000
930.069116,0.485269,82100.000000,26858.000000
933.929670,0.496355,94317.000000,30077.000000
937.786010,0.507948,106099.000000,32943.000000
941.638135,0.519142,116718.000000,35318.000000
945.486046,0.527341,125961.000000,37402.000000
949.329742,0.535944,134812.000000,39245.000000
953.169224,0.544526,143641.000000,40997.000000
957.004491,0.550157,152380.000000,42931.000000
960.835544,0.557076,161986.000000,44916.000000
965.937059,0.564339,175129.000000,47755.000000
969.758279,0.570379,185335.000000,49840.000000
973.575284,0.573240,195809.000000,52311.000000
977.388074,0.578701,206740.000000,54541.000000
981.196650,0.581704,217308.000000,56934.000000
985.001012,0.586202,228047.000000,59132.000000
988.801159,0.588520,238038.000000,61394.000000
992.597092,0.590888,247444.000000,63473.000000
996.388810,0.592890,256381.000000,65463.000000
1000.176314,0.593891,264317.000000,67334.000000
1005.219764,0.595338,273187.000000,69362.000000
