Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:56:17,,
Header Version:,1,,
System Temp (C):,38.61,,
Detector Temp (C):,34.64,,
Humidity (%):,19.66,,
Lamp PD:,3712,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.724,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.803223,33639.000000,5292.000000
905.521072,0.821713,38213.000000,5761.000000
909.408318,0.837652,42332.000000,6152.000000
913.291349,0.849337,46950.000000,6642.000000
917.170165,0.837755,51785.000000,7524.000000
921.044767,0.842380,58287.000000,8379.000000
924.915155,0.846481,66979.000000,9538.000000
930.069116,0.863384,82100.000000,11245.000000
933.929670,0.868093,94317.000000,12779.000000
937.786010,0.886021,106099.000000,13794.000000
941.638135,0.896202,116718.000000,14823.000000
945.486046,0.905972,125961.000000,15641.000000
949.329742,0.915494,134812.000000,16377.000000
953.169224,0.923268,143641.000000,17140.000000
957.004491,0.928888,152380.000000,17949.000000
960.835544,0.935990,161986.000000,18771.000000
965.937059,0.947681,175129.000000,19755.000000
969.758279,0.954364,185335.000000,20587.000000
973.575284,0.951567,195809.000000,21891.000000
977.388074,0.957547,206740.000000,22797.000000
981.196650,0.959952,217308.000000,23830.000000
985.001012,0.964326,228047.000000,24757.000000
988.801159,0.965212,238038.000000,25789.000000
992.597092,0.966251,247444.000000,26744.000000
996.388810,0.966093,256381.000000,27720.000000
1000.176314,0.966793,264317.000000,28532.000000
1005.219764,0.965961,273187.000000,29546.000000
1008.997434,0.964480,278661.000000,30241.000000
1012.770890,0.965044,283378.000000,30713.000000
1016.540131,0.964715,286796.000000,31107.000000
1020.305158,0.961466,289545.000000,31641.000000
1024.065971,0.960915,290768.000000,31815.000000
1027.822569,0.958898,291659.000000,32061.000000
1031.574953,0.958109,291738.000000,32128.000000
1035.323122,0.957224,291180.000000,32132.000000
1040.314125,0.953821,289060.000000,32149.000000
1044.052461,0.951501,287270.000000,32121.000000
1047.786582,0.951369,285260.000000,31906.000000
1051.516489,0.948937,282938.000000,31824.000000
1055.242181,0.944703,280933.000000,31908.000000
1058.963659,0.941632,278805.000000,31891.000000
1062.680922,0.940263,276533.000000,31731.000000
1066.393971,0.936426,275025.000000,31838.000000
1070.102806,0.931882,273940.000000,32046.000000
1075.041363,0.926433,272610.000000,32293.000000
1078.740364,0.921414,271864.000000,32579.000000
1082.435151,0.916038,271322.000000,32919.000000
1086.125723,0.912573,271668.000000,33225.000000
1089.812080,0.908511,272144.000000,33596.000000
1093.494224,0.904643,273135.000000,34020.000000
1097.172153,0.899271,273441.000000,34482.000000
1100.845867,0.899575,274759.000000,34624.000000
1104.515367,0.893844,276154.000000,35262.000000
1109.401478,0.890642,278191.000000,35785.000000
1113.061144,0.888075,279666.000000,36188.000000
1116.716596,0.887429,281465.000000,36475.000000
1120.367833,0.885572,283330.000000,36874.000000
1124.014856,0.884698,285720.000000,37260.000000
1127.657665,0.886587,287805.000000,37369.000000
1131.296259,0.887079,290051.000000,37618.000000
1134.930639,0.890341,292331.000000,37630.000000
1138.560804,0.894212,294917.000000,37626.000000
1143.394469,0.901551,298293.000000,37419.000000
1147.014801,0.908002,300985.000000,37200.000000
1150.630918,0.913750,304257.000000,37110.000000
1154.242821,0.920048,307712.000000,36991.000000
1157.850509,0.924486,310881.000000,36992.000000
1161.453983,0.929321,314276.000000,36982.000000
1165.053242,0.930988,318257.000000,37307.000000
1168.648287,0.935507,322819.000000,37450.000000
1172.239118,0.937259,326850.000000,37765.000000
1177.020337,0.943274,332795.000000,37923.000000
1180.601334,0.947905,338252.000000,38136.000000
1184.178116,0.953189,344529.000000,38374.000000
1187.750684,0.957411,351023.000000,38719.000000
1191.319038,0.964575,357082.000000,38743.000000
1194.883177,0.968039,364643.000000,39249.000000
