Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:30:18,,
Header Version:,1,,
System Temp (C):,33.14,,
Detector Temp (C):,27.99,,
Humidity (%):,30.16,,
Lamp PD:,3708,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.720,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.590933,33639.000000,8628.000000
905.521072,0.603346,38213.000000,9525.000000
909.408318,0.601650,42332.000000,10593.000000
913.291349,0.604937,46950.000000,11660.000000
917.170165,0.597862,51785.000000,13072.000000
921.044767,0.584873,58287.000000,15160.000000
924.915155,0.573401,66979.000000,17887.000000
930.069116,0.581703,82100.000000,21510.000000
933.929670,0.592807,94317.000000,24087.000000
937.786010,0.606268,106099.000000,26269.000000
941.638135,0.615137,116718.000000,28314.000000
945.486046,0.618736,125961.000000,30304.000000
949.329742,0.623657,134812.000000,32068.000000
953.169224,0.627527,143641.000000,33865.000000
957.004491,0.627834,152380.000000,35900.000000
960.835544,0.631205,161986.000000,37868.000000
965.937059,0.634394,175129.000000,40641.000000
969.758279,0.638191,185335.000000,42635.000000
973.575284,0.638157,195809.000000,45048.000000
977.388074,0.641299,206740.000000,47220.000000
981.196650,0.642497,217308.000000,49497.000000
985.001012,0.646943,228047.000000,51414.000000
988.801159,0.648796,238038.000000,53438.000000
992.597092,0.650116,247444.000000,55381.000000
996.388810,0.652158,256381.000000,57112.000000
1000.176314,0.652932,264317.000000,58775.000000
1005.219764,0.655567,273187.000000,60380.000000
1008.997434,0.656455,278661.000000,61464.000000
1012.770890,0.657627,283378.000000,62336.000000
1016.540131,0.657551,286796.000000,63099.000000
1020.305158,0.659134,289545.000000,63472.000000
1024.065971,0.659162,290768.000000,63736.000000
1027.822569,0.659429,291659.000000,63892.000000
1031.574953,0.660057,291738.000000,63817.000000
1035.323122,0.660315,291180.000000,63657.000000
1040.314125,0.660168,289060.000000,63215.000000
1044.052461,0.659854,287270.000000,62869.000000
1047.786582,0.660474,285260.000000,62340.000000
1051.516489,0.659811,282938.000000,61927.000000
1055.242181,0.658754,280933.000000,61638.000000
1058.963659,0.659800,278805.000000,61024.000000
1062.680922,0.659002,276533.000000,60638.000000
1066.393971,0.658580,275025.000000,60366.000000
1070.102806,0.657662,273940.000000,60255.000000
1075.041363,0.657202,272610.000000,60026.000000
1078.740364,0.657621,271864.000000,59804.000000
1082.435151,0.657423,271322.000000,59712.000000
1086.125723,0.655938,271668.000000,59993.000000
1089.812080,0.655917,272144.000000,60101.000000
1093.494224,0.655470,273135.000000,60382.000000
1097.172153,0.656014,273441.000000,60374.000000
1100.845867,0.655813,274759.000000,60693.000000
1104.515367,0.657333,276154.000000,60788.000000
1109.401478,0.658046,278191.000000,61136.000000
1113.061144,0.658662,279666.000000,61373.000000
1116.716596,0.660846,281465.000000,61458.000000
1120.367833,0.661944,283330.000000,61709.000000
1124.014856,0.663479,285720.000000,62010.000000
1127.657665,0.665790,287805.000000,62131.000000
1131.296259,0.669698,290051.000000,62055.000000
1134.930639,0.673525,292331.000000,61994.000000
1138.560804,0.679753,294917.000000,61652.000000
1143.394469,0.687098,298293.000000,61312.000000
1147.014801,0.692376,300985.000000,61118.000000
1150.630918,0.697953,304257.000000,60994.000000
1154.242821,0.703627,307712.000000,60886.000000
1157.850509,0.707528,310881.000000,60963.000000
1161.453983,0.710567,314276.000000,61199.000000
1165.053242,0.713804,318257.000000,61514.000000
1168.648287,0.716063,322819.000000,62072.000000
1172.239118,0.717476,326850.000000,62643.000000
1177.020337,0.721501,332795.000000,63194.000000
1180.601334,0.724781,338252.000000,63747.000000
1184.178116,0.726583,344529.000000,64661.000000
1187.750684,0.730649,351023.000000,65266.000000
