Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:57:31,,
Header Version:,1,,
System Temp (C):,38.83,,
Detector Temp (C):,34.78,,
Humidity (%):,19.48,,
Lamp PD:,3712,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.718,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.488461,33639.000000,10924.000000
905.521072,0.504698,38213.000000,11954.000000
909.408318,0.507974,42332.000000,13143.000000
913.291349,0.514572,46950.000000,14357.000000
917.170165,0.515437,51785.000000,15804.000000
921.044767,0.508157,58287.000000,18089.000000
924.915155,0.500608,66979.000000,21151.000000
930.069116,0.509595,82100.000000,25395.000000
933.929670,0.519913,94317.000000,28489.000000
937.786010,0.529862,106099.000000,31322.000000
941.638135,0.538941,116718.000000,33744.000000
945.486046,0.543295,125961.000000,36053.000000
949.329742,0.546950,134812.000000,38263.000000
953.169224,0.550295,143641.000000,40456.000000
957.004491,0.551961,152380.000000,42753.000000
960.835544,0.555108,161986.000000,45120.000000
965.937059,0.558055,175129.000000,48451.000000
969.758279,0.561513,185335.000000,50868.000000
973.575284,0.562174,195809.000000,53661.000000
977.388074,0.564353,206740.000000,56373.000000
981.196650,0.566548,217308.000000,58956.000000
985.001012,0.569234,228047.000000,61488.000000
988.801159,0.571649,238038.000000,63826.000000
992.597092,0.572049,247444.000000,66287.000000
996.388810,0.573836,256381.000000,68399.000000
1000.176314,0.574750,264317.000000,70368.000000
1005.219764,0.575954,273187.000000,72528.000000
1008.997434,0.577285,278661.000000,73755.000000
1012.770890,0.578465,283378.000000,74800.000000
1016.540131,0.578087,286796.000000,75768.000000
1020.305158,0.580240,289545.000000,76116.000000
1024.065971,0.579879,290768.000000,76501.000000
1027.822569,0.579922,291659.000000,76728.000000
1031.574953,0.580322,291738.000000,76678.000000
1035.323122,0.581574,291180.000000,76311.000000
1040.314125,0.580649,289060.000000,75917.000000
1044.052461,0.579924,287270.000000,75573.000000
1047.786582,0.580481,285260.000000,74948.000000
1051.516489,0.578708,282938.000000,74642.000000
1055.242181,0.577772,280933.000000,74273.000000
1058.963659,0.577609,278805.000000,73738.000000
1062.680922,0.576051,276533.000000,73400.000000
1066.393971,0.574903,275025.000000,73193.000000
1070.102806,0.573275,273940.000000,73178.000000
1075.041363,0.571274,272610.000000,73159.000000
1078.740364,0.570761,271864.000000,73045.000000
1082.435151,0.569455,271322.000000,73119.000000
1086.125723,0.567899,271668.000000,73475.000000
1089.812080,0.565955,272144.000000,73934.000000
1093.494224,0.565587,273135.000000,74266.000000
1097.172153,0.564020,273441.000000,74618.000000
1100.845867,0.562902,274759.000000,75171.000000
1104.515367,0.563204,276154.000000,75500.000000
1109.401478,0.562177,278191.000000,76237.000000
1113.061144,0.562587,279666.000000,76569.000000
1116.716596,0.562584,281465.000000,77062.000000
1120.367833,0.562017,283330.000000,77674.000000
1124.014856,0.564526,285720.000000,77878.000000
1127.657665,0.566375,287805.000000,78113.000000
1131.296259,0.568064,290051.000000,78417.000000
1134.930639,0.571537,292331.000000,78404.000000
1138.560804,0.575916,294917.000000,78304.000000
1143.394469,0.583184,298293.000000,77886.000000
1147.014801,0.588420,300985.000000,77647.000000
1150.630918,0.594079,304257.000000,77475.000000
1154.242821,0.598697,307712.000000,77526.000000
1157.850509,0.603208,310881.000000,77515.000000
1161.453983,0.605439,314276.000000,77960.000000
1165.053242,0.608185,318257.000000,78450.000000
1168.648287,0.611662,322819.000000,78940.000000
1172.239118,0.612808,326850.000000,79715.000000
1177.020337,0.617180,332795.000000,80352.000000
1180.601334,0.619882,338252.000000,81163.000000
1184.178116,0.623587,344529.000000,81967.000000
1187.750684,0.627452,351023.000000,82772.000000
1191.319038,0.631165,357082.000000,83484.000000
1194.883177,0.633549,364643.000000,84785.000000
1198.443102,0.636835,372656.000000,85995.000000
1201.998812,0.638211,379916.000000,87393.000000
1205.550308,0.639640,387104.000000,88754.000000
1210.279081,0.639860,398358.000000,91288.000000
1213.820743,0.636190,406330.000000,93905.000000
1217.358191,0.632266,414296.000000,96615.000000
1220.891424,0.627608,423100.000000,99732.000000
1224.420443,0.623100,431276.000000,102720.000000
1227.945248,0.619675,440314.000000,105703.000000
1231.465838,0.616523,449218.000000,108626.000000
1234.982214,0.613871,457807.000000,111381.000000
1238.494375,0.612950,468067.000000,114119.000000
1243.170701,0.611594,479193.000000,117197.000000
1246.673029,0.610545,486758.000000,119335.000000
1250.171142,0.608838,495180.000000,121878.000000
1253.665041,0.608973,503918.000000,123990.000000
1257.154726,0.606189,511654.000000,126703.000000
1260.640196,0.603772,521154.000000,129776.000000
1264.121451,0.602179,534098.000000,133488.000000
1267.598492,0.602617,549524.000000,137205.000000
1271.071319,0.602846,564969.000000,140987.000000
1275.695199,0.603409,583497.000000,145422.000000
1279.158192,0.603990,596509.000000,148466.000000
1282.616970,0.605279,610137.000000,151408.000000
1286.071534,0.605964,621777.000000,154053.000000
1289.521884,0.607940,632911.000000,156100.000000
1292.968020,0.610036,643299.000000,157898.000000
1296.409940,0.613290,653998.000000,159326.000000
1299.847647,0.615577,662535.000000,160558.000000
1303.281139,0.618224,669534.000000,161268.000000
1307.852572,0.622408,680622.000000,162367.000000
1311.276231,0.625951,687613.000000,162702.000000
1314.695675,0.629614,692993.000000,162598.000000
1318.110904,0.633644,697587.000000,162164.000000
1321.521919,0.639577,703545.000000,161330.000000
1324.928720,0.644608,707997.000000,160481.000000
1328.331306,0.649862,710077.000000,159017.000000
1331.729678,0.655039,712333.000000,157632.000000
1335.123835,0.660416,715576.000000,156401.000000
1339.642823,0.667574,717691.000000,154299.000000
1343.027147,0.672720,716977.000000,152330.000000
1346.407256,0.678570,716577.000000,150208.000000
1349.783151,0.683614,716270.000000,148410.000000
1353.154831,0.689565,715315.000000,146195.000000
1356.522297,0.694231,713176.000000,144200.000000
1359.885549,0.699680,710971.000000,141962.000000
1363.244586,0.705417,708733.000000,139658.000000
1366.599408,0.711141,706319.000000,137360.000000
1371.065950,0.722951,701665.000000,132794.000000
1374.410939,0.733290,697460.000000,128893.000000
1377.751713,0.747194,691985.000000,123852.000000
1381.088274,0.762011,686523.000000,118753.000000
1384.420619,0.779259,680381.000000,113108.000000
1387.748751,0.798613,675468.000000,107397.000000
1391.072668,0.820619,671911.000000,101553.000000
1394.392370,0.840890,668723.000000,96462.000000
1397.707858,0.863694,666533.000000,91228.000000
1402.121953,0.893942,665113.000000,84909.000000
1405.427607,0.916190,665198.000000,80679.000000
1408.729047,0.936373,664935.000000,76985.000000
1412.026273,0.956302,664455.000000,73479.000000
1415.319284,0.972057,664556.000000,70872.000000
1418.608081,0.986741,664917.000000,68553.000000
1421.892663,0.999528,665017.000000,66574.000000
1425.173031,1.010548,664617.000000,64867.000000
1428.449184,1.019783,665359.000000,63573.000000
1431.721123,1.027968,666424.000000,62486.000000
1436.077153,1.032852,667155.000000,61855.000000
1439.339258,1.036910,668127.000000,61369.000000
1442.597149,1.040392,668698.000000,60931.000000
1445.850825,1.042230,669264.000000,60725.000000
1449.100287,1.044063,669273.000000,60470.000000
1452.345535,1.043436,669026.000000,60535.000000
1455.586568,1.044890,668707.000000,60304.000000
1458.823387,1.044446,668068.000000,60308.000000
1462.055991,1.042481,666684.000000,60456.000000
1466.359575,1.040147,665382.000000,60663.000000
1469.582345,1.036276,664120.000000,61090.000000
1472.800901,1.031931,662276.000000,61533.000000
1476.015243,1.026307,660385.000000,62157.000000
1479.225371,1.021863,658310.000000,62599.000000
1482.431284,1.018419,656313.000000,62906.000000
1485.632982,1.010702,654173.000000,63825.000000
1488.830466,1.005329,651677.000000,64373.000000
1492.023736,0.999142,649126.000000,65041.000000
1496.274873,0.993111,646247.000000,65658.000000
1499.458309,0.987112,643294.000000,66267.000000
1502.637531,0.981966,640417.000000,66757.000000
1505.812538,0.976757,637303.000000,67234.000000
1508.983330,0.971346,634074.000000,67732.000000
1512.149909,0.966420,630551.000000,68124.000000
1515.312273,0.961120,626579.000000,68526.000000
1518.470422,0.956900,623236.000000,68826.000000
1521.624357,0.953679,619556.000000,68929.000000
1525.823048,0.948499,614520.000000,69189.000000
1528.967149,0.944015,610731.000000,69476.000000
1532.107036,0.941162,606260.000000,69422.000000
1535.242709,0.937153,601771.000000,69547.000000
1538.374167,0.934196,597293.000000,69501.000000
1541.501410,0.931109,592533.000000,69439.000000
1544.624439,0.928046,587614.000000,69350.000000
1547.743254,0.926061,582008.000000,69003.000000
1550.857855,0.922395,576631.000000,68945.000000
1555.004099,0.920575,569180.000000,68340.000000
1558.108866,0.917008,563682.000000,68238.000000
1561.209418,0.914320,557265.000000,67880.000000
1564.305756,0.911924,551187.000000,67511.000000
1567.397879,0.909571,545545.000000,67183.000000
1570.485788,0.905718,539133.000000,66985.000000
1573.569483,0.904232,532551.000000,66394.000000
1576.648963,0.901938,525907.000000,65913.000000
1579.724229,0.898987,518938.000000,65483.000000
1583.818027,0.896850,509333.000000,64588.000000
