Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:44:43,,
Header Version:,1,,
System Temp (C):,36.43,,
Detector Temp (C):,32.53,,
Humidity (%):,22.5,,
Lamp PD:,3715,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.717,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.424272,33639.000000,12664.000000
905.521072,0.443845,38213.000000,13752.000000
909.408318,0.446342,42332.000000,15147.000000
913.291349,0.447802,46950.000000,16743.000000
917.170165,0.443735,51785.000000,18641.000000
921.044767,0.436886,58287.000000,21315.000000
924.915155,0.430507,66979.000000,24856.000000
930.069116,0.436918,82100.000000,30021.000000
933.929670,0.448897,94317.000000,33550.000000
937.786010,0.459958,106099.000000,36792.000000
941.638135,0.467037,116718.000000,39820.000000
945.486046,0.472379,125961.000000,42448.000000
949.329742,0.478441,134812.000000,44801.000000
953.169224,0.481335,143641.000000,47418.000000
957.004491,0.483350,152380.000000,50070.000000
960.835544,0.487271,161986.000000,52748.000000
965.937059,0.491494,175129.000000,56476.000000
969.758279,0.495570,185335.000000,59209.000000
973.575284,0.497177,195809.000000,62324.000000
977.388074,0.501130,206740.000000,65207.000000
981.196650,0.503132,217308.000000,68225.000000
985.001012,0.507452,228047.000000,70888.000000
988.801159,0.509073,238038.000000,73718.000000
992.597092,0.510691,247444.000000,76346.000000
996.388810,0.513143,256381.000000,78658.000000
1000.176314,0.515461,264317.000000,80661.000000
1005.219764,0.517837,273187.000000,82913.000000
1008.997434,0.519527,278661.000000,84246.000000
1012.770890,0.520425,283378.000000,85495.000000
1016.540131,0.521421,286796.000000,86328.000000
1020.305158,0.522402,289545.000000,86959.000000
1024.065971,0.522931,290768.000000,87220.000000
1027.822569,0.523061,291659.000000,87461.000000
1031.574953,0.523437,291738.000000,87409.000000
1035.323122,0.523506,291180.000000,87228.000000
1040.314125,0.523330,289060.000000,86628.000000
1044.052461,0.524388,287270.000000,85882.000000
1047.786582,0.524027,285260.000000,85352.000000
1051.516489,0.523198,282938.000000,84819.000000
1055.242181,0.522543,280933.000000,84345.000000
1058.963659,0.521104,278805.000000,83984.000000
1062.680922,0.521284,276533.000000,83265.000000
1066.393971,0.519698,275025.000000,83114.000000
1070.102806,0.519059,273940.000000,82908.000000
1075.041363,0.516553,272610.000000,82983.000000
1078.740364,0.516657,271864.000000,82736.000000
1082.435151,0.515381,271322.000000,82814.000000
1086.125723,0.514244,271668.000000,83137.000000
1089.812080,0.513081,272144.000000,83506.000000
1093.494224,0.513237,273135.000000,83780.000000
1097.172153,0.512424,273441.000000,84031.000000
1100.845867,0.511422,274759.000000,84631.000000
1104.515367,0.511273,276154.000000,85090.000000
1109.401478,0.512088,278191.000000,85557.000000
1113.061144,0.511430,279666.000000,86141.000000
1116.716596,0.511896,281465.000000,86602.000000
1120.367833,0.512235,283330.000000,87108.000000
1124.014856,0.513362,285720.000000,87615.000000
1127.657665,0.515357,287805.000000,87850.000000
1131.296259,0.518085,290051.000000,87981.000000
1134.930639,0.521047,292331.000000,88070.000000
1138.560804,0.525597,294917.000000,87923.000000
1143.394469,0.531292,298293.000000,87771.000000
