Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:51:31,,
Header Version:,1,,
System Temp (C):,37.95,,
Detector Temp (C):,33.41,,
Humidity (%):,20.83,,
Lamp PD:,3712,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.702,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.550264,33639.000000,9475.000000
905.521072,0.562140,38213.000000,10473.000000
909.408318,0.558223,42332.000000,11707.000000
913.291349,0.567388,46950.000000,12713.000000
917.170165,0.558898,51785.000000,14299.000000
921.044767,0.554745,58287.000000,16249.000000
924.915155,0.546797,66979.000000,19017.000000
930.069116,0.552729,82100.000000,22994.000000
933.929670,0.562785,94317.000000,25811.000000
937.786010,0.572576,106099.000000,28388.000000
941.638135,0.580693,116718.000000,30651.000000
945.486046,0.581512,125961.000000,33016.000000
949.329742,0.586356,134812.000000,34944.000000
953.169224,0.589335,143641.000000,36978.000000
957.004491,0.589609,152380.000000,39203.000000
960.835544,0.591922,161986.000000,41453.000000
965.937059,0.595076,175129.000000,44492.000000
969.758279,0.597285,185335.000000,46846.000000
973.575284,0.596894,195809.000000,49538.000000
977.388074,0.600994,206740.000000,51812.000000
981.196650,0.600807,217308.000000,54484.000000
985.001012,0.605761,228047.000000,56528.000000
988.801159,0.605485,238038.000000,59042.000000
992.597092,0.606555,247444.000000,61224.000000
996.388810,0.608973,256381.000000,63083.000000
1000.176314,0.609867,264317.000000,64902.000000
1005.219764,0.610068,273187.000000,67049.000000
1008.997434,0.612267,278661.000000,68047.000000
1012.770890,0.612455,283378.000000,69169.000000
1016.540131,0.611917,286796.000000,70090.000000
1020.305158,0.613527,289545.000000,70500.000000
1024.065971,0.613875,290768.000000,70741.000000
1027.822569,0.614548,291659.000000,70848.000000
1031.574953,0.614261,291738.000000,70914.000000
1035.323122,0.615142,291180.000000,70635.000000
1040.314125,0.614175,289060.000000,70277.000000
1044.052461,0.614578,287270.000000,69777.000000
1047.786582,0.614646,285260.000000,69278.000000
1051.516489,0.613182,282938.000000,68946.000000
1055.242181,0.613413,280933.000000,68421.000000
1058.963659,0.612632,278805.000000,68025.000000
1062.680922,0.612533,276533.000000,67486.000000
1066.393971,0.611506,275025.000000,67277.000000
1070.102806,0.611127,273940.000000,67070.000000
1075.041363,0.609863,272610.000000,66939.000000
1078.740364,0.608958,271864.000000,66895.000000
1082.435151,0.608787,271322.000000,66788.000000
1086.125723,0.608301,271668.000000,66948.000000
1089.812080,0.607365,272144.000000,67210.000000
1093.494224,0.607717,273135.000000,67400.000000
1097.172153,0.606326,273441.000000,67692.000000
1100.845867,0.606449,274759.000000,67999.000000
1104.515367,0.607743,276154.000000,68141.000000
1109.401478,0.609001,278191.000000,68445.000000
1113.061144,0.609095,279666.000000,68793.000000
1116.716596,0.609764,281465.000000,69129.000000
1120.367833,0.610720,283330.000000,69434.000000
1124.014856,0.613200,285720.000000,69621.000000
1127.657665,0.615143,287805.000000,69816.000000
1131.296259,0.617246,290051.000000,70021.000000
1134.930639,0.620951,292331.000000,69972.000000
1138.560804,0.625540,294917.000000,69849.000000
1143.394469,0.631890,298293.000000,69623.000000
1147.014801,0.636504,300985.000000,69509.000000
1150.630918,0.641206,304257.000000,69508.000000
1154.242821,0.646141,307712.000000,69503.000000
1157.850509,0.649804,310881.000000,69629.000000
1161.453983,0.653232,314276.000000,69836.000000
1165.053242,0.656292,318257.000000,70224.000000
1168.648287,0.659294,322819.000000,70740.000000
1172.239118,0.659593,326850.000000,71574.000000
1177.020337,0.665007,332795.000000,71973.000000
1180.601334,0.666948,338252.000000,72827.000000
1184.178116,0.670413,344529.000000,73589.000000
1187.750684,0.673617,351023.000000,74425.000000
1191.319038,0.677273,357082.000000,75075.000000
1194.883177,0.679332,364643.000000,76302.000000
1198.443102,0.682539,372656.000000,77405.000000
