Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:33:37,,
Header Version:,1,,
System Temp (C):,34.37,,
Detector Temp (C):,28.79,,
Humidity (%):,26.59,,
Lamp PD:,3711,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.707,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.586626,33639.000000,8714.000000
905.521072,0.597234,38213.000000,9660.000000
909.408318,0.605893,42332.000000,10490.000000
913.291349,0.620715,46950.000000,11244.000000
917.170165,0.613351,51785.000000,12614.000000
921.044767,0.608266,58287.000000,14365.000000
924.915155,0.600474,66979.000000,16806.000000
930.069116,0.612142,82100.000000,20054.000000
933.929670,0.626948,94317.000000,22266.000000
937.786010,0.638998,106099.000000,24362.000000
941.638135,0.652081,116718.000000,26005.000000
945.486046,0.660304,125961.000000,27538.000000
949.329742,0.666732,134812.000000,29040.000000
953.169224,0.676539,143641.000000,30251.000000
957.004491,0.679955,152380.000000,31840.000000
960.835544,0.684122,161986.000000,33524.000000
965.937059,0.690155,175129.000000,35744.000000
969.758279,0.698022,185335.000000,37148.000000
973.575284,0.699278,195809.000000,39134.000000
977.388074,0.706674,206740.000000,40621.000000
981.196650,0.708380,217308.000000,42530.000000
985.001012,0.714088,228047.000000,44049.000000
988.801159,0.716474,238038.000000,45727.000000
992.597092,0.719894,247444.000000,47161.000000
996.388810,0.721482,256381.000000,48686.000000
1000.176314,0.723346,264317.000000,49978.000000
1005.219764,0.726487,273187.000000,51283.000000
1008.997434,0.728155,278661.000000,52110.000000
1012.770890,0.729535,283378.000000,52824.000000
1016.540131,0.728530,286796.000000,53585.000000
1020.305158,0.730538,289545.000000,53849.000000
1024.065971,0.730711,290768.000000,54055.000000
1027.822569,0.730500,291659.000000,54247.000000
1031.574953,0.729666,291738.000000,54366.000000
1035.323122,0.729906,291180.000000,54232.000000
1040.314125,0.727791,289060.000000,54100.000000
1044.052461,0.726613,287270.000000,53911.000000
1047.786582,0.727253,285260.000000,53455.000000
1051.516489,0.724378,282938.000000,53372.000000
1055.242181,0.722650,280933.000000,53205.000000
1058.963659,0.721648,278805.000000,52924.000000
1062.680922,0.717938,276533.000000,52943.000000
1066.393971,0.716031,275025.000000,52886.000000
