Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:35:21,,
Header Version:,1,,
System Temp (C):,35.06,,
Detector Temp (C):,29.94,,
Humidity (%):,26.33,,
Lamp PD:,3714,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.718,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.528933,33639.000000,9952.000000
905.521072,0.540739,38213.000000,11002.000000
909.408318,0.547126,42332.000000,12010.000000
913.291349,0.560676,46950.000000,12911.000000
917.170165,0.550715,51785.000000,14571.000000
921.044767,0.550410,58287.000000,16412.000000
924.915155,0.542615,66979.000000,19201.000000
930.069116,0.554318,82100.000000,22910.000000
933.929670,0.563526,94317.000000,25767.000000
937.786010,0.580902,106099.000000,27849.000000
941.638135,0.590074,116718.000000,29996.000000
945.486046,0.597509,125961.000000,31822.000000
949.329742,0.603299,134812.000000,33607.000000
953.169224,0.611118,143641.000000,35169.000000
957.004491,0.613695,152380.000000,37088.000000
960.835544,0.618948,161986.000000,38952.000000
965.937059,0.625467,175129.000000,41485.000000
969.758279,0.631309,185335.000000,43316.000000
973.575284,0.634347,195809.000000,45445.000000
977.388074,0.639545,206740.000000,47411.000000
981.196650,0.642743,217308.000000,49469.000000
985.001012,0.647670,228047.000000,51328.000000
988.801159,0.650384,238038.000000,53243.000000
992.597092,0.653272,247444.000000,54980.000000
996.388810,0.655180,256381.000000,56716.000000
1000.176314,0.656702,264317.000000,58267.000000
1005.219764,0.660013,273187.000000,59765.000000
1008.997434,0.662296,278661.000000,60643.000000
1012.770890,0.663993,283378.000000,61429.000000
1016.540131,0.663622,286796.000000,62223.000000
1020.305158,0.665746,289545.000000,62513.000000
1024.065971,0.665594,290768.000000,62799.000000
1027.822569,0.665569,291659.000000,62995.000000
1031.574953,0.665914,291738.000000,62962.000000
1035.323122,0.666548,291180.000000,62750.000000
1040.314125,0.666054,289060.000000,62364.000000
1044.052461,0.664807,287270.000000,62156.000000
1047.786582,0.663599,285260.000000,61893.000000
1051.516489,0.661688,282938.000000,61660.000000
1055.242181,0.660229,280933.000000,61429.000000
1058.963659,0.658081,278805.000000,61266.000000
1062.680922,0.657144,276533.000000,60898.000000
1066.393971,0.654455,275025.000000,60942.000000
1070.102806,0.651835,273940.000000,61069.000000
1075.041363,0.648776,272610.000000,61202.000000
1078.740364,0.646941,271864.000000,61293.000000
1082.435151,0.643820,271322.000000,61612.000000
1086.125723,0.641374,271668.000000,62039.000000
1089.812080,0.638481,272144.000000,62563.000000
1093.494224,0.636520,273135.000000,63075.000000
1097.172153,0.632826,273441.000000,63685.000000
1100.845867,0.630971,274759.000000,64266.000000
1104.515367,0.628759,276154.000000,64922.000000
1109.401478,0.627069,278191.000000,65656.000000
1113.061144,0.625972,279666.000000,66171.000000
1116.716596,0.625481,281465.000000,66672.000000
1120.367833,0.623459,283330.000000,67427.000000
1124.014856,0.624276,285720.000000,67868.000000
1127.657665,0.624856,287805.000000,68272.000000
1131.296259,0.626442,290051.000000,68554.000000
1134.930639,0.628091,292331.000000,68831.000000
1138.560804,0.632598,294917.000000,68723.000000
1143.394469,0.638712,298293.000000,68538.000000
1147.014801,0.643000,300985.000000,68477.000000
1150.630918,0.647544,304257.000000,68501.000000
1154.242821,0.653063,307712.000000,68404.000000
1157.850509,0.656295,310881.000000,68596.000000
1161.453983,0.659306,314276.000000,68866.000000
1165.053242,0.661932,318257.000000,69318.000000
