Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:49:46,,
Header Version:,1,,
System Temp (C):,37.68,,
Detector Temp (C):,33.31,,
Humidity (%):,21.51,,
Lamp PD:,3711,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.724,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.499657,33639.000000,10646.000000
905.521072,0.520457,38213.000000,11528.000000
909.408318,0.517799,42332.000000,12849.000000
913.291349,0.527342,46950.000000,13941.000000
917.170165,0.530393,51785.000000,15269.000000
921.044767,0.525322,58287.000000,17388.000000
924.915155,0.523651,66979.000000,20058.000000
930.069116,0.530959,82100.000000,24176.000000
933.929670,0.544080,94317.000000,26947.000000
937.786010,0.558148,106099.000000,29347.000000
941.638135,0.565367,116718.000000,31752.000000
945.486046,0.570857,125961.000000,33836.000000
949.329742,0.577632,134812.000000,35653.000000
953.169224,0.585442,143641.000000,37311.000000
957.004491,0.586606,152380.000000,39475.000000
960.835544,0.591995,161986.000000,41446.000000
965.937059,0.598418,175129.000000,44151.000000
969.758279,0.603071,185335.000000,46226.000000
973.575284,0.605411,195809.000000,48576.000000
977.388074,0.611523,206740.000000,50571.000000
981.196650,0.612956,217308.000000,52981.000000
985.001012,0.618634,228047.000000,54877.000000
988.801159,0.621855,238038.000000,56858.000000
992.597092,0.623981,247444.000000,58816.000000
996.388810,0.625890,256381.000000,60673.000000
1000.176314,0.628432,264317.000000,62186.000000
1005.219764,0.630613,273187.000000,63951.000000
1008.997434,0.632571,278661.000000,64939.000000
1012.770890,0.634404,283378.000000,65760.000000
1016.540131,0.634562,286796.000000,66529.000000
1020.305158,0.636121,289545.000000,66926.000000
1024.065971,0.636572,290768.000000,67139.000000
1027.822569,0.636757,291659.000000,67316.000000
1031.574953,0.637837,291738.000000,67167.000000
