Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:38:12,,
Header Version:,1,,
System Temp (C):,35.68,,
Detector Temp (C):,30.88,,
Humidity (%):,24.93,,
Lamp PD:,3713,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.722,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.679024,33639.000000,7044.000000
905.521072,0.700028,38213.000000,7624.000000
909.408318,0.699196,42332.000000,8462.000000
913.291349,0.711403,46950.000000,9125.000000
917.170165,0.699432,51785.000000,10346.000000
921.044767,0.692954,58287.000000,11820.000000
924.915155,0.682893,66979.000000,13901.000000
930.069116,0.692225,82100.000000,16677.000000
933.929670,0.703329,94317.000000,18675.000000
937.786010,0.716827,106099.000000,20365.000000
941.638135,0.720668,116718.000000,22206.000000
945.486046,0.725012,125961.000000,23726.000000
949.329742,0.731268,134812.000000,25030.000000
953.169224,0.732985,143641.000000,26564.000000
957.004491,0.734655,152380.000000,28072.000000
960.835544,0.736882,161986.000000,29689.000000
965.937059,0.737435,175129.000000,32057.000000
969.758279,0.740534,185335.000000,33684.000000
973.575284,0.739834,195809.000000,35645.000000
977.388074,0.741243,206740.000000,37513.000000
981.196650,0.740248,217308.000000,39521.000000
985.001012,0.742737,228047.000000,41237.000000
988.801159,0.743734,238038.000000,42945.000000
992.597092,0.743033,247444.000000,44714.000000
996.388810,0.743005,256381.000000,46332.000000
1000.176314,0.743334,264317.000000,47730.000000
1005.219764,0.743164,273187.000000,49351.000000
1008.997434,0.744061,278661.000000,50236.000000
1012.770890,0.742596,283378.000000,51259.000000
1016.540131,0.742356,286796.000000,51906.000000
1020.305158,0.742733,289545.000000,52358.000000
1024.065971,0.741555,290768.000000,52722.000000
1027.822569,0.740436,291659.000000,53020.000000
1031.574953,0.740316,291738.000000,53049.000000
1035.323122,0.739452,291180.000000,53053.000000
1040.314125,0.737311,289060.000000,52927.000000
1044.052461,0.735327,287270.000000,52840.000000
1047.786582,0.736515,285260.000000,52327.000000
1051.516489,0.733173,282938.000000,52302.000000
1055.242181,0.733896,280933.000000,51845.000000
1058.963659,0.730703,278805.000000,51832.000000
