Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:47:42,,
Header Version:,1,,
System Temp (C):,36.94,,
Detector Temp (C):,32.72,,
Humidity (%):,21.09,,
Lamp PD:,3712,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.720,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.534687,33639.000000,9821.000000
905.521072,0.550560,38213.000000,10756.000000
909.408318,0.557371,42332.000000,11730.000000
913.291349,0.569099,46950.000000,12663.000000
917.170165,0.557625,51785.000000,14341.000000
921.044767,0.560611,58287.000000,16031.000000
924.915155,0.555912,66979.000000,18622.000000
930.069116,0.568029,82100.000000,22198.000000
933.929670,0.581173,94317.000000,24741.000000
937.786010,0.593127,106099.000000,27076.000000
941.638135,0.603887,116718.000000,29057.000000
945.486046,0.612645,125961.000000,30732.000000
949.329742,0.619814,134812.000000,32353.000000
953.169224,0.626848,143641.000000,33918.000000
957.004491,0.633594,152380.000000,35427.000000
960.835544,0.639238,161986.000000,37174.000000
965.937059,0.647586,175129.000000,39425.000000
969.758279,0.654994,185335.000000,41017.000000
973.575284,0.660927,195809.000000,42747.000000
977.388074,0.666245,206740.000000,44584.000000
981.196650,0.670960,217308.000000,46357.000000
985.001012,0.677390,228047.000000,47933.000000
988.801159,0.682436,238038.000000,49455.000000
992.597092,0.687126,247444.000000,50857.000000
996.388810,0.690459,256381.000000,52291.000000
1000.176314,0.693033,264317.000000,53591.000000
1005.219764,0.697054,273187.000000,54879.000000
1008.997434,0.701120,278661.000000,55457.000000
1012.770890,0.702576,283378.000000,56207.000000
1016.540131,0.703967,286796.000000,56703.000000
1020.305158,0.707788,289545.000000,56745.000000
1024.065971,0.709061,290768.000000,56818.000000
1027.822569,0.709901,291659.000000,56882.000000
1031.574953,0.710859,291738.000000,56772.000000
1035.323122,0.712821,291180.000000,56408.000000
1040.314125,0.712443,289060.000000,56046.000000
1044.052461,0.710056,287270.000000,56006.000000
1047.786582,0.710682,285260.000000,55534.000000
1051.516489,0.708801,282938.000000,55321.000000
1055.242181,0.708746,280933.000000,54936.000000
1058.963659,0.708585,278805.000000,54540.000000
1062.680922,0.705749,276533.000000,54450.000000
1066.393971,0.704548,275025.000000,54303.000000
1070.102806,0.702608,273940.000000,54331.000000
1075.041363,0.699839,272610.000000,54413.000000
1078.740364,0.696730,271864.000000,54654.000000
1082.435151,0.694285,271322.000000,54853.000000
1086.125723,0.690913,271668.000000,55351.000000
1089.812080,0.687923,272144.000000,55831.000000
1093.494224,0.685121,273135.000000,56397.000000
1097.172153,0.681240,273441.000000,56967.000000
1100.845867,0.678175,274759.000000,57647.000000
1104.515367,0.675654,276154.000000,58277.000000
1109.401478,0.672748,278191.000000,59101.000000
1113.061144,0.670673,279666.000000,59699.000000
1116.716596,0.669158,281465.000000,60293.000000
1120.367833,0.666763,283330.000000,61028.000000
1124.014856,0.666219,285720.000000,61620.000000
1127.657665,0.666784,287805.000000,61989.000000
1131.296259,0.666143,290051.000000,62565.000000
1134.930639,0.668559,292331.000000,62707.000000
1138.560804,0.670835,294917.000000,62931.000000
1143.394469,0.675620,298293.000000,62954.000000
1147.014801,0.680074,300985.000000,62874.000000
1150.630918,0.683053,304257.000000,63123.000000
1154.242821,0.686158,307712.000000,63385.000000
1157.850509,0.690142,310881.000000,63453.000000
1161.453983,0.690860,314276.000000,64040.000000
1165.053242,0.691424,318257.000000,64767.000000
1168.648287,0.693368,322819.000000,65402.000000
1172.239118,0.693950,326850.000000,66130.000000
1177.020337,0.696939,332795.000000,66871.000000
1180.601334,0.698934,338252.000000,67656.000000
1184.178116,0.700832,344529.000000,68611.000000
1187.750684,0.704571,351023.000000,69305.000000
1191.319038,0.708564,357082.000000,69856.000000
1194.883177,0.710756,364643.000000,70976.000000
1198.443102,0.712645,372656.000000,72221.000000
1201.998812,0.715236,379916.000000,73190.000000
1205.550308,0.717166,387104.000000,74244.000000
1210.279081,0.716448,398358.000000,76529.000000
1213.820743,0.713440,406330.000000,78603.000000
