Method:,Hadamard 1,,
Host Date-Time:,28/2/20 @ 20:40:53,,
Header Version:,1,,
System Temp (C):,36.25,,
Detector Temp (C):,31.27,,
Humidity (%):,23.18,,
Lamp PD:,3715,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.717,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.453565,33639.000000,11838.000000
905.521072,0.475510,38213.000000,12785.000000
909.408318,0.474931,42332.000000,14182.000000
913.291349,0.485754,46950.000000,15342.000000
917.170165,0.475706,51785.000000,17318.000000
921.044767,0.470797,58287.000000,19714.000000
924.915155,0.462684,66979.000000,23081.000000
930.069116,0.469082,82100.000000,27878.000000
933.929670,0.479768,94317.000000,31248.000000
937.786010,0.492346,106099.000000,34148.000000
941.638135,0.499711,116718.000000,36934.000000
945.486046,0.504288,125961.000000,39441.000000
949.329742,0.508854,134812.000000,41771.000000
953.169224,0.513490,143641.000000,44034.000000
957.004491,0.514868,152380.000000,46565.000000
960.835544,0.518529,161986.000000,49085.000000
965.937059,0.522422,175129.000000,52594.000000
969.758279,0.526774,185335.000000,55104.000000
973.575284,0.526619,195809.000000,58239.000000
977.388074,0.530914,206740.000000,60885.000000
981.196650,0.533660,217308.000000,63594.000000
985.001012,0.537442,228047.000000,66158.000000
988.801159,0.539898,238038.000000,68667.000000
992.597092,0.542066,247444.000000,71025.000000
996.388810,0.544327,256381.000000,73208.000000
1000.176314,0.545105,264317.000000,75339.000000
1005.219764,0.547843,273187.000000,77378.000000
1008.997434,0.548561,278661.000000,78798.000000
1012.770890,0.550064,283378.000000,79855.000000
1016.540131,0.550630,286796.000000,80713.000000
1020.305158,0.551156,289545.000000,81388.000000
