Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 16:10:51,,
Header Version:,1,,
System Temp (C):,36.82,,
Detector Temp (C):,32.45,,
Humidity (%):,23.2,,
Lamp PD:,3708,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.717,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.521105,33639.000000,10133.000000
905.521072,0.541292,38213.000000,10988.000000
909.408318,0.532897,42332.000000,12410.000000
913.291349,0.541785,46950.000000,13485.000000
917.170165,0.543239,51785.000000,14824.000000
921.044767,0.534153,58287.000000,17038.000000
924.915155,0.525169,66979.000000,19988.000000
930.069116,0.533210,82100.000000,24051.000000
933.929670,0.542214,94317.000000,27063.000000
937.786010,0.555286,106099.000000,29541.000000
941.638135,0.561039,116718.000000,32070.000000
945.486046,0.566540,125961.000000,34174.000000
949.329742,0.571260,134812.000000,36180.000000
953.169224,0.574931,143641.000000,38225.000000
957.004491,0.575677,152380.000000,40481.000000
960.835544,0.579803,161986.000000,42626.000000
965.937059,0.581441,175129.000000,45911.000000
969.758279,0.585542,185335.000000,48130.000000
973.575284,0.584245,195809.000000,51002.000000
977.388074,0.587526,206740.000000,53444.000000
981.196650,0.588818,217308.000000,56009.000000
985.001012,0.591091,228047.000000,58470.000000
988.801159,0.592264,238038.000000,60867.000000
992.597092,0.593406,247444.000000,63106.000000
996.388810,0.594192,256381.000000,65267.000000
1000.176314,0.593994,264317.000000,67318.000000
1005.219764,0.596103,273187.000000,69240.000000
1008.997434,0.596715,278661.000000,70528.000000
1012.770890,0.597138,283378.000000,71652.000000
1016.540131,0.596840,286796.000000,72566.000000
1020.305158,0.597258,289545.000000,73191.000000
1024.065971,0.596757,290768.000000,73585.000000
1027.822569,0.596401,291659.000000,73871.000000
1031.574953,0.596737,291738.000000,73834.000000
1035.323122,0.596176,291180.000000,73788.000000
1040.314125,0.594547,289060.000000,73526.000000
1044.052461,0.594005,287270.000000,73162.000000
1047.786582,0.594586,285260.000000,72553.000000
1051.516489,0.592649,282938.000000,72284.000000
1055.242181,0.591656,280933.000000,71936.000000
1058.963659,0.590806,278805.000000,71531.000000
1062.680922,0.588037,276533.000000,71402.000000
1066.393971,0.587564,275025.000000,71090.000000
1070.102806,0.585987,273940.000000,71067.000000
1075.041363,0.584859,272610.000000,70906.000000
1078.740364,0.582812,271864.000000,71046.000000
1082.435151,0.580286,271322.000000,71318.000000
1086.125723,0.579799,271668.000000,71489.000000
1089.812080,0.578318,272144.000000,71859.000000
