Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 16:2:4,,
Header Version:,1,,
System Temp (C):,35.01,,
Detector Temp (C):,30.6,,
Humidity (%):,25.93,,
Lamp PD:,3709,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.727,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.454593,33639.000000,11810.000000
905.521072,0.474798,38213.000000,12806.000000
909.408318,0.476803,42332.000000,14121.000000
913.291349,0.483213,46950.000000,15432.000000
917.170165,0.479611,51785.000000,17163.000000
921.044767,0.470973,58287.000000,19706.000000
924.915155,0.464929,66979.000000,22962.000000
930.069116,0.476704,82100.000000,27393.000000
933.929670,0.491402,94317.000000,30422.000000
937.786010,0.505831,106099.000000,33104.000000
941.638135,0.517754,116718.000000,35431.000000
945.486046,0.524540,125961.000000,37644.000000
949.329742,0.533671,134812.000000,39451.000000
953.169224,0.540257,143641.000000,41402.000000
957.004491,0.544668,152380.000000,43477.000000
960.835544,0.549609,161986.000000,45695.000000
965.937059,0.557419,175129.000000,48522.000000
969.758279,0.563309,185335.000000,50658.000000
973.575284,0.567327,195809.000000,53028.000000
977.388074,0.572268,206740.000000,55355.000000
981.196650,0.576427,217308.000000,57630.000000
985.001012,0.580134,228047.000000,59964.000000
988.801159,0.584178,238038.000000,62011.000000
992.597092,0.586978,247444.000000,64047.000000
996.388810,0.589836,256381.000000,65925.000000
1000.176314,0.591408,264317.000000,67720.000000
1005.219764,0.595501,273187.000000,69336.000000
1008.997434,0.596943,278661.000000,70491.000000
1012.770890,0.597787,283378.000000,71545.000000
1016.540131,0.597073,286796.000000,72527.000000
1020.305158,0.599209,289545.000000,72863.000000
1024.065971,0.599404,290768.000000,73138.000000
1027.822569,0.599718,291659.000000,73309.000000
1031.574953,0.599676,291738.000000,73336.000000
1035.323122,0.600108,291180.000000,73123.000000
1040.314125,0.599645,289060.000000,72668.000000
1044.052461,0.598954,287270.000000,72333.000000
1047.786582,0.598820,285260.000000,71849.000000
1051.516489,0.597847,282938.000000,71424.000000
1055.242181,0.596263,280933.000000,71177.000000
1058.963659,0.595500,278805.000000,70762.000000
1062.680922,0.593847,276533.000000,70453.000000
1066.393971,0.592392,275025.000000,70304.000000
1070.102806,0.590515,273940.000000,70330.000000
1075.041363,0.588148,272610.000000,70371.000000
1078.740364,0.586286,271864.000000,70480.000000
1082.435151,0.584287,271322.000000,70664.000000
1086.125723,0.582285,271668.000000,71081.000000
1089.812080,0.580195,272144.000000,71549.000000
1093.494224,0.578719,273135.000000,72054.000000
1097.172153,0.576328,273441.000000,72533.000000
1100.845867,0.573966,274759.000000,73280.000000
1104.515367,0.573230,276154.000000,73777.000000
1109.401478,0.571040,278191.000000,74697.000000
1113.061144,0.571561,279666.000000,75003.000000
1116.716596,0.571178,281465.000000,75552.000000
1120.367833,0.570537,283330.000000,76165.000000
1124.014856,0.572291,285720.000000,76498.000000
1127.657665,0.573336,287805.000000,76871.000000
1131.296259,0.576001,290051.000000,76997.000000
1134.930639,0.579864,292331.000000,76915.000000
1138.560804,0.585613,294917.000000,76575.000000
1143.394469,0.594264,298293.000000,75924.000000
1147.014801,0.599036,300985.000000,75772.000000
1150.630918,0.604702,304257.000000,75603.000000
1154.242821,0.608968,307712.000000,75714.000000
1157.850509,0.611918,310881.000000,75976.000000
1161.453983,0.614218,314276.000000,76400.000000
1165.053242,0.615690,318257.000000,77106.000000
1168.648287,0.617305,322819.000000,77921.000000
1172.239118,0.617872,326850.000000,78791.000000
1177.020337,0.621220,332795.000000,79608.000000
1180.601334,0.622561,338252.000000,80664.000000
1184.178116,0.624786,344529.000000,81741.000000
1187.750684,0.628550,351023.000000,82563.000000
1191.319038,0.630853,357082.000000,83544.000000
1194.883177,0.633713,364643.000000,84753.000000
1198.443102,0.635750,372656.000000,86210.000000
1201.998812,0.637546,379916.000000,87527.000000
1205.550308,0.638325,387104.000000,89023.000000
1210.279081,0.638625,398358.000000,91548.000000
1213.820743,0.636375,406330.000000,93865.000000
1217.358191,0.632815,414296.000000,96493.000000
1220.891424,0.628843,423100.000000,99449.000000
1224.420443,0.624413,431276.000000,102410.000000
1227.945248,0.622267,440314.000000,105074.000000
1231.465838,0.620116,449218.000000,107731.000000
1234.982214,0.618371,457807.000000,110233.000000
1238.494375,0.617287,468067.000000,112985.000000
1243.170701,0.616791,479193.000000,115803.000000
1246.673029,0.615987,486758.000000,117849.000000
1250.171142,0.616466,495180.000000,119756.000000
1253.665041,0.616050,503918.000000,121986.000000
1257.154726,0.614261,511654.000000,124370.000000
1260.640196,0.612206,521154.000000,127280.000000
1264.121451,0.611468,534098.000000,130663.000000
1267.598492,0.612859,549524.000000,134007.000000
1271.071319,0.613801,564969.000000,137475.000000
