Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 16:12:19,,
Header Version:,1,,
System Temp (C):,37.03,,
Detector Temp (C):,32.62,,
Humidity (%):,22.57,,
Lamp PD:,3707,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.718,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.539311,33639.000000,9717.000000
905.521072,0.556660,38213.000000,10606.000000
909.408318,0.552072,42332.000000,11874.000000
913.291349,0.563274,46950.000000,12834.000000
917.170165,0.557352,51785.000000,14350.000000
921.044767,0.553731,58287.000000,16287.000000
924.915155,0.547276,66979.000000,18996.000000
930.069116,0.552200,82100.000000,23022.000000
933.929670,0.563678,94317.000000,25758.000000
937.786010,0.577330,106099.000000,28079.000000
941.638135,0.585251,116718.000000,30331.000000
945.486046,0.592583,125961.000000,32185.000000
949.329742,0.600067,134812.000000,33858.000000
953.169224,0.606549,143641.000000,35541.000000
957.004491,0.609627,152380.000000,37437.000000
960.835544,0.614125,161986.000000,39387.000000
965.937059,0.621465,175129.000000,41869.000000
969.758279,0.625256,185335.000000,43924.000000
973.575284,0.626730,195809.000000,46249.000000
977.388074,0.631954,206740.000000,48247.000000
981.196650,0.635007,217308.000000,50358.000000
985.001012,0.639033,228047.000000,52359.000000
988.801159,0.640250,238038.000000,54500.000000
992.597092,0.642606,247444.000000,56347.000000
996.388810,0.644740,256381.000000,58096.000000
1000.176314,0.647039,264317.000000,59578.000000
1005.219764,0.647719,273187.000000,61481.000000
