Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 16:6:24,,
Header Version:,1,,
System Temp (C):,36.06,,
Detector Temp (C):,31.55,,
Humidity (%):,24.3,,
Lamp PD:,3709,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.704,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.671991,33639.000000,7159.000000
905.521072,0.688117,38213.000000,7836.000000
909.408318,0.683917,42332.000000,8765.000000
913.291349,0.692725,46950.000000,9526.000000
917.170165,0.682836,51785.000000,10749.000000
921.044767,0.673448,58287.000000,12363.000000
924.915155,0.661526,66979.000000,14602.000000
930.069116,0.669744,82100.000000,17563.000000
933.929670,0.681625,94317.000000,19632.000000
937.786010,0.692647,106099.000000,21531.000000
941.638135,0.696088,116718.000000,23499.000000
945.486046,0.701099,125961.000000,25069.000000
949.329742,0.707516,134812.000000,26437.000000
953.169224,0.711487,143641.000000,27912.000000
957.004491,0.710596,152380.000000,29671.000000
960.835544,0.712147,161986.000000,31429.000000
965.937059,0.718819,175129.000000,33461.000000
969.758279,0.723257,185335.000000,35051.000000
973.575284,0.723913,195809.000000,36976.000000
977.388074,0.728792,206740.000000,38604.000000
981.196650,0.731168,217308.000000,40356.000000
985.001012,0.736464,228047.000000,41837.000000
988.801159,0.740058,238038.000000,43310.000000
992.597092,0.742470,247444.000000,44772.000000
996.388810,0.745072,256381.000000,46112.000000
1000.176314,0.747962,264317.000000,47224.000000
1005.219764,0.749931,273187.000000,48588.000000
1008.997434,0.753032,278661.000000,49209.000000
1012.770890,0.755617,283378.000000,49745.000000
1016.540131,0.757224,286796.000000,50159.000000
1020.305158,0.758072,289545.000000,50541.000000
1024.065971,0.760204,290768.000000,50506.000000
1027.822569,0.762367,291659.000000,50409.000000
1031.574953,0.761435,291738.000000,50531.000000
1035.323122,0.762663,291180.000000,50292.000000
1040.314125,0.763384,289060.000000,49843.000000
1044.052461,0.763825,287270.000000,49484.000000
1047.786582,0.764009,285260.000000,49117.000000
1051.516489,0.765252,282938.000000,48578.000000
1055.242181,0.764054,280933.000000,48367.000000
1058.963659,0.763481,278805.000000,48064.000000
1062.680922,0.763083,276533.000000,47716.000000
1066.393971,0.763173,275025.000000,47446.000000
1070.102806,0.763392,273940.000000,47235.000000
1075.041363,0.762014,272610.000000,47155.000000
1078.740364,0.760686,271864.000000,47170.000000
1082.435151,0.759377,271322.000000,47218.000000
1086.125723,0.758948,271668.000000,47325.000000
1089.812080,0.759250,272144.000000,47375.000000
1093.494224,0.759327,273135.000000,47539.000000
1097.172153,0.757827,273441.000000,47757.000000
1100.845867,0.755896,274759.000000,48201.000000
1104.515367,0.757222,276154.000000,48298.000000
1109.401478,0.756520,278191.000000,48733.000000
1113.061144,0.755576,279666.000000,49098.000000
1116.716596,0.756260,281465.000000,49336.000000
1120.367833,0.755709,283330.000000,49726.000000
1124.014856,0.755401,285720.000000,50181.000000
1127.657665,0.755085,287805.000000,50584.000000
1131.296259,0.756500,290051.000000,50813.000000
1134.930639,0.757420,292331.000000,51104.000000
1138.560804,0.761347,294917.000000,51092.000000
1143.394469,0.766129,298293.000000,51111.000000
1147.014801,0.769020,300985.000000,51230.000000
1150.630918,0.772658,304257.000000,51355.000000
1154.242821,0.774906,307712.000000,51670.000000
1157.850509,0.777134,310881.000000,51935.000000
1161.453983,0.777831,314276.000000,52418.000000
1165.053242,0.778183,318257.000000,53039.000000
1168.648287,0.779001,322819.000000,53698.000000
1172.239118,0.778742,326850.000000,54401.000000
1177.020337,0.781317,332795.000000,55063.000000
1180.601334,0.781363,338252.000000,55960.000000
1184.178116,0.782465,344529.000000,56854.000000
1187.750684,0.784243,351023.000000,57689.000000
1191.319038,0.786846,357082.000000,58334.000000
1194.883177,0.787899,364643.000000,59425.000000
1198.443102,0.789337,372656.000000,60530.000000
1201.998812,0.791420,379916.000000,61414.000000
1205.550308,0.790505,387104.000000,62708.000000
1210.279081,0.790297,398358.000000,64562.000000
1213.820743,0.787215,406330.000000,66323.000000
1217.358191,0.783049,414296.000000,68275.000000
1220.891424,0.778642,423100.000000,70437.000000
1224.420443,0.773747,431276.000000,72612.000000
1227.945248,0.770942,440314.000000,74614.000000
1231.465838,0.767532,449218.000000,76723.000000
1234.982214,0.765232,457807.000000,78605.000000
1238.494375,0.765484,468067.000000,80320.000000
1243.170701,0.763294,479193.000000,82645.000000
1246.673029,0.763230,486758.000000,83962.000000
1250.171142,0.763097,495180.000000,85441.000000
1253.665041,0.762566,503918.000000,87055.000000
1257.154726,0.760485,511654.000000,88816.000000
1260.640196,0.758168,521154.000000,90949.000000
1264.121451,0.756781,534098.000000,93506.000000
1267.598492,0.757426,549524.000000,96064.000000
1271.071319,0.758518,564969.000000,98516.000000
1275.695199,0.758961,583497.000000,101643.000000
1279.158192,0.760723,596509.000000,103489.000000
