Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 16:23:28,,
Header Version:,1,,
System Temp (C):,37.56,,
Detector Temp (C):,33.97,,
Humidity (%):,21.46,,
Lamp PD:,3706,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.663,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.378642,33639.000000,14067.000000
905.521072,0.393086,38213.000000,15457.000000
909.408318,0.396859,42332.000000,16975.000000
913.291349,0.404323,46950.000000,18506.000000
917.170165,0.398800,51785.000000,20673.000000
921.044767,0.393950,58287.000000,23530.000000
924.915155,0.386306,66979.000000,27519.000000
930.069116,0.394135,82100.000000,33129.000000
933.929670,0.403954,94317.000000,37208.000000
937.786010,0.416597,106099.000000,40655.000000
941.638135,0.424673,116718.000000,43900.000000
945.486046,0.429814,125961.000000,46819.000000
949.329742,0.435001,134812.000000,49514.000000
953.169224,0.440307,143641.000000,52116.000000
957.004491,0.443498,152380.000000,54882.000000
960.835544,0.446506,161986.000000,57939.000000
965.937059,0.451198,175129.000000,61967.000000
969.758279,0.454910,185335.000000,65020.000000
973.575284,0.455863,195809.000000,68544.000000
977.388074,0.461155,206740.000000,71494.000000
981.196650,0.462669,217308.000000,74887.000000
985.001012,0.466169,228047.000000,77957.000000
988.801159,0.468151,238038.000000,81002.000000
992.597092,0.471489,247444.000000,83558.000000
996.388810,0.472483,256381.000000,86378.000000
1000.176314,0.473614,264317.000000,88820.000000
1005.219764,0.475034,273187.000000,91501.000000
1008.997434,0.477093,278661.000000,92893.000000
1012.770890,0.477072,283378.000000,94470.000000
1016.540131,0.477056,286796.000000,95613.000000
1020.305158,0.478509,289545.000000,96207.000000
1024.065971,0.478089,290768.000000,96707.000000
1027.822569,0.478247,291659.000000,96968.000000
1031.574953,0.478575,291738.000000,96921.000000
1035.323122,0.479005,291180.000000,96640.000000
1040.314125,0.477619,289060.000000,96243.000000
1044.052461,0.477660,287270.000000,95638.000000
1047.786582,0.477664,285260.000000,94968.000000
1051.516489,0.476531,282938.000000,94441.000000
1055.242181,0.475544,280933.000000,93985.000000
1058.963659,0.474893,278805.000000,93413.000000
1062.680922,0.473502,276533.000000,92949.000000
1066.393971,0.472475,275025.000000,92661.000000
1070.102806,0.471373,273940.000000,92530.000000
1075.041363,0.469734,272610.000000,92429.000000
1078.740364,0.468586,271864.000000,92420.000000
1082.435151,0.466419,271322.000000,92697.000000
1086.125723,0.465471,271668.000000,93018.000000
1089.812080,0.463690,272144.000000,93564.000000
1093.494224,0.463601,273135.000000,93924.000000
1097.172153,0.462136,273441.000000,94347.000000
1100.845867,0.460520,274759.000000,95155.000000
1104.515367,0.460830,276154.000000,95570.000000
1109.401478,0.460839,278191.000000,96273.000000
