Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 16:21:11,,
Header Version:,1,,
System Temp (C):,37.21,,
Detector Temp (C):,33.55,,
Humidity (%):,21.69,,
Lamp PD:,3707,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.718,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.432267,33639.000000,12433.000000
905.521072,0.451331,38213.000000,13517.000000
909.408318,0.457141,42332.000000,14775.000000
913.291349,0.465296,46950.000000,16082.000000
917.170165,0.460721,51785.000000,17926.000000
921.044767,0.455707,58287.000000,20411.000000
924.915155,0.450257,66979.000000,23751.000000
930.069116,0.461025,82100.000000,28400.000000
933.929670,0.476210,94317.000000,31505.000000
937.786010,0.488875,106099.000000,34422.000000
941.638135,0.498455,116718.000000,37041.000000
945.486046,0.508604,125961.000000,39051.000000
949.329742,0.517740,134812.000000,40925.000000
953.169224,0.526109,143641.000000,42773.000000
957.004491,0.530817,152380.000000,44886.000000
960.835544,0.537370,161986.000000,47001.000000
965.937059,0.544562,175129.000000,49980.000000
969.758279,0.549813,185335.000000,52257.000000
973.575284,0.551691,195809.000000,54972.000000
977.388074,0.557247,206740.000000,57303.000000
981.196650,0.561058,217308.000000,59706.000000
985.001012,0.563160,228047.000000,62354.000000
988.801159,0.565339,238038.000000,64760.000000
992.597092,0.568544,247444.000000,66824.000000
996.388810,0.569376,256381.000000,69105.000000
1000.176314,0.570616,264317.000000,71041.000000
1005.219764,0.570362,273187.000000,73468.000000
1008.997434,0.571546,278661.000000,74736.000000
1012.770890,0.571553,283378.000000,76000.000000
1016.540131,0.570502,286796.000000,77103.000000
1020.305158,0.571099,289545.000000,77735.000000
1024.065971,0.570990,290768.000000,78083.000000
1027.822569,0.570487,291659.000000,78413.000000
1031.574953,0.568544,291738.000000,78786.000000
1035.323122,0.568678,291180.000000,78611.000000
1040.314125,0.567670,289060.000000,78220.000000
1044.052461,0.566335,287270.000000,77975.000000
1047.786582,0.565676,285260.000000,77547.000000
1051.516489,0.563416,282938.000000,77317.000000
1055.242181,0.562914,280933.000000,76858.000000
1058.963659,0.561497,278805.000000,76525.000000
1062.680922,0.559610,276533.000000,76232.000000
1066.393971,0.557691,275025.000000,76152.000000
1070.102806,0.556665,273940.000000,76031.000000
1075.041363,0.554437,272610.000000,76051.000000
1078.740364,0.551981,271864.000000,76273.000000
1082.435151,0.550221,271322.000000,76430.000000
1086.125723,0.549696,271668.000000,76620.000000
1089.812080,0.547570,272144.000000,77131.000000
1093.494224,0.546516,273135.000000,77600.000000
1097.172153,0.544179,273441.000000,78106.000000
1100.845867,0.543435,274759.000000,78617.000000
1104.515367,0.543074,276154.000000,79082.000000
1109.401478,0.542487,278191.000000,79773.000000
1113.061144,0.542519,279666.000000,80190.000000
1116.716596,0.543499,281465.000000,80524.000000
1120.367833,0.543593,283330.000000,81040.000000
1124.014856,0.547182,285720.000000,81051.000000
1127.657665,0.550013,287805.000000,81112.000000
1131.296259,0.554714,290051.000000,80865.000000
1134.930639,0.561858,292331.000000,80171.000000
1138.560804,0.570728,294917.000000,79245.000000
1143.394469,0.582877,298293.000000,77941.000000
1147.014801,0.591057,300985.000000,77177.000000
1150.630918,0.598672,304257.000000,76660.000000
1154.242821,0.603208,307712.000000,76725.000000
1157.850509,0.608536,310881.000000,76570.000000
1161.453983,0.611379,314276.000000,76901.000000
1165.053242,0.612922,318257.000000,77599.000000
1168.648287,0.614416,322819.000000,78441.000000
1172.239118,0.616342,326850.000000,79069.000000
1177.020337,0.620354,332795.000000,79767.000000
1180.601334,0.622055,338252.000000,80758.000000
1184.178116,0.624297,344529.000000,81833.000000
1187.750684,0.628503,351023.000000,82572.000000
1191.319038,0.631076,357082.000000,83501.000000
1194.883177,0.633764,364643.000000,84743.000000
1198.443102,0.636628,372656.000000,86036.000000
1201.998812,0.637853,379916.000000,87465.000000
1205.550308,0.637799,387104.000000,89131.000000
1210.279081,0.636868,398358.000000,91919.000000
