Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 16:21:56,,
Header Version:,1,,
System Temp (C):,37.33,,
Detector Temp (C):,33.77,,
Humidity (%):,22.24,,
Lamp PD:,3706,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.720,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.343175,33639.000000,15264.000000
905.521072,0.361136,38213.000000,16637.000000
909.408318,0.364075,42332.000000,18306.000000
913.291349,0.374116,46950.000000,19839.000000
917.170165,0.370874,51785.000000,22046.000000
921.044767,0.363809,58287.000000,25221.000000
924.915155,0.358715,66979.000000,29324.000000
930.069116,0.366224,82100.000000,35328.000000
933.929670,0.378697,94317.000000,39436.000000
937.786010,0.391012,106099.000000,43122.000000
941.638135,0.399797,116718.000000,46488.000000
945.486046,0.406342,125961.000000,49419.000000
949.329742,0.411476,134812.000000,52270.000000
953.169224,0.417366,143641.000000,54943.000000
957.004491,0.420017,152380.000000,57931.000000
960.835544,0.422960,161986.000000,61167.000000
965.937059,0.428751,175129.000000,65254.000000
969.758279,0.434109,185335.000000,68210.000000
973.575284,0.436459,195809.000000,71676.000000
977.388074,0.441198,206740.000000,74856.000000
981.196650,0.443497,217308.000000,78267.000000
985.001012,0.449132,228047.000000,81076.000000
988.801159,0.452072,238038.000000,84057.000000
992.597092,0.454008,247444.000000,86990.000000
996.388810,0.456980,256381.000000,89517.000000
1000.176314,0.459103,264317.000000,91838.000000
1005.219764,0.461442,273187.000000,94410.000000
1008.997434,0.463783,278661.000000,95784.000000
1012.770890,0.465272,283378.000000,97072.000000
1016.540131,0.466258,286796.000000,98020.000000
1020.305158,0.467822,289545.000000,98604.000000
1024.065971,0.468508,290768.000000,98864.000000
