Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 16:1:6,,
Header Version:,1,,
System Temp (C):,34.78,,
Detector Temp (C):,30.47,,
Humidity (%):,26.22,,
Lamp PD:,3711,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.699,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.400549,33639.000000,13375.000000
905.521072,0.413537,38213.000000,14746.000000
909.408318,0.420518,42332.000000,16075.000000
913.291349,0.425285,46950.000000,17634.000000
917.170165,0.418439,51785.000000,19759.000000
921.044767,0.415925,58287.000000,22369.000000
924.915155,0.408550,66979.000000,26145.000000
930.069116,0.417469,82100.000000,31396.000000
933.929670,0.432188,94317.000000,34866.000000
937.786010,0.445665,106099.000000,38023.000000
941.638135,0.456446,116718.000000,40803.000000
945.486046,0.464652,125961.000000,43210.000000
949.329742,0.474830,134812.000000,45175.000000
953.169224,0.482950,143641.000000,47242.000000
957.004491,0.487727,152380.000000,49568.000000
960.835544,0.494059,161986.000000,51930.000000
965.937059,0.502214,175129.000000,55099.000000
969.758279,0.508056,185335.000000,57531.000000
973.575284,0.510415,195809.000000,60453.000000
977.388074,0.515643,206740.000000,63064.000000
981.196650,0.518962,217308.000000,65783.000000
985.001012,0.523699,228047.000000,68285.000000
988.801159,0.526951,238038.000000,70745.000000
992.597092,0.529863,247444.000000,73049.000000
996.388810,0.531365,256381.000000,75426.000000
1000.176314,0.532465,264317.000000,77564.000000
1005.219764,0.534076,273187.000000,79870.000000
1008.997434,0.535504,278661.000000,81203.000000
1012.770890,0.535412,283378.000000,82595.000000
1016.540131,0.534889,286796.000000,83692.000000
1020.305158,0.536517,289545.000000,84178.000000
1024.065971,0.536161,290768.000000,84603.000000
1027.822569,0.535451,291659.000000,85001.000000
1031.574953,0.535656,291738.000000,84984.000000
1035.323122,0.535586,291180.000000,84835.000000
1040.314125,0.533885,289060.000000,84548.000000
1044.052461,0.533505,287270.000000,84098.000000
1047.786582,0.532853,285260.000000,83635.000000
1051.516489,0.532116,282938.000000,83095.000000
1055.242181,0.529886,280933.000000,82931.000000
1058.963659,0.528852,278805.000000,82499.000000
1062.680922,0.527504,276533.000000,82081.000000
1066.393971,0.525876,275025.000000,81940.000000
1070.102806,0.525030,273940.000000,81776.000000
1075.041363,0.522316,272610.000000,81889.000000
1078.740364,0.521487,271864.000000,81821.000000
1082.435151,0.519364,271322.000000,82058.000000
1086.125723,0.518876,271668.000000,82255.000000
1089.812080,0.517109,272144.000000,82735.000000
1093.494224,0.516379,273135.000000,83176.000000
1097.172153,0.515078,273441.000000,83519.000000
1100.845867,0.514497,274759.000000,84034.000000
1104.515367,0.514757,276154.000000,84410.000000
1109.401478,0.514439,278191.000000,85095.000000
1113.061144,0.515004,279666.000000,85435.000000
1116.716596,0.515300,281465.000000,85926.000000
1120.367833,0.516770,283330.000000,86203.000000
1124.014856,0.519724,285720.000000,86341.000000
1127.657665,0.523354,287805.000000,86247.000000
1131.296259,0.528769,290051.000000,85843.000000
1134.930639,0.534738,292331.000000,85337.000000
1138.560804,0.543718,294917.000000,84330.000000
1143.394469,0.555267,298293.000000,83057.000000
1147.014801,0.563747,300985.000000,82186.000000
1150.630918,0.571114,304257.000000,81682.000000
1154.242821,0.577968,307712.000000,81316.000000
1157.850509,0.582402,310881.000000,81319.000000
1161.453983,0.586415,314276.000000,81451.000000
1165.053242,0.589966,318257.000000,81811.000000
1168.648287,0.592205,322819.000000,82557.000000
1172.239118,0.594826,326850.000000,83085.000000
1177.020337,0.598948,332795.000000,83797.000000
1180.601334,0.602296,338252.000000,84517.000000
1184.178116,0.605275,344529.000000,85497.000000
1187.750684,0.609118,351023.000000,86341.000000
1191.319038,0.613059,357082.000000,87038.000000
1194.883177,0.615209,364643.000000,88442.000000
1198.443102,0.617669,372656.000000,89875.000000
1201.998812,0.619093,379916.000000,91326.000000
1205.550308,0.619401,387104.000000,92988.000000
1210.279081,0.619040,398358.000000,95771.000000
1213.820743,0.615615,406330.000000,98461.000000
1217.358191,0.611354,414296.000000,101381.000000
1220.891424,0.607131,423100.000000,104547.000000
1224.420443,0.603173,431276.000000,107543.000000
1227.945248,0.599905,440314.000000,110626.000000
1231.465838,0.597033,449218.000000,113612.000000
1234.982214,0.594670,457807.000000,116416.000000
1238.494375,0.594006,468067.000000,119207.000000
1243.170701,0.592761,479193.000000,122391.000000
1246.673029,0.591628,486758.000000,124648.000000
1250.171142,0.591760,495180.000000,126766.000000
1253.665041,0.591171,503918.000000,129178.000000
1257.154726,0.589747,511654.000000,131592.000000
1260.640196,0.586565,521154.000000,135021.000000
1264.121451,0.585144,534098.000000,138828.000000
1267.598492,0.586111,549524.000000,142520.000000
1271.071319,0.586762,564969.000000,146306.000000
1275.695199,0.588517,583497.000000,150495.000000
1279.158192,0.589707,596509.000000,153430.000000
1282.616970,0.591885,610137.000000,156150.000000
1286.071534,0.593164,621777.000000,158661.000000
1289.521884,0.595470,632911.000000,160647.000000
1292.968020,0.598718,643299.000000,162067.000000
1296.409940,0.602510,653998.000000,163330.000000
1299.847647,0.605926,662535.000000,164166.000000
1303.281139,0.609913,669534.000000,164384.000000
1307.852572,0.616450,680622.000000,164610.000000
1311.276231,0.621638,687613.000000,164326.000000
1314.695675,0.626699,692993.000000,163693.000000
1318.110904,0.632852,697587.000000,162460.000000
1321.521919,0.640517,703545.000000,160981.000000
1324.928720,0.648402,707997.000000,159085.000000
1328.331306,0.655201,710077.000000,157074.000000
1331.729678,0.662772,712333.000000,154850.000000
1335.123835,0.670203,715576.000000,152916.000000
1339.642823,0.680359,717691.000000,149823.000000
1343.027147,0.687132,716977.000000,147358.000000
1346.407256,0.694239,716577.000000,144885.000000
1349.783151,0.701539,716270.000000,142409.000000
1353.154831,0.708143,715315.000000,140073.000000
1356.522297,0.714727,713176.000000,137553.000000
1359.885549,0.721615,710971.000000,134970.000000
1363.244586,0.728920,708733.000000,132301.000000
1366.599408,0.736527,706319.000000,129561.000000
1371.065950,0.750075,701665.000000,124754.000000
1374.410939,0.762622,697460.000000,120475.000000
1377.751713,0.778512,691985.000000,115235.000000
1381.088274,0.795827,686523.000000,109857.000000
1384.420619,0.815710,680381.000000,104002.000000
1387.748751,0.838046,675468.000000,98075.000000
1391.072668,0.861560,671911.000000,92417.000000
1394.392370,0.883432,668723.000000,87461.000000
1397.707858,0.906726,666533.000000,82622.000000
1402.121953,0.936405,665113.000000,77000.000000
1405.427607,0.957367,665198.000000,73381.000000
1408.729047,0.977396,664935.000000,70046.000000
1412.026273,0.995070,664455.000000,67204.000000
1415.319284,1.009839,664556.000000,64967.000000
1418.608081,1.023744,664917.000000,62954.000000
1421.892663,1.035493,665017.000000,61283.000000
1425.173031,1.045652,664617.000000,59830.000000
1428.449184,1.054078,665359.000000,58746.000000
1431.721123,1.061567,666424.000000,57834.000000
1436.077153,1.066337,667155.000000,57265.000000
1439.339258,1.070472,668127.000000,56805.000000
1442.597149,1.074082,668698.000000,56383.000000
1445.850825,1.076371,669264.000000,56134.000000
1449.100287,1.079047,669273.000000,55790.000000
1452.345535,1.079611,669026.000000,55697.000000
1455.586568,1.080427,668707.000000,55566.000000
1458.823387,1.081625,668068.000000,55360.000000
1462.055991,1.079064,666684.000000,55572.000000
1466.359575,1.079232,665382.000000,55442.000000
1469.582345,1.076391,664120.000000,55700.000000
1472.800901,1.073853,662276.000000,55871.000000
1476.015243,1.069698,660385.000000,56247.000000
1479.225371,1.067421,658310.000000,56365.000000
1482.431284,1.063245,656313.000000,56737.000000
1485.632982,1.058236,654173.000000,57208.000000
1488.830466,1.053256,651677.000000,57647.000000
1492.023736,1.049740,649126.000000,57888.000000
1496.274873,1.044730,646247.000000,58300.000000
1499.458309,1.040564,643294.000000,58593.000000
1502.637531,1.035214,640417.000000,59054.000000
1505.812538,1.031966,637303.000000,59208.000000
1508.983330,1.027886,634074.000000,59464.000000
1512.149909,1.022322,630551.000000,59896.000000
1515.312273,1.018991,626579.000000,59977.000000
1518.470422,1.015814,623236.000000,60095.000000
1521.624357,1.013770,619556.000000,60022.000000
1525.823048,1.007808,614520.000000,60357.000000
1528.967149,1.005201,610731.000000,60346.000000
1532.107036,1.003734,606260.000000,60107.000000
1535.242709,1.000217,601771.000000,60147.000000
1538.374167,0.997190,597293.000000,60117.000000
1541.501410,0.994532,592533.000000,60004.000000
1544.624439,0.992086,587614.000000,59842.000000
1547.743254,0.990054,582008.000000,59549.000000
1550.857855,0.986739,576631.000000,59451.000000
1555.004099,0.984228,569180.000000,59023.000000
1558.108866,0.982714,563682.000000,58657.000000
1561.209418,0.980326,557265.000000,58309.000000
1564.305756,0.977587,551187.000000,58038.000000
1567.397879,0.976461,545545.000000,57593.000000
1570.485788,0.973663,539133.000000,57284.000000
1573.569483,0.971585,532551.000000,56856.000000
1576.648963,0.969476,525907.000000,56420.000000
1579.724229,0.967416,518938.000000,55937.000000
1583.818027,0.964898,509333.000000,55221.000000
1586.883459,0.963486,502458.000000,54653.000000
1589.944677,0.959231,494992.000000,54371.000000
1593.001680,0.953953,487232.000000,54173.000000
1596.054469,0.951609,480020.000000,53660.000000
1599.103043,0.949108,472168.000000,53087.000000
1602.147403,0.947664,464280.000000,52374.000000
1605.187548,0.942332,456706.000000,52156.000000
1608.223479,0.938637,448530.000000,51660.000000
1612.264832,0.934856,437205.000000,50796.000000
