Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 16:29:27,,
Header Version:,1,,
System Temp (C):,37.71,,
Detector Temp (C):,34.5,,
Humidity (%):,20.72,,
Lamp PD:,3706,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.726,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.634916,33639.000000,7797.000000
905.521072,0.656435,38213.000000,8429.000000
909.408318,0.652295,42332.000000,9427.000000
913.291349,0.659389,46950.000000,10286.000000
917.170165,0.654754,51785.000000,11467.000000
921.044767,0.644603,58287.000000,13212.000000
924.915155,0.644924,66979.000000,15171.000000
930.069116,0.648088,82100.000000,18461.000000
933.929670,0.657928,94317.000000,20733.000000
937.786010,0.672141,106099.000000,22572.000000
941.638135,0.677334,116718.000000,24536.000000
945.486046,0.682134,125961.000000,26188.000000
949.329742,0.687657,134812.000000,27674.000000
953.169224,0.693132,143641.000000,29117.000000
957.004491,0.695549,152380.000000,30717.000000
960.835544,0.698383,161986.000000,32441.000000
965.937059,0.702241,175129.000000,34763.000000
969.758279,0.706749,185335.000000,36409.000000
973.575284,0.707298,195809.000000,38418.000000
977.388074,0.712746,206740.000000,40057.000000
981.196650,0.714675,217308.000000,41918.000000
985.001012,0.719166,228047.000000,43537.000000
988.801159,0.722065,238038.000000,45142.000000
992.597092,0.723937,247444.000000,46724.000000
996.388810,0.725929,256381.000000,48190.000000
1000.176314,0.728143,264317.000000,49429.000000
1005.219764,0.730656,273187.000000,50793.000000
1008.997434,0.733623,278661.000000,51458.000000
1012.770890,0.734147,283378.000000,52266.000000
1016.540131,0.735639,286796.000000,52715.000000
1020.305158,0.738318,289545.000000,52893.000000
1024.065971,0.739263,290768.000000,53001.000000
1027.822569,0.740075,291659.000000,53064.000000
1031.574953,0.740865,291738.000000,52982.000000
1035.323122,0.741881,291180.000000,52757.000000
1040.314125,0.742877,289060.000000,52253.000000
1044.052461,0.743567,287270.000000,51847.000000
1047.786582,0.743526,285260.000000,51489.000000
1051.516489,0.741904,282938.000000,51261.000000
1055.242181,0.743115,280933.000000,50756.000000
1058.963659,0.742551,278805.000000,50437.000000
1062.680922,0.741918,276533.000000,50099.000000
1066.393971,0.741341,275025.000000,49892.000000
1070.102806,0.740775,273940.000000,49760.000000
1075.041363,0.738749,272610.000000,49750.000000
1078.740364,0.738905,271864.000000,49596.000000
1082.435151,0.737347,271322.000000,49675.000000
1086.125723,0.735842,271668.000000,49911.000000
1089.812080,0.733706,272144.000000,50245.000000
1093.494224,0.731472,273135.000000,50688.000000
1097.172153,0.730940,273441.000000,50807.000000
1100.845867,0.728758,274759.000000,51309.000000
1104.515367,0.727568,276154.000000,51711.000000
1109.401478,0.726390,278191.000000,52234.000000
1113.061144,0.724969,279666.000000,52683.000000
1116.716596,0.725427,281465.000000,52966.000000
1120.367833,0.723120,283330.000000,53601.000000
1124.014856,0.723241,285720.000000,54038.000000
1127.657665,0.723547,287805.000000,54394.000000
1131.296259,0.724439,290051.000000,54706.000000
1134.930639,0.724542,292331.000000,55123.000000
1138.560804,0.726778,294917.000000,55325.000000
1143.394469,0.730084,298293.000000,55534.000000
1147.014801,0.732549,300985.000000,55718.000000
1150.630918,0.735378,304257.000000,55958.000000
1154.242821,0.737860,307712.000000,56271.000000
1157.850509,0.738330,310881.000000,56789.000000
1161.453983,0.740607,314276.000000,57109.000000
1165.053242,0.740302,318257.000000,57873.000000
1168.648287,0.742747,322819.000000,58373.000000
1172.239118,0.741470,326850.000000,59276.000000
1177.020337,0.742804,332795.000000,60169.000000
1180.601334,0.744552,338252.000000,60910.000000
1184.178116,0.746287,344529.000000,61793.000000
1187.750684,0.748373,351023.000000,62656.000000
1191.319038,0.749946,357082.000000,63507.000000
1194.883177,0.752739,364643.000000,64436.000000
1198.443102,0.754265,372656.000000,65621.000000
1201.998812,0.756566,379916.000000,66546.000000
