Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 16:7:53,,
Header Version:,1,,
System Temp (C):,36.24,,
Detector Temp (C):,31.7,,
Humidity (%):,24.02,,
Lamp PD:,3709,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.718,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.461263,33639.000000,11630.000000
905.521072,0.474526,38213.000000,12814.000000
909.408318,0.470938,42332.000000,14313.000000
913.291349,0.481136,46950.000000,15506.000000
917.170165,0.473156,51785.000000,17420.000000
921.044767,0.466981,58287.000000,19888.000000
924.915155,0.460039,66979.000000,23222.000000
930.069116,0.468086,82100.000000,27942.000000
933.929670,0.477246,94317.000000,31430.000000
937.786010,0.489418,106099.000000,34379.000000
941.638135,0.495895,116718.000000,37260.000000
945.486046,0.500735,125961.000000,39765.000000
949.329742,0.503244,134812.000000,42314.000000
953.169224,0.504955,143641.000000,44908.000000
957.004491,0.507626,152380.000000,47348.000000
960.835544,0.510994,161986.000000,49944.000000
965.937059,0.513481,175129.000000,53688.000000
969.758279,0.516455,185335.000000,56429.000000
973.575284,0.517184,195809.000000,59518.000000
977.388074,0.521132,206740.000000,62272.000000
981.196650,0.521186,217308.000000,65447.000000
985.001012,0.524979,228047.000000,68084.000000
988.801159,0.527485,238038.000000,70658.000000
992.597092,0.528420,247444.000000,73292.000000
996.388810,0.529119,256381.000000,75817.000000
1000.176314,0.530906,264317.000000,77843.000000
1005.219764,0.531723,273187.000000,80304.000000
1008.997434,0.533599,278661.000000,81560.000000
1012.770890,0.533990,283378.000000,82866.000000
1016.540131,0.534490,286796.000000,83769.000000
1020.305158,0.535801,289545.000000,84317.000000
1024.065971,0.535925,290768.000000,84649.000000
1027.822569,0.536311,291659.000000,84833.000000
