Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 16:26:3,,
Header Version:,1,,
System Temp (C):,37.83,,
Detector Temp (C):,34.01,,
Humidity (%):,20.93,,
Lamp PD:,3706,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.716,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.558080,33639.000000,9306.000000
905.521072,0.574207,38213.000000,10186.000000
909.408318,0.582992,42332.000000,11058.000000
913.291349,0.590432,46950.000000,12056.000000
917.170165,0.584256,51785.000000,13488.000000
921.044767,0.583300,58287.000000,15215.000000
924.915155,0.576276,66979.000000,17769.000000
930.069116,0.585556,82100.000000,21320.000000
933.929670,0.597940,94317.000000,23804.000000
937.786010,0.608040,106099.000000,26162.000000
941.638135,0.616966,116718.000000,28195.000000
945.486046,0.622869,125961.000000,30017.000000
949.329742,0.630179,134812.000000,31590.000000
953.169224,0.635043,143641.000000,33284.000000
957.004491,0.637831,152380.000000,35083.000000
960.835544,0.643441,161986.000000,36816.000000
965.937059,0.650338,175129.000000,39176.000000
969.758279,0.655513,185335.000000,40968.000000
973.575284,0.656570,195809.000000,43178.000000
977.388074,0.661286,206740.000000,45096.000000
981.196650,0.663797,217308.000000,47128.000000
985.001012,0.667076,228047.000000,49085.000000
988.801159,0.670278,238038.000000,50859.000000
992.597092,0.672458,247444.000000,52604.000000
996.388810,0.673982,256381.000000,54313.000000
1000.176314,0.675506,264317.000000,55798.000000
1005.219764,0.676792,273187.000000,57500.000000
1008.997434,0.677661,278661.000000,58535.000000
1012.770890,0.679158,283378.000000,59321.000000
1016.540131,0.677796,286796.000000,60225.000000
1020.305158,0.679351,289545.000000,60585.000000
1024.065971,0.678609,290768.000000,60945.000000
1027.822569,0.678032,291659.000000,61213.000000
1031.574953,0.677504,291738.000000,61304.000000
1035.323122,0.677446,291180.000000,61195.000000
1040.314125,0.676456,289060.000000,60888.000000
1044.052461,0.676140,287270.000000,60555.000000
1047.786582,0.674837,285260.000000,60312.000000
1051.516489,0.674127,282938.000000,59919.000000
1055.242181,0.671843,280933.000000,59808.000000
1058.963659,0.670098,278805.000000,59594.000000
1062.680922,0.668546,276533.000000,59320.000000
1066.393971,0.666764,275025.000000,59239.000000
1070.102806,0.663949,273940.000000,59389.000000
1075.041363,0.661777,272610.000000,59397.000000
1078.740364,0.659135,271864.000000,59596.000000
1082.435151,0.657162,271322.000000,59748.000000
1086.125723,0.655345,271668.000000,60075.000000
1089.812080,0.653165,272144.000000,60483.000000
1093.494224,0.651468,273135.000000,60941.000000
