Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 16:17:34,,
Header Version:,1,,
System Temp (C):,36.91,,
Detector Temp (C):,33.46,,
Humidity (%):,22.36,,
Lamp PD:,3708,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.718,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.340424,33639.000000,15361.000000
905.521072,0.361842,38213.000000,16610.000000
909.408318,0.360437,42332.000000,18460.000000
913.291349,0.372608,46950.000000,19908.000000
917.170165,0.366581,51785.000000,22265.000000
921.044767,0.362898,58287.000000,25274.000000
924.915155,0.355073,66979.000000,29571.000000
930.069116,0.362150,82100.000000,35661.000000
933.929670,0.375242,94317.000000,39751.000000
937.786010,0.385419,106099.000000,43681.000000
941.638135,0.395345,116718.000000,46967.000000
945.486046,0.401145,125961.000000,50014.000000
949.329742,0.404814,134812.000000,53078.000000
953.169224,0.409983,143641.000000,55885.000000
957.004491,0.412997,152380.000000,58875.000000
960.835544,0.416904,161986.000000,62026.000000
965.937059,0.420582,175129.000000,66493.000000
969.758279,0.425198,185335.000000,69624.000000
973.575284,0.427434,195809.000000,73181.000000
977.388074,0.430850,206740.000000,76661.000000
981.196650,0.433015,217308.000000,80179.000000
985.001012,0.437640,228047.000000,83250.000000
988.801159,0.439721,238038.000000,86482.000000
992.597092,0.442042,247444.000000,89420.000000
996.388810,0.444409,256381.000000,92146.000000
1000.176314,0.445803,264317.000000,94694.000000
1005.219764,0.448794,273187.000000,97200.000000
1008.997434,0.450486,278661.000000,98762.000000
1012.770890,0.451433,283378.000000,100215.000000
1016.540131,0.452092,286796.000000,101270.000000
1020.305158,0.452873,289545.000000,102057.000000
1024.065971,0.453972,290768.000000,102229.000000
1027.822569,0.453770,291659.000000,102590.000000
1031.574953,0.453795,291738.000000,102612.000000
1035.323122,0.454570,291180.000000,102233.000000
1040.314125,0.454180,289060.000000,101580.000000
1044.052461,0.453556,287270.000000,101096.000000
1047.786582,0.453572,285260.000000,100385.000000
1051.516489,0.452087,282938.000000,99909.000000
1055.242181,0.451487,280933.000000,99338.000000
1058.963659,0.450377,278805.000000,98838.000000
1062.680922,0.448884,276533.000000,98370.000000
1066.393971,0.447628,275025.000000,98117.000000
1070.102806,0.446389,273940.000000,98009.000000
1075.041363,0.444395,272610.000000,97982.000000
1078.740364,0.442439,271864.000000,98155.000000
1082.435151,0.440684,271322.000000,98356.000000
1086.125723,0.439739,271668.000000,98696.000000
1089.812080,0.437382,272144.000000,99407.000000
1093.494224,0.436321,273135.000000,100013.000000
1097.172153,0.434840,273441.000000,100467.000000
1100.845867,0.433493,274759.000000,101265.000000
1104.515367,0.432994,276154.000000,101896.000000
1109.401478,0.432173,278191.000000,102842.000000
1113.061144,0.432123,279666.000000,103399.000000
1116.716596,0.431865,281465.000000,104126.000000
1120.367833,0.431244,283330.000000,104966.000000
1124.014856,0.432676,285720.000000,105503.000000
1127.657665,0.434330,287805.000000,105869.000000
1131.296259,0.436874,290051.000000,106072.000000
1134.930639,0.439301,292331.000000,106310.000000
1138.560804,0.443886,294917.000000,106124.000000
1143.394469,0.450359,298293.000000,105751.000000
1147.014801,0.454976,300985.000000,105577.000000
1150.630918,0.460487,304257.000000,105379.000000
1154.242821,0.465020,307712.000000,105469.000000
1157.850509,0.468679,310881.000000,105661.000000
1161.453983,0.471858,314276.000000,106036.000000
1165.053242,0.473662,318257.000000,106934.000000
1168.648287,0.476147,322819.000000,107848.000000
1172.239118,0.478375,326850.000000,108636.000000
1177.020337,0.482739,332795.000000,109506.000000
1180.601334,0.484708,338252.000000,110798.000000
1184.178116,0.488062,344529.000000,111986.000000
1187.750684,0.491888,351023.000000,113096.000000
1191.319038,0.495399,357082.000000,114122.000000
1194.883177,0.498696,364643.000000,115657.000000
1198.443102,0.501707,372656.000000,117382.000000
1201.998812,0.504688,379916.000000,118850.000000
1205.550308,0.505879,387104.000000,120767.000000
1210.279081,0.505722,398358.000000,124323.000000
1213.820743,0.503096,406330.000000,127580.000000
1217.358191,0.498425,414296.000000,131488.000000
1220.891424,0.493006,423100.000000,135968.000000
1224.420443,0.487620,431276.000000,140325.000000
1227.945248,0.483817,440314.000000,144526.000000
1231.465838,0.480988,449218.000000,148412.000000
1234.982214,0.477965,457807.000000,152306.000000
1238.494375,0.476724,468067.000000,156165.000000
1243.170701,0.475092,479193.000000,160479.000000
1246.673029,0.474306,486758.000000,163308.000000
1250.171142,0.473539,495180.000000,166427.000000
1253.665041,0.472855,503918.000000,169631.000000
1257.154726,0.470724,511654.000000,173082.000000
1260.640196,0.468216,521154.000000,177317.000000
1264.121451,0.466187,534098.000000,182572.000000
1267.598492,0.467231,549524.000000,187394.000000
1271.071319,0.468140,564969.000000,192258.000000
1275.695199,0.469025,583497.000000,198159.000000
1279.158192,0.469153,596509.000000,202518.000000
1282.616970,0.470848,610137.000000,206338.000000
1286.071534,0.471461,621777.000000,209978.000000
1289.521884,0.473412,632911.000000,212780.000000
1292.968020,0.475649,643299.000000,215161.000000
1296.409940,0.478959,653998.000000,217079.000000
1299.847647,0.481031,662535.000000,218866.000000
1303.281139,0.483881,669534.000000,219731.000000
1307.852572,0.488366,680622.000000,221075.000000
1311.276231,0.491641,687613.000000,221668.000000
1314.695675,0.494987,692993.000000,221688.000000
1318.110904,0.499218,697587.000000,220994.000000
1321.521919,0.504727,703545.000000,220072.000000
1324.928720,0.510006,707997.000000,218789.000000
1328.331306,0.515240,710077.000000,216803.000000
1331.729678,0.520202,712333.000000,215021.000000
1335.123835,0.526131,715576.000000,213071.000000
