Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 16:5:41,,
Header Version:,1,,
System Temp (C):,35.94,,
Detector Temp (C):,31.22,,
Humidity (%):,24.4,,
Lamp PD:,3710,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.702,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.425887,33639.000000,12617.000000
905.521072,0.440887,38213.000000,13846.000000
909.408318,0.441864,42332.000000,15304.000000
913.291349,0.447180,46950.000000,16767.000000
917.170165,0.441133,51785.000000,18753.000000
921.044767,0.433194,58287.000000,21497.000000
924.915155,0.424211,66979.000000,25219.000000
930.069116,0.430414,82100.000000,30474.000000
933.929670,0.442294,94317.000000,34064.000000
937.786010,0.454364,106099.000000,37269.000000
941.638135,0.458740,116718.000000,40588.000000
945.486046,0.464059,125961.000000,43269.000000
949.329742,0.468967,134812.000000,45789.000000
953.169224,0.471635,143641.000000,48489.000000
957.004491,0.472362,152380.000000,51353.000000
960.835544,0.473863,161986.000000,54402.000000
965.937059,0.477087,175129.000000,58381.000000
969.758279,0.480674,185335.000000,61275.000000
973.575284,0.478999,195809.000000,64988.000000
977.388074,0.482054,206740.000000,68135.000000
981.196650,0.483298,217308.000000,71413.000000
985.001012,0.485810,228047.000000,74510.000000
988.801159,0.487535,238038.000000,77466.000000
992.597092,0.489227,247444.000000,80214.000000
996.388810,0.490101,256381.000000,82944.000000
1000.176314,0.491859,264317.000000,85166.000000
1005.219764,0.492966,273187.000000,87800.000000
1008.997434,0.494162,278661.000000,89313.000000
1012.770890,0.494587,283378.000000,90736.000000
1016.540131,0.494953,286796.000000,91753.000000
1020.305158,0.495218,289545.000000,92576.000000
