Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 16:10:14,,
Header Version:,1,,
System Temp (C):,36.83,,
Detector Temp (C):,32.36,,
Humidity (%):,23.3,,
Lamp PD:,3708,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.718,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.761324,33639.000000,5828.000000
905.521072,0.772921,38213.000000,6446.000000
909.408318,0.773884,42332.000000,7125.000000
913.291349,0.796980,46950.000000,7493.000000
917.170165,0.800867,51785.000000,8191.000000
921.044767,0.795969,58287.000000,9324.000000
924.915155,0.787080,66979.000000,10936.000000
930.069116,0.798899,82100.000000,13045.000000
933.929670,0.814482,94317.000000,14458.000000
937.786010,0.827137,106099.000000,15797.000000
941.638135,0.841699,116718.000000,16805.000000
945.486046,0.851674,125961.000000,17724.000000
949.329742,0.862839,134812.000000,18488.000000
953.169224,0.868716,143641.000000,19434.000000
957.004491,0.876267,152380.000000,20261.000000
960.835544,0.880466,161986.000000,21331.000000
965.937059,0.889019,175129.000000,22612.000000
969.758279,0.899336,185335.000000,23368.000000
973.575284,0.900774,195809.000000,24607.000000
977.388074,0.908170,206740.000000,25542.000000
981.196650,0.911705,217308.000000,26630.000000
985.001012,0.917824,228047.000000,27555.000000
988.801159,0.925935,238038.000000,28230.000000
992.597092,0.928436,247444.000000,29177.000000
996.388810,0.932620,256381.000000,29941.000000
1000.176314,0.936389,264317.000000,30601.000000
1005.219764,0.939420,273187.000000,31408.000000
1008.997434,0.941027,278661.000000,31919.000000
1012.770890,0.942438,283378.000000,32354.000000
1016.540131,0.944569,286796.000000,32584.000000
1020.305158,0.943558,289545.000000,32973.000000
1024.065971,0.943417,290768.000000,33123.000000
1027.822569,0.943790,291659.000000,33196.000000
1031.574953,0.940610,291738.000000,33449.000000
1035.323122,0.943089,291180.000000,33195.000000
1040.314125,0.940924,289060.000000,33118.000000
1044.052461,0.942324,287270.000000,32807.000000
1047.786582,0.941477,285260.000000,32641.000000
1051.516489,0.937183,282938.000000,32697.000000
1055.242181,0.936666,280933.000000,32504.000000
1058.963659,0.932990,278805.000000,32532.000000
1062.680922,0.930385,276533.000000,32461.000000
1066.393971,0.928881,275025.000000,32396.000000
1070.102806,0.924918,273940.000000,32564.000000
1075.041363,0.920105,272610.000000,32767.000000
1078.740364,0.913698,271864.000000,33163.000000
1082.435151,0.912439,271322.000000,33193.000000
1086.125723,0.907777,271668.000000,33594.000000
1089.812080,0.902299,272144.000000,34080.000000
1093.494224,0.901147,273135.000000,34295.000000
1097.172153,0.895297,273441.000000,34799.000000
1100.845867,0.891583,274759.000000,35267.000000
1104.515367,0.889482,276154.000000,35618.000000
1109.401478,0.884149,278191.000000,36324.000000
1113.061144,0.881193,279666.000000,36766.000000
1116.716596,0.879477,281465.000000,37149.000000
1120.367833,0.876528,283330.000000,37650.000000
1124.014856,0.875677,285720.000000,38042.000000
1127.657665,0.873390,287805.000000,38522.000000
1131.296259,0.873296,290051.000000,38831.000000
1134.930639,0.871328,292331.000000,39314.000000
1138.560804,0.875142,294917.000000,39315.000000
1143.394469,0.878993,298293.000000,39414.000000
1147.014801,0.883049,300985.000000,39400.000000
1150.630918,0.886281,304257.000000,39533.000000
1154.242821,0.888927,307712.000000,39739.000000
1157.850509,0.890751,310881.000000,39980.000000
1161.453983,0.893939,314276.000000,40121.000000
1165.053242,0.895237,318257.000000,40508.000000
1168.648287,0.895900,322819.000000,41026.000000
1172.239118,0.898125,326850.000000,41326.000000
1177.020337,0.902093,332795.000000,41695.000000
1180.601334,0.903311,338252.000000,42260.000000
1184.178116,0.906503,344529.000000,42729.000000
1187.750684,0.910345,351023.000000,43151.000000
1191.319038,0.912575,357082.000000,43671.000000
1194.883177,0.916740,364643.000000,44170.000000
1198.443102,0.920845,372656.000000,44716.000000
1201.998812,0.921714,379916.000000,45496.000000
1205.550308,0.923995,387104.000000,46114.000000
1210.279081,0.926240,398358.000000,47210.000000
1213.820743,0.922484,406330.000000,48573.000000
1217.358191,0.919088,414296.000000,49914.000000
1220.891424,0.915277,423100.000000,51424.000000
1224.420443,0.910873,431276.000000,52952.000000
1227.945248,0.908259,440314.000000,54388.000000
1231.465838,0.906657,449218.000000,55693.000000
1234.982214,0.903643,457807.000000,57153.000000
1238.494375,0.904558,468067.000000,58311.000000
1243.170701,0.903831,479193.000000,59797.000000
1246.673029,0.903217,486758.000000,60827.000000
1250.171142,0.903669,495180.000000,61815.000000
1253.665041,0.904013,503918.000000,62856.000000
1257.154726,0.903149,511654.000000,63948.000000
1260.640196,0.899771,521154.000000,65644.000000
1264.121451,0.899496,534098.000000,67317.000000
1267.598492,0.901106,549524.000000,69005.000000
1271.071319,0.901623,564969.000000,70860.000000
1275.695199,0.904200,583497.000000,72751.000000
1279.158192,0.904062,596509.000000,74397.000000
1282.616970,0.905896,610137.000000,75776.000000
1286.071534,0.907336,621777.000000,76966.000000
1289.521884,0.908664,632911.000000,78105.000000
1292.968020,0.911567,643299.000000,78858.000000
1296.409940,0.915106,653998.000000,79519.000000
1299.847647,0.917251,662535.000000,80160.000000
1303.281139,0.919971,669534.000000,80501.000000
1307.852572,0.924158,680622.000000,81049.000000
1311.276231,0.927793,687613.000000,81199.000000
1314.695675,0.930857,692993.000000,81259.000000
1318.110904,0.935516,697587.000000,80925.000000
1321.521919,0.940995,703545.000000,80593.000000
1324.928720,0.945592,707997.000000,80249.000000
1328.331306,0.950256,710077.000000,79625.000000
1331.729678,0.955265,712333.000000,78962.000000
1335.123835,0.961766,715576.000000,78143.000000
1339.642823,0.968658,717691.000000,77140.000000
1343.027147,0.972861,716977.000000,76321.000000
1346.407256,0.978093,716577.000000,75365.000000
1349.783151,0.983154,716270.000000,74460.000000
1353.154831,0.988352,715315.000000,73476.000000
1356.522297,0.993248,713176.000000,72435.000000
1359.885549,0.997789,710971.000000,71460.000000
1363.244586,1.002898,708733.000000,70402.000000
1366.599408,1.007942,706319.000000,69352.000000
1371.065950,1.017741,701665.000000,67358.000000
1374.410939,1.026807,697460.000000,65571.000000
1377.751713,1.037248,691985.000000,63511.000000
1381.088274,1.050315,686523.000000,61142.000000
1384.420619,1.064166,680381.000000,58693.000000
1387.748751,1.078904,675468.000000,56325.000000
1391.072668,1.096231,671911.000000,53837.000000
1394.392370,1.111328,668723.000000,51751.000000
1397.707858,1.127832,666533.000000,49658.000000
1402.121953,1.150872,665113.000000,46992.000000
1405.427607,1.167467,665198.000000,45236.000000
1408.729047,1.183951,664935.000000,43534.000000
1412.026273,1.199227,664455.000000,41999.000000
1415.319284,1.211999,664556.000000,40788.000000
1418.608081,1.223540,664917.000000,39740.000000
1421.892663,1.233252,665017.000000,38867.000000
1425.173031,1.242388,664617.000000,38035.000000
1428.449184,1.248515,665359.000000,37544.000000
1431.721123,1.256113,666424.000000,36952.000000
1436.077153,1.261221,667155.000000,36560.000000
1439.339258,1.265144,668127.000000,36284.000000
1442.597149,1.269278,668698.000000,35971.000000
1445.850825,1.271557,669264.000000,35813.000000
1449.100287,1.272789,669273.000000,35712.000000
1452.345535,1.274152,669026.000000,35587.000000
1455.586568,1.273115,668707.000000,35655.000000
1458.823387,1.274898,668068.000000,35475.000000
1462.055991,1.273961,666684.000000,35478.000000
1466.359575,1.274989,665382.000000,35325.000000
1469.582345,1.271334,664120.000000,35556.000000
1472.800901,1.269735,662276.000000,35588.000000
1476.015243,1.265659,660385.000000,35821.000000
1479.225371,1.264644,658310.000000,35792.000000
1482.431284,1.260989,656313.000000,35985.000000
1485.632982,1.255332,654173.000000,36338.000000
1488.830466,1.253026,651677.000000,36392.000000
1492.023736,1.249501,649126.000000,36545.000000
1496.274873,1.244952,646247.000000,36766.000000
1499.458309,1.241595,643294.000000,36882.000000
1502.637531,1.238308,640417.000000,36996.000000
1505.812538,1.236532,637303.000000,36967.000000
1508.983330,1.233668,634074.000000,37023.000000
1512.149909,1.229726,630551.000000,37153.000000
1515.312273,1.225616,626579.000000,37270.000000
1518.470422,1.222641,623236.000000,37326.000000
1521.624357,1.219883,619556.000000,37342.000000
1525.823048,1.219080,614520.000000,37107.000000
1528.967149,1.216663,610731.000000,37084.000000
1532.107036,1.214058,606260.000000,37034.000000
1535.242709,1.210584,601771.000000,37055.000000
1538.374167,1.209385,597293.000000,36881.000000
1541.501410,1.208200,592533.000000,36687.000000
1544.624439,1.205326,587614.000000,36624.000000
1547.743254,1.204676,582008.000000,36329.000000
1550.857855,1.202189,576631.000000,36200.000000
1555.004099,1.200651,569180.000000,35859.000000
1558.108866,1.198159,563682.000000,35717.000000
1561.209418,1.197267,557265.000000,35383.000000
1564.305756,1.195510,551187.000000,35139.000000
1567.397879,1.193359,545545.000000,34952.000000
