Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 16:25:18,,
Header Version:,1,,
System Temp (C):,37.83,,
Detector Temp (C):,34.18,,
Humidity (%):,21.17,,
Lamp PD:,3707,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.738,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.652593,33639.000000,7486.000000
905.521072,0.671747,38213.000000,8137.000000
909.408318,0.673392,42332.000000,8980.000000
913.291349,0.681741,46950.000000,9770.000000
917.170165,0.674037,51785.000000,10969.000000
921.044767,0.668557,58287.000000,12503.000000
924.915155,0.655032,66979.000000,14822.000000
930.069116,0.663411,82100.000000,17821.000000
933.929670,0.673538,94317.000000,20001.000000
937.786010,0.683763,106099.000000,21976.000000
941.638135,0.688377,116718.000000,23920.000000
945.486046,0.694565,125961.000000,25449.000000
949.329742,0.696119,134812.000000,27140.000000
953.169224,0.702784,143641.000000,28477.000000
957.004491,0.701987,152380.000000,30265.000000
960.835544,0.704015,161986.000000,32023.000000
965.937059,0.707925,175129.000000,34311.000000
969.758279,0.711727,185335.000000,35994.000000
973.575284,0.710054,195809.000000,38175.000000
977.388074,0.711285,206740.000000,40192.000000
981.196650,0.712464,217308.000000,42132.000000
985.001012,0.716005,228047.000000,43855.000000
988.801159,0.717339,238038.000000,45636.000000
992.597092,0.717387,247444.000000,47434.000000
996.388810,0.718858,256381.000000,48981.000000
1000.176314,0.719221,264317.000000,50455.000000
1005.219764,0.718266,273187.000000,52263.000000
1008.997434,0.718210,278661.000000,53317.000000
1012.770890,0.718527,283378.000000,54180.000000
1016.540131,0.717890,286796.000000,54914.000000
1020.305158,0.718622,289545.000000,55347.000000
1024.065971,0.717684,290768.000000,55701.000000
1027.822569,0.717456,291659.000000,55901.000000
1031.574953,0.716976,291738.000000,55978.000000
1035.323122,0.716641,291180.000000,55914.000000
1040.314125,0.715437,289060.000000,55661.000000
1044.052461,0.715848,287270.000000,55264.000000
1047.786582,0.715123,285260.000000,54969.000000
1051.516489,0.713958,282938.000000,54668.000000
1055.242181,0.713499,280933.000000,54338.000000
1058.963659,0.712143,278805.000000,54095.000000
1062.680922,0.711951,276533.000000,53678.000000
1066.393971,0.711067,275025.000000,53494.000000
1070.102806,0.708523,273940.000000,53596.000000
1075.041363,0.708643,272610.000000,53321.000000
1078.740364,0.708669,271864.000000,53172.000000
1082.435151,0.706636,271322.000000,53315.000000
1086.125723,0.706709,271668.000000,53374.000000
1089.812080,0.706307,272144.000000,53517.000000
1093.494224,0.706249,273135.000000,53719.000000
1097.172153,0.706865,273441.000000,53703.000000
1100.845867,0.706743,274759.000000,53977.000000
1104.515367,0.708115,276154.000000,54080.000000
1109.401478,0.709375,278191.000000,54321.000000
1113.061144,0.710626,279666.000000,54452.000000
1116.716596,0.712709,281465.000000,54540.000000
1120.367833,0.714981,283330.000000,54615.000000
1124.014856,0.718176,285720.000000,54672.000000
1127.657665,0.721182,287805.000000,54691.000000
1131.296259,0.727395,290051.000000,54335.000000
1134.930639,0.732581,292331.000000,54112.000000
1138.560804,0.741679,294917.000000,53459.000000
1143.394469,0.752462,298293.000000,52745.000000
1147.014801,0.760558,300985.000000,52238.000000
1150.630918,0.768182,304257.000000,51887.000000
1154.242821,0.775958,307712.000000,51545.000000
1157.850509,0.781032,310881.000000,51471.000000
1161.453983,0.787516,314276.000000,51262.000000
1165.053242,0.789565,318257.000000,51667.000000
1168.648287,0.793934,322819.000000,51883.000000
1172.239118,0.797753,326850.000000,52071.000000
1177.020337,0.802166,332795.000000,52482.000000
1180.601334,0.806508,338252.000000,52812.000000
1184.178116,0.810385,344529.000000,53314.000000
1187.750684,0.814674,351023.000000,53785.000000
1191.319038,0.817992,357082.000000,54297.000000
1194.883177,0.822462,364643.000000,54879.000000
1198.443102,0.825601,372656.000000,55681.000000
1201.998812,0.827332,379916.000000,56540.000000
1205.550308,0.827564,387104.000000,57579.000000
1210.279081,0.825333,398358.000000,59558.000000
1213.820743,0.820604,406330.000000,61415.000000
1217.358191,0.814168,414296.000000,63554.000000
1220.891424,0.807459,423100.000000,65915.000000
1224.420443,0.801277,431276.000000,68152.000000
1227.945248,0.797741,440314.000000,70149.000000
1231.465838,0.793403,449218.000000,72286.000000
1234.982214,0.789185,457807.000000,74387.000000
1238.494375,0.786925,468067.000000,76451.000000
1243.170701,0.785397,479193.000000,78544.000000
1246.673029,0.783117,486758.000000,80204.000000
1250.171142,0.781638,495180.000000,81870.000000
1253.665041,0.780965,503918.000000,83444.000000
1257.154726,0.777798,511654.000000,85345.000000
1260.640196,0.775947,521154.000000,87301.000000
1264.121451,0.773123,534098.000000,90053.000000
1267.598492,0.773732,549524.000000,92524.000000
1271.071319,0.773977,564969.000000,95071.000000
1275.695199,0.774923,583497.000000,97975.000000
1279.158192,0.774845,596509.000000,100178.000000
1282.616970,0.776444,610137.000000,102090.000000
1286.071534,0.777316,621777.000000,103829.000000
1289.521884,0.779327,632911.000000,105200.000000
1292.968020,0.781753,643299.000000,106331.000000
1296.409940,0.785001,653998.000000,107294.000000
1299.847647,0.788199,662535.000000,107897.000000
1303.281139,0.791995,669534.000000,108088.000000
1307.852572,0.797825,680622.000000,108413.000000
1311.276231,0.802343,687613.000000,108393.000000
1314.695675,0.807611,692993.000000,107924.000000
1318.110904,0.813185,697587.000000,107254.000000
1321.521919,0.821249,703545.000000,106180.000000
1324.928720,0.828127,707997.000000,105173.000000
1328.331306,0.834949,710077.000000,103838.000000
1331.729678,0.842544,712333.000000,102362.000000
1335.123835,0.850562,715576.000000,100947.000000
1339.642823,0.860851,717691.000000,98875.000000
1343.027147,0.867486,716977.000000,97279.000000
1346.407256,0.876015,716577.000000,95334.000000
1349.783151,0.882911,716270.000000,93792.000000
1353.154831,0.890521,715315.000000,92040.000000
1356.522297,0.897216,713176.000000,90361.000000
1359.885549,0.904958,710971.000000,88490.000000
1363.244586,0.913261,708733.000000,86541.000000
1366.599408,0.922226,706319.000000,84484.000000
1371.065950,0.939084,701665.000000,80732.000000
1374.410939,0.954582,697460.000000,77435.000000
1377.751713,0.973792,691985.000000,73503.000000
1381.088274,0.996957,686523.000000,69135.000000
1384.420619,1.022130,680381.000000,64658.000000
1387.748751,1.050254,675468.000000,60166.000000
1391.072668,1.080421,671911.000000,55833.000000
1394.392370,1.108275,668723.000000,52116.000000
1397.707858,1.138125,666533.000000,48495.000000
1402.121953,1.175239,665113.000000,44428.000000
1405.427607,1.202315,665198.000000,41748.000000
1408.729047,1.225457,664935.000000,39566.000000
1412.026273,1.244813,664455.000000,37814.000000
1415.319284,1.263811,664556.000000,36201.000000
1418.608081,1.277844,664917.000000,35069.000000
1421.892663,1.289811,665017.000000,34121.000000
1425.173031,1.298760,664617.000000,33405.000000
1428.449184,1.306375,665359.000000,32861.000000
1431.721123,1.314602,666424.000000,32296.000000
1436.077153,1.319742,667155.000000,31951.000000
1439.339258,1.322132,668127.000000,31822.000000
1442.597149,1.324171,668698.000000,31700.000000
1445.850825,1.326433,669264.000000,31562.000000
1449.100287,1.325779,669273.000000,31610.000000
1452.345535,1.327519,669026.000000,31472.000000
1455.586568,1.326856,668707.000000,31505.000000
1458.823387,1.327794,668068.000000,31407.000000
1462.055991,1.323272,666684.000000,31670.000000
1466.359575,1.323453,665382.000000,31595.000000
1469.582345,1.318293,664120.000000,31912.000000
1472.800901,1.313547,662276.000000,32173.000000
1476.015243,1.308730,660385.000000,32439.000000
1479.225371,1.302928,658310.000000,32772.000000
1482.431284,1.299216,656313.000000,32953.000000
1485.632982,1.291972,654173.000000,33398.000000
1488.830466,1.285862,651677.000000,33742.000000
1492.023736,1.280952,649126.000000,33992.000000
1496.274873,1.273335,646247.000000,34440.000000
1499.458309,1.265497,643294.000000,34907.000000
1502.637531,1.259871,640417.000000,35204.000000
