Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 16:3:38,,
Header Version:,1,,
System Temp (C):,35.39,,
Detector Temp (C):,30.69,,
Humidity (%):,25.36,,
Lamp PD:,3710,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.704,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.543487,33639.000000,9624.000000
905.521072,0.558959,38213.000000,10550.000000
909.408318,0.557667,42332.000000,11722.000000
913.291349,0.563307,46950.000000,12833.000000
917.170165,0.558382,51785.000000,14316.000000
921.044767,0.551417,58287.000000,16374.000000
924.915155,0.543362,66979.000000,19168.000000
930.069116,0.553617,82100.000000,22947.000000
933.929670,0.563105,94317.000000,25792.000000
937.786010,0.575000,106099.000000,28230.000000
941.638135,0.584779,116718.000000,30364.000000
945.486046,0.589745,125961.000000,32396.000000
949.329742,0.598199,134812.000000,34004.000000
953.169224,0.602680,143641.000000,35859.000000
957.004491,0.605183,152380.000000,37822.000000
960.835544,0.608722,161986.000000,39880.000000
965.937059,0.614785,175129.000000,42518.000000
969.758279,0.620839,185335.000000,44373.000000
973.575284,0.622795,195809.000000,46670.000000
977.388074,0.627343,206740.000000,48762.000000
981.196650,0.631221,217308.000000,50799.000000
985.001012,0.635522,228047.000000,52784.000000
988.801159,0.639223,238038.000000,54629.000000
992.597092,0.642290,247444.000000,56388.000000
996.388810,0.645271,256381.000000,58025.000000
1000.176314,0.646784,264317.000000,59613.000000
1005.219764,0.650049,273187.000000,61152.000000
1008.997434,0.652264,278661.000000,62060.000000
1012.770890,0.654130,283378.000000,62840.000000
1016.540131,0.655251,286796.000000,63434.000000
1020.305158,0.658293,289545.000000,63595.000000
1024.065971,0.658855,290768.000000,63781.000000
1027.822569,0.659307,291659.000000,63910.000000
1031.574953,0.660288,291738.000000,63783.000000
1035.323122,0.661039,291180.000000,63551.000000
1040.314125,0.660347,289060.000000,63189.000000
1044.052461,0.661092,287270.000000,62690.000000
1047.786582,0.660934,285260.000000,62274.000000
1051.516489,0.660281,282938.000000,61860.000000
1055.242181,0.659841,280933.000000,61484.000000
1058.963659,0.659181,278805.000000,61111.000000
1062.680922,0.658079,276533.000000,60767.000000
1066.393971,0.657258,275025.000000,60550.000000
1070.102806,0.656288,273940.000000,60446.000000
1075.041363,0.654534,272610.000000,60396.000000
1078.740364,0.652776,271864.000000,60475.000000
1082.435151,0.651837,271322.000000,60485.000000
1086.125723,0.649685,271668.000000,60863.000000
1089.812080,0.648793,272144.000000,61095.000000
1093.494224,0.648039,273135.000000,61424.000000
1097.172153,0.645875,273441.000000,61800.000000
1100.845867,0.644513,274759.000000,62293.000000
1104.515367,0.643510,276154.000000,62754.000000
1109.401478,0.642651,278191.000000,63342.000000
1113.061144,0.641683,279666.000000,63820.000000
1116.716596,0.642289,281465.000000,64141.000000
1120.367833,0.641946,283330.000000,64617.000000
1124.014856,0.643301,285720.000000,64959.000000
1127.657665,0.643866,287805.000000,65348.000000
1131.296259,0.645557,290051.000000,65602.000000
1134.930639,0.647992,292331.000000,65748.000000
1138.560804,0.652584,294917.000000,65632.000000
1143.394469,0.659776,298293.000000,65293.000000
1147.014801,0.663891,300985.000000,65261.000000
1150.630918,0.668287,304257.000000,65306.000000
1154.242821,0.673670,307712.000000,65234.000000
1157.850509,0.676253,310881.000000,65515.000000
1161.453983,0.678419,314276.000000,65901.000000
1165.053242,0.680983,318257.000000,66343.000000
1168.648287,0.682748,322819.000000,67021.000000
1172.239118,0.684087,326850.000000,67649.000000
1177.020337,0.687070,332795.000000,68408.000000
1180.601334,0.689668,338252.000000,69115.000000
1184.178116,0.692215,344529.000000,69986.000000
1187.750684,0.695241,351023.000000,70810.000000
1191.319038,0.697321,357082.000000,71688.000000
1194.883177,0.699414,364643.000000,72854.000000
1198.443102,0.703016,372656.000000,73840.000000
1201.998812,0.704922,379916.000000,74949.000000
1205.550308,0.704433,387104.000000,76453.000000
1210.279081,0.704619,398358.000000,78642.000000
1213.820743,0.701634,406330.000000,80769.000000
1217.358191,0.696489,414296.000000,83334.000000
1220.891424,0.691601,423100.000000,86068.000000
1224.420443,0.687121,431276.000000,88641.000000
1227.945248,0.684292,440314.000000,91090.000000
1231.465838,0.681167,449218.000000,93603.000000
1234.982214,0.678683,457807.000000,95940.000000
1238.494375,0.677927,468067.000000,98261.000000
1243.170701,0.676783,479193.000000,100862.000000
1246.673029,0.675404,486758.000000,102780.000000
1250.171142,0.675418,495180.000000,104555.000000
1253.665041,0.675186,503918.000000,106457.000000
1257.154726,0.673635,511654.000000,108478.000000
1260.640196,0.670924,521154.000000,111184.000000
1264.121451,0.669309,534098.000000,114370.000000
1267.598492,0.670474,549524.000000,117358.000000
1271.071319,0.671708,564969.000000,120314.000000
1275.695199,0.672638,583497.000000,123994.000000
1279.158192,0.674069,596509.000000,126342.000000
1282.616970,0.675461,610137.000000,128815.000000
1286.071534,0.676450,621777.000000,130974.000000
1289.521884,0.678537,632911.000000,132680.000000
1292.968020,0.680942,643299.000000,134113.000000
1296.409940,0.684298,653998.000000,135294.000000
1299.847647,0.686681,662535.000000,136310.000000
1303.281139,0.689296,669534.000000,136923.000000
1307.852572,0.694231,680622.000000,137618.000000
1311.276231,0.697877,687613.000000,137869.000000
1314.695675,0.701946,692993.000000,137652.000000
1318.110904,0.706238,697587.000000,137202.000000
1321.521919,0.712309,703545.000000,136453.000000
1324.928720,0.717938,707997.000000,135548.000000
1328.331306,0.723527,710077.000000,134208.000000
1331.729678,0.728636,712333.000000,133060.000000
1335.123835,0.734889,715576.000000,131755.000000
1339.642823,0.742572,717691.000000,129827.000000
1343.027147,0.747556,716977.000000,128218.000000
1346.407256,0.753691,716577.000000,126349.000000
1349.783151,0.759169,716270.000000,124712.000000
1353.154831,0.765373,715315.000000,122779.000000
1356.522297,0.770404,713176.000000,121002.000000
1359.885549,0.776144,710971.000000,119044.000000
1363.244586,0.781737,708733.000000,117151.000000
1366.599408,0.787835,706319.000000,115124.000000
1371.065950,0.799869,701665.000000,111240.000000
1374.410939,0.810534,697460.000000,107891.000000
1377.751713,0.824310,691985.000000,103702.000000
1381.088274,0.839767,686523.000000,99286.000000
1384.420619,0.857684,680381.000000,94421.000000
1387.748751,0.877161,675468.000000,89628.000000
1391.072668,0.899367,671911.000000,84712.000000
1394.392370,0.920244,668723.000000,80353.000000
1397.707858,0.942882,666533.000000,76022.000000
1402.121953,0.972304,665113.000000,70891.000000
1405.427607,0.994536,665198.000000,67362.000000
1408.729047,1.015955,664935.000000,64095.000000
1412.026273,1.033908,664455.000000,61455.000000
1415.319284,1.049983,664556.000000,59231.000000
1418.608081,1.063236,664917.000000,57482.000000
1421.892663,1.075537,665017.000000,55885.000000
1425.173031,1.084743,664617.000000,54680.000000
1428.449184,1.093373,665359.000000,53664.000000
1431.721123,1.100155,666424.000000,52917.000000
1436.077153,1.105684,667155.000000,52305.000000
1439.339258,1.109273,668127.000000,51950.000000
1442.597149,1.111857,668698.000000,51686.000000
1445.850825,1.113934,669264.000000,51483.000000
1449.100287,1.115918,669273.000000,51249.000000
1452.345535,1.115647,669026.000000,51262.000000
1455.586568,1.116280,668707.000000,51163.000000
1458.823387,1.116196,668068.000000,51124.000000
1462.055991,1.113608,666684.000000,51323.000000
1466.359575,1.112268,665382.000000,51381.000000
1469.582345,1.109799,664120.000000,51576.000000
1472.800901,1.107322,662276.000000,51727.000000
1476.015243,1.101221,660385.000000,52309.000000
1479.225371,1.097247,658310.000000,52624.000000
1482.431284,1.092901,656313.000000,52992.000000
1485.632982,1.086852,654173.000000,53560.000000
1488.830466,1.081156,651677.000000,54060.000000
1492.023736,1.076970,649126.000000,54370.000000
1496.274873,1.072260,646247.000000,54719.000000
1499.458309,1.066164,643294.000000,55239.000000
1502.637531,1.060062,640417.000000,55770.000000
1505.812538,1.055383,637303.000000,56100.000000
1508.983330,1.052226,634074.000000,56223.000000
1512.149909,1.047165,630551.000000,56566.000000
1515.312273,1.042995,626579.000000,56752.000000
1518.470422,1.038503,623236.000000,57036.000000
1521.624357,1.034852,619556.000000,57178.000000
1525.823048,1.030859,614520.000000,57237.000000
1528.967149,1.027127,610731.000000,57375.000000
1532.107036,1.023286,606260.000000,57461.000000
1535.242709,1.019258,601771.000000,57567.000000
1538.374167,1.018746,597293.000000,57206.000000
1541.501410,1.014475,592533.000000,57311.000000
1544.624439,1.010884,587614.000000,57307.000000
1547.743254,1.009794,582008.000000,56903.000000
1550.857855,1.006053,576631.000000,56865.000000
1555.004099,1.003147,569180.000000,56507.000000
1558.108866,1.000703,563682.000000,56277.000000
1561.209418,0.997711,557265.000000,56021.000000
1564.305756,0.995116,551187.000000,55742.000000
1567.397879,0.992506,545545.000000,55504.000000
1570.485788,0.988837,539133.000000,55317.000000
1573.569483,0.988445,532551.000000,54691.000000
1576.648963,0.986189,525907.000000,54290.000000
1579.724229,0.980980,518938.000000,54217.000000
1583.818027,0.980584,509333.000000,53262.000000
1586.883459,0.976496,502458.000000,53040.000000
1589.944677,0.974505,494992.000000,52492.000000
1593.001680,0.969658,487232.000000,52249.000000
1596.054469,0.966259,480020.000000,51880.000000
1599.103043,0.962838,472168.000000,51435.000000
1602.147403,0.961498,464280.000000,50732.000000
1605.187548,0.956010,456706.000000,50539.000000
1608.223479,0.954205,448530.000000,49841.000000
1612.264832,0.947979,437205.000000,49284.000000
1615.290929,0.944747,429490.000000,48776.000000
1618.312812,0.942260,421504.000000,48144.000000
1621.330481,0.939868,413173.000000,47453.000000
1624.343935,0.935803,404553.000000,46900.000000
1627.353174,0.933000,396423.000000,46255.000000
1630.358200,0.932187,388513.000000,45417.000000
1633.359010,0.928369,380160.000000,44833.000000
1636.355607,0.924749,371598.000000,44190.000000
1640.344513,0.921156,360463.000000,43222.000000
1643.331275,0.919313,352069.000000,42395.000000
1646.313824,0.917107,343006.000000,41514.000000
1649.292158,0.914231,333872.000000,40677.000000
1652.266277,0.912791,324504.000000,39667.000000
1655.236182,0.909068,314053.000000,38720.000000
1658.201873,0.909381,302316.000000,37246.000000
1661.163349,0.906225,289087.000000,35876.000000
1664.120611,0.905394,274074.000000,34078.000000
1668.057070,0.903254,249318.000000,31153.000000
1671.004498,0.901115,227555.000000,28574.000000
1673.947712,0.903317,203186.000000,25385.000000
1676.886711,0.900182,178338.000000,22442.000000
1679.821496,0.903440,153876.000000,19219.000000
1682.752066,0.905940,131194.000000,16292.000000
1685.678422,0.911343,111238.000000,13643.000000
1688.600564,0.915256,94301.000000,11462.000000
1691.518491,0.918797,80350.000000,9687.000000
1695.402504,0.929146,65120.000000,7666.000000
1698.310598,0.924906,55907.000000,6646.000000
1701.214477,0.925694,48643.000000,5772.000000
