Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 15:53:47,,
Header Version:,1,,
System Temp (C):,33.21,,
Detector Temp (C):,31.3,,
Humidity (%):,28.8,,
Lamp PD:,3714,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.717,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.494506,33639.000000,10773.000000
905.521072,0.511066,38213.000000,11780.000000
909.408318,0.514567,42332.000000,12945.000000
913.291349,0.519347,46950.000000,14200.000000
917.170165,0.513682,51785.000000,15868.000000
921.044767,0.504356,58287.000000,18248.000000
924.915155,0.498090,66979.000000,21274.000000
930.069116,0.506443,82100.000000,25580.000000
933.929670,0.518634,94317.000000,28573.000000
937.786010,0.533986,106099.000000,31026.000000
941.638135,0.544733,116718.000000,33297.000000
945.486046,0.552289,125961.000000,35314.000000
949.329742,0.558952,134812.000000,37220.000000
953.169224,0.565724,143641.000000,39044.000000
957.004491,0.568358,152380.000000,41169.000000
960.835544,0.575373,161986.000000,43063.000000
965.937059,0.580411,175129.000000,46020.000000
969.758279,0.586626,185335.000000,48010.000000
973.575284,0.589963,195809.000000,50335.000000
977.388074,0.594653,206740.000000,52574.000000
981.196650,0.597875,217308.000000,54853.000000
985.001012,0.603141,228047.000000,56870.000000
988.801159,0.606922,238038.000000,58847.000000
992.597092,0.609759,247444.000000,60774.000000
996.388810,0.613402,256381.000000,62443.000000
1000.176314,0.616380,264317.000000,63936.000000
1005.219764,0.619192,273187.000000,65655.000000
1008.997434,0.622202,278661.000000,66508.000000
1012.770890,0.623217,283378.000000,67476.000000
1016.540131,0.623680,286796.000000,68217.000000
1020.305158,0.625696,289545.000000,68552.000000
1024.065971,0.625832,290768.000000,68820.000000
1027.822569,0.627489,291659.000000,68768.000000
1031.574953,0.627878,291738.000000,68725.000000
1035.323122,0.628833,291180.000000,68443.000000
1040.314125,0.627694,289060.000000,68123.000000
1044.052461,0.628401,287270.000000,67591.000000
1047.786582,0.628408,285260.000000,67117.000000
1051.516489,0.626492,282938.000000,66865.000000
1055.242181,0.626350,280933.000000,66413.000000
1058.963659,0.624521,278805.000000,66188.000000
1062.680922,0.624056,276533.000000,65719.000000
1066.393971,0.622932,275025.000000,65530.000000
1070.102806,0.621129,273940.000000,65543.000000
1075.041363,0.619274,272610.000000,65504.000000
1078.740364,0.617925,271864.000000,65528.000000
1082.435151,0.615913,271322.000000,65701.000000
1086.125723,0.614120,271668.000000,66057.000000
1089.812080,0.613063,272144.000000,66334.000000
1093.494224,0.611659,273135.000000,66791.000000
1097.172153,0.608855,273441.000000,67299.000000
1100.845867,0.607351,274759.000000,67858.000000
1104.515367,0.606801,276154.000000,68289.000000
1109.401478,0.605161,278191.000000,69053.000000
1113.061144,0.604561,279666.000000,69515.000000
1116.716596,0.603979,281465.000000,70056.000000
1120.367833,0.603445,283330.000000,70607.000000
1124.014856,0.604095,285720.000000,71096.000000
1127.657665,0.606210,287805.000000,71267.000000
1131.296259,0.608284,290051.000000,71481.000000
1134.930639,0.611447,292331.000000,71520.000000
1138.560804,0.615898,294917.000000,71417.000000
1143.394469,0.624266,298293.000000,70856.000000
1147.014801,0.630368,300985.000000,70498.000000
1150.630918,0.635360,304257.000000,70450.000000
1154.242821,0.641127,307712.000000,70310.000000
1157.850509,0.644633,310881.000000,70463.000000
1161.453983,0.646653,314276.000000,70902.000000
1165.053242,0.648715,318257.000000,71460.000000
1168.648287,0.650338,322819.000000,72214.000000
1172.239118,0.651663,326850.000000,72893.000000
1177.020337,0.655949,332795.000000,73490.000000
1180.601334,0.657615,338252.000000,74409.000000
1184.178116,0.659889,344529.000000,75394.000000
1187.750684,0.663375,351023.000000,76201.000000
1191.319038,0.665905,357082.000000,77066.000000
1194.883177,0.669117,364643.000000,78118.000000
1198.443102,0.671406,372656.000000,79415.000000
1201.998812,0.673574,379916.000000,80559.000000
1205.550308,0.674040,387104.000000,81995.000000
1210.279081,0.673808,398358.000000,84424.000000
1213.820743,0.669410,406330.000000,86990.000000
1217.358191,0.664668,414296.000000,89669.000000
1220.891424,0.658381,423100.000000,92910.000000
1224.420443,0.653059,431276.000000,95873.000000
1227.945248,0.649203,440314.000000,98755.000000
1231.465838,0.645649,449218.000000,101580.000000
1234.982214,0.643098,457807.000000,104132.000000
1238.494375,0.641741,468067.000000,106799.000000
1243.170701,0.640799,479193.000000,109575.000000
1246.673029,0.639676,486758.000000,111593.000000
1250.171142,0.639022,495180.000000,113695.000000
1253.665041,0.638824,503918.000000,115754.000000
1257.154726,0.636977,511654.000000,118032.000000
1260.640196,0.634698,521154.000000,120856.000000
1264.121451,0.633485,534098.000000,124204.000000
1267.598492,0.634698,549524.000000,127435.000000
1271.071319,0.635593,564969.000000,130747.000000
1275.695199,0.637368,583497.000000,134484.000000
1279.158192,0.638595,596509.000000,137095.000000
1282.616970,0.640567,610137.000000,139592.000000
1286.071534,0.642249,621777.000000,141705.000000
1289.521884,0.644545,632911.000000,143482.000000
1292.968020,0.647674,643299.000000,144790.000000
1296.409940,0.651363,653998.000000,145953.000000
1299.847647,0.654317,662535.000000,146856.000000
1303.281139,0.657750,669534.000000,147239.000000
1307.852572,0.663649,680622.000000,147658.000000
1311.276231,0.668281,687613.000000,147592.000000
1314.695675,0.672709,692993.000000,147238.000000
1318.110904,0.678120,697587.000000,146379.000000
1321.521919,0.684990,703545.000000,145312.000000
1324.928720,0.691726,707997.000000,143981.000000
1328.331306,0.698702,710077.000000,142103.000000
1331.729678,0.705403,712333.000000,140372.000000
1335.123835,0.712273,715576.000000,138798.000000
1339.642823,0.721595,717691.000000,136252.000000
1343.027147,0.728264,716977.000000,134042.000000
1346.407256,0.735558,716577.000000,131736.000000
1349.783151,0.741939,716270.000000,129759.000000
