Method:,Hadamard 1,,
Host Date-Time:,29/2/20 @ 16:19:16,,
Header Version:,1,,
System Temp (C):,37.22,,
Detector Temp (C):,33.58,,
Humidity (%):,21.89,,
Lamp PD:,3707,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.677,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.393815,33639.000000,13584.000000
905.521072,0.410689,38213.000000,14843.000000
909.408318,0.411058,42332.000000,16429.000000
913.291349,0.425236,46950.000000,17636.000000
917.170165,0.420311,51785.000000,19674.000000
921.044767,0.416352,58287.000000,22347.000000
924.915155,0.413394,66979.000000,25855.000000
930.069116,0.422771,82100.000000,31015.000000
933.929670,0.435878,94317.000000,34571.000000
937.786010,0.449727,106099.000000,37669.000000
941.638135,0.460015,116718.000000,40469.000000
945.486046,0.468681,125961.000000,42811.000000
949.329742,0.476680,134812.000000,44983.000000
953.169224,0.485809,143641.000000,46932.000000
957.004491,0.492661,152380.000000,49008.000000
960.835544,0.499563,161986.000000,51276.000000
965.937059,0.507791,175129.000000,54396.000000
969.758279,0.515533,185335.000000,56549.000000
973.575284,0.519592,195809.000000,59189.000000
977.388074,0.526620,206740.000000,61490.000000
981.196650,0.531847,217308.000000,63860.000000
985.001012,0.537606,228047.000000,66133.000000
988.801159,0.541666,238038.000000,68388.000000
992.597092,0.546287,247444.000000,70338.000000
996.388810,0.549267,256381.000000,72380.000000
1000.176314,0.552741,264317.000000,74026.000000
1005.219764,0.555658,273187.000000,75998.000000
1008.997434,0.558456,278661.000000,77023.000000
1012.770890,0.560650,283378.000000,77932.000000
1016.540131,0.561913,286796.000000,78643.000000
1020.305158,0.562815,289545.000000,79232.000000
1024.065971,0.562704,290768.000000,79587.000000
1027.822569,0.563728,291659.000000,79643.000000
1031.574953,0.563829,291738.000000,79646.000000
1035.323122,0.564642,291180.000000,79345.000000
1040.314125,0.563972,289060.000000,78889.000000
1044.052461,0.563714,287270.000000,78447.000000
1047.786582,0.563480,285260.000000,77940.000000
1051.516489,0.562631,282938.000000,77457.000000
1055.242181,0.561537,280933.000000,77102.000000
1058.963659,0.560528,278805.000000,76696.000000
1062.680922,0.558620,276533.000000,76406.000000
1066.393971,0.556956,275025.000000,76281.000000
1070.102806,0.554647,273940.000000,76385.000000
1075.041363,0.552113,272610.000000,76459.000000
1078.740364,0.550571,271864.000000,76521.000000
1082.435151,0.547694,271322.000000,76876.000000
1086.125723,0.545163,271668.000000,77424.000000
1089.812080,0.542482,272144.000000,78040.000000
1093.494224,0.540745,273135.000000,78638.000000
1097.172153,0.537848,273441.000000,79253.000000
1100.845867,0.535791,274759.000000,80013.000000
1104.515367,0.535000,276154.000000,80566.000000
1109.401478,0.531903,278191.000000,81741.000000
1113.061144,0.530602,279666.000000,82421.000000
1116.716596,0.530001,281465.000000,83066.000000
1120.367833,0.528655,283330.000000,83876.000000
1124.014856,0.528755,285720.000000,84564.000000
1127.657665,0.529833,287805.000000,84970.000000
1131.296259,0.532397,290051.000000,85129.000000
1134.930639,0.534839,292331.000000,85317.000000
1138.560804,0.540071,294917.000000,85041.000000
1143.394469,0.547381,298293.000000,84579.000000
1147.014801,0.553161,300985.000000,84214.000000
1150.630918,0.557681,304257.000000,84248.000000
1154.242821,0.562936,307712.000000,84180.000000
1157.850509,0.565378,310881.000000,84570.000000
1161.453983,0.567637,314276.000000,85050.000000
1165.053242,0.569149,318257.000000,85828.000000
1168.648287,0.571592,322819.000000,86570.000000
1172.239118,0.572455,326850.000000,87477.000000
1177.020337,0.576639,332795.000000,88214.000000
1180.601334,0.579251,338252.000000,89123.000000
1184.178116,0.582178,344529.000000,90167.000000
1187.750684,0.585193,351023.000000,91231.000000
1191.319038,0.588862,357082.000000,92025.000000
1194.883177,0.592098,364643.000000,93276.000000
1198.443102,0.595201,372656.000000,94647.000000
1201.998812,0.596738,379916.000000,96150.000000
1205.550308,0.598587,387104.000000,97553.000000
1210.279081,0.599003,398358.000000,100293.000000
1213.820743,0.595974,406330.000000,103016.000000
1217.358191,0.592152,414296.000000,105964.000000
1220.891424,0.587207,423100.000000,109455.000000
1224.420443,0.582315,431276.000000,112834.000000
1227.945248,0.579690,440314.000000,115897.000000
1231.465838,0.576848,449218.000000,119017.000000
1234.982214,0.574127,457807.000000,122055.000000
1238.494375,0.573759,468067.000000,124896.000000
1243.170701,0.573022,479193.000000,128082.000000
